Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,66.466949,[ 6 30] ; [77  7],[24.9 11.1] ; [58.1 25.9],1
n6,1,0.003482,8.536155,[28  8] ; [80  4],[32.4  3.6] ; [75.6  8.4],0
r1,1,0.012057,6.302521,[23 12] ; [73 12],[28.  7.] ; [68. 17.],0
s7,1,0.020176,5.396639,[16 18] ; [56 24],[21.47368421 12.52631579] ; [50.52631579 29.47368421],0
u1,1,0.02572,4.974746,[ 2 34] ; [19 66],[ 6.24793388 29.75206612] ; [14.75206612 70.24793388],0
p9,1,0.0312,4.641923,[25 10] ; [72 10],[29.01709402  5.98290598] ; [67.98290598 14.01709402],0
a5,1,0.043427,4.078707,[22 14] ; [67 18],[26.47933884  9.52066116] ; [62.52066116 22.47933884],0
s8,1,0.056805,3.6283,[10 26] ; [39 45],[14.7 21.3] ; [34.3 49.7],0
p4,1,0.061418,3.498677,[17 19] ; [55 29],[21.6 14.4] ; [50.4 33.6],0
a4,1,0.063039,3.455579,[12 24] ; [44 41],[16.66115702 19.33884298] ; [39.33884298 45.66115702],0
n2,1,0.069983,3.283429,[8 6] ; [17  3],[10.29411765  3.70588235] ; [14.70588235  5.29411765],0
a2,1,0.070527,3.270724,[ 4 32] ; [22 63],[ 7.73553719 28.26446281] ; [18.26446281 66.73553719],0
p6,1,0.070986,3.26007,[ 9 27] ; [36 49],[13.38842975 22.61157025] ; [31.61157025 53.38842975],0
s4,1,0.074219,3.187157,[15 21] ; [21 62],[10.8907563 25.1092437] ; [25.1092437 57.8907563],0
p2,1,0.093044,2.820908,[25 10] ; [72 13],[28.29166667  6.70833333] ; [68.70833333 16.29166667],0
p10,1,0.099272,2.717203,[25 10] ; [71 13],[28.23529412  6.76470588] ; [67.76470588 16.23529412],0
b1,1,0.104114,2.641365,[10 26] ; [37 48],[13.98347107 22.01652893] ; [33.01652893 51.98347107],0
a6,1,0.10611,2.611216,[19 17] ; [58 27],[22.90909091 13.09090909] ; [54.09090909 30.90909091],0
a8,1,0.11546,2.477852,[ 1 31] ; [10 66],[ 3.25925926 28.74074074] ; [ 7.74074074 68.25925926],0
b4,1,0.131061,2.279894,[26 10] ; [49 36],[22.31404959 13.68595041] ; [52.68595041 32.31404959],0
v4,1,0.135444,2.228976,[30  5] ; [79  5],[32.05882353  2.94117647] ; [76.94117647  7.05882353],0
d2,1,0.151267,2.059431,[15 21] ; [47 37],[18.6 17.4] ; [43.4 40.6],0
p5,1,0.162014,1.955325,[ 3 32] ; [16 69],[ 5.54166667 29.45833333] ; [13.45833333 71.54166667],0
