Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.589476,[44 17] ; [17 45],[30.25203252 30.74796748] ; [30.74796748 31.25203252],1
a8,1,0.00108,10.684541,[12 46] ; [ 1 58],[ 6.44444444 51.55555556] ; [ 6.55555556 52.44444444],0
a3,1,0.010981,6.46846,[43 17] ; [31 32],[36.09756098 23.90243902] ; [37.90243902 25.09756098],0
a5,1,0.011522,6.382962,[39 22] ; [26 37],[31.97580645 29.02419355] ; [33.02419355 29.97580645],0
p8,1,0.065769,3.38558,[12 48] ; [21 39],[16.5 43.5] ; [16.5 43.5],0
u3,1,0.082088,3.023065,[ 7 11] ; [20 11],[9.91836735 8.08163265] ; [17.08163265 13.91836735],0
n2,1,0.086482,2.938674,[22  7] ; [14 12],[18.98181818 10.01818182] ; [17.01818182  8.98181818],0
d2,1,0.087773,2.914754,[26 34] ; [18 45],[21.46341463 38.53658537] ; [22.53658537 40.46341463],0
n3,1,0.111022,2.539612,[14 13] ; [19  7],[16.81132075 10.18867925] ; [16.18867925  9.81132075],0
p11,1,0.14778,2.095014,[36 25] ; [29 34],[31.97580645 29.02419355] ; [33.02419355 29.97580645],0
b5,1,0.153346,2.038646,[32 29] ; [41 22],[35.91129032 25.08870968] ; [37.08870968 25.91129032],0
p1,1,0.153904,2.033123,[ 4 56] ; [ 1 62],[ 2.43902439 57.56097561] ; [ 2.56097561 60.43902439],0
p6,1,0.167185,1.908002,[ 6 52] ; [12 50],[ 8.7 49.3] ; [ 9.3 52.7],0
a1,1,0.169878,1.884022,[ 7 54] ; [ 3 60],[ 4.91935484 56.08064516] ; [ 5.08064516 57.91935484],0
s6,1,0.174756,1.841665,[29 32] ; [22 40],[25.29268293 35.70731707] ; [25.70731707 36.29268293],0
s2,1,0.250977,1.317857,[17 43] ; [24 39],[20. 40.] ; [21. 42.],0
d4,1,0.269422,1.219687,[39 21] ; [46 16],[41.80327869 18.19672131] ; [43.19672131 18.80327869],0
n1,1,0.283686,1.149347,[13 15] ; [ 8 17],[11.09433962 16.90566038] ; [ 9.90566038 15.09433962],0
s4,1,0.316094,1.00504,[ 6 55] ; [10 53],[ 7.87096774 53.12903226] ; [ 8.12903226 54.87096774],0
r1,1,0.320678,0.98618,[42 19] ; [38 25],[39.35483871 21.64516129] ; [40.64516129 22.35483871],0
d5,1,0.322035,0.980663,[44 16] ; [41 22],[41.46341463 18.53658537] ; [43.53658537 19.46341463],0
r2,1,0.347695,0.881851,[49  9] ; [49 14],[46.97520661 11.02479339] ; [51.02479339 11.97520661],0
s1,1,0.349121,0.87665,[ 3 55] ; [ 6 56],[ 4.35 53.65] ; [ 4.65 57.35],0
p10,1,0.364187,0.823403,[28 31] ; [34 27],[30.48333333 28.51666667] ; [31.51666667 29.48333333],0
p2,1,0.387637,0.746342,[37 23] ; [34 29],[34.63414634 25.36585366] ; [36.36585366 26.63414634],0
a2,1,0.392563,0.730989,[10 51] ; [ 7 56],[ 8.36290323 52.63709677] ; [ 8.63709677 54.36290323],0
s5,1,0.410304,0.677919,[10 49] ; [ 7 53],[ 8.42857143 50.57142857] ; [ 8.57142857 51.42857143],0
p4,1,0.462516,0.539798,[16 45] ; [20 42],[17.85365854 43.14634146] ; [18.14634146 43.85365854],0
s7,1,0.462595,0.53961,[18 39] ; [15 44],[16.21551724 40.78448276] ; [16.78448276 42.21551724],0
a4,1,0.485801,0.485813,[23 38] ; [20 43],[21.15322581 39.84677419] ; [21.84677419 41.15322581],0
p12,1,0.529793,0.394789,[ 2 57] ; [ 1 61],[ 1.46280992 57.53719008] ; [ 1.53719008 60.46280992],0
v4,1,0.561275,0.337502,[44 15] ; [49 13],[45.34710744 13.65289256] ; [47.65289256 14.34710744],0
a7,1,0.610193,0.259894,[37 24] ; [41 22],[38.37096774 22.62903226] ; [39.62903226 23.37096774],0
v2,1,0.618157,0.248466,[21 36] ; [24 34],[22.30434783 34.69565217] ; [22.69565217 35.30434783],0
b2,1,0.633193,0.227756,[10 24] ; [ 8 25],[ 9.13432836 24.86567164] ; [ 8.86567164 24.13432836],0
b3,1,0.633193,0.227756,[10 24] ; [ 8 25],[ 9.13432836 24.86567164] ; [ 8.86567164 24.13432836],0
p7,1,0.650568,0.205185,[24 34] ; [22 37],[22.8034188 35.1965812] ; [23.1965812 35.8034188],0
v1,1,0.679843,0.170303,[20 38] ; [24 39],[21.09090909 36.90909091] ; [22.90909091 40.09090909],0
r4,1,0.684783,0.164792,[38 23] ; [37 26],[36.89516129 24.10483871] ; [38.10483871 24.89516129],0
b4,1,0.696938,0.151677,[36 25] ; [35 28],[34.92741935 26.07258065] ; [36.07258065 26.92741935],0
p9,1,0.735784,0.113867,[34 25] ; [37 24],[34.90833333 24.09166667] ; [36.09166667 24.90833333],0
d3,1,0.739078,0.110939,[35 25] ; [38 24],[35.90163934 24.09836066] ; [37.09836066 24.90163934],0
u2,1,0.74959,0.101876,[11  7] ; [21 11],[11.52  6.48] ; [20.48 11.52],0
r3,1,0.79293,0.06891,[46 15] ; [48 14],[46.61788618 14.38211382] ; [47.38211382 14.61788618],0
v3,1,0.841688,0.039894,[13 43] ; [13 47],[12.55172414 43.44827586] ; [13.44827586 46.55172414],0
b1,1,0.852821,0.034418,[29 32] ; [31 32],[29.51612903 31.48387097] ; [30.48387097 32.51612903],0
a6,1,0.869989,0.026789,[38 22] ; [39 24],[37.56097561 22.43902439] ; [39.43902439 23.56097561],0
s8,1,0.922718,0.009411,[14 47] ; [14 49],[13.77419355 47.22580645] ; [14.22580645 48.77419355],0
s3,1,0.9543,0.003284,[27 31] ; [29 34],[26.84297521 31.15702479] ; [29.15702479 33.84297521],0
u1,1,0.962376,0.002225,[ 4 57] ; [ 4 59],[ 3.93548387 57.06451613] ; [ 4.06451613 58.93548387],0
d1,1,0.969273,0.001484,[24 37] ; [25 38],[24.10483871 36.89516129] ; [24.89516129 38.10483871],0
p5,1,0.986588,0.000283,[ 2 58] ; [ 2 59],[ 1.98347107 58.01652893] ; [ 2.01652893 58.98347107],0
