Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3e-06,22.144125,[20 83] ; [11  3],[27.29059829 75.70940171] ; [ 3.70940171 10.29059829],1
p1,1,0.000429,12.402439,[12 94] ; [7 8],[16.6446281 89.3553719] ; [ 2.3553719 12.6446281],1
p6,1,0.001838,9.70475,[28 77] ; [10  5],[33.25 71.75] ; [ 4.75 10.25],0
p3,1,0.004523,8.060739,[43 62] ; [12  3],[48.125 56.875] ; [6.875 8.125],0
p12,1,0.025778,4.97087,[  5 101] ; [ 3 12],[ 7.00826446 98.99173554] ; [ 0.99173554 14.00826446],0
p4,1,0.029181,4.756896,[53 53] ; [12  3],[56.94214876 49.05785124] ; [8.05785124 6.94214876],0
s1,1,0.029259,4.752286,[ 5 98] ; [ 3 12],[ 6.98305085 96.01694915] ; [ 1.01694915 13.98305085],0
s7,1,0.045434,4.002453,[40 60] ; [9 4],[43.36283186 56.63716814] ; [5.63716814 7.36283186],0
n5,1,0.079602,3.073016,[76 29] ; [14  1],[78.75 26.25] ; [11.25  3.75],0
v3,1,0.087652,2.916982,[38 65] ; [9 6],[41.02542373 61.97457627] ; [5.97457627 9.02542373],0
n4,1,0.106011,2.612701,[79 27] ; [14  1],[81.47107438 24.52892562] ; [11.52892562  3.47107438],0
s6,1,0.120148,2.415392,[66 39] ; [11  2],[68.51694915 36.48305085] ; [8.48305085 4.51694915],0
a8,1,0.176543,1.826485,[ 9 87] ; [ 3 11],[10.47272727 85.52727273] ; [ 1.52727273 12.47272727],0
p7,1,0.197605,1.659986,[58 46] ; [11  4],[60.30252101 43.69747899] ; [8.69747899 6.30252101],0
b5,1,0.200696,1.637299,[61 45] ; [6 9],[58.69421488 47.30578512] ; [8.30578512 6.69421488],0
p8,1,0.202463,1.624515,[48 56] ; [9 5],[50.23728814 53.76271186] ; [6.76271186 7.23728814],0
a1,1,0.265146,1.241687,[  2 104] ; [ 1 14],[  2.62809917 103.37190083] ; [ 0.37190083 14.62809917],0
d5,1,0.282593,1.154576,[51 55] ; [ 5 10],[49.05785124 56.94214876] ; [6.94214876 8.05785124],0
b3,1,0.346623,0.885781,[15 50] ; [4 7],[16.25 48.75] ; [2.75 8.25],0
b2,1,0.346623,0.885781,[15 50] ; [4 7],[16.25 48.75] ; [2.75 8.25],0
b4,1,0.468317,0.525943,[53 53] ; [9 6],[54.31404959 51.68595041] ; [7.68595041 7.31404959],0
a6,1,0.506544,0.4412,[66 40] ; [8 7],[64.82644628 41.17355372] ; [9.17355372 5.82644628],0
s2,1,0.513701,0.426522,[39 64] ; [7 8],[40.15254237 62.84745763] ; [5.84745763 9.15254237],0
s4,1,0.539475,0.376513,[21 84] ; [ 2 13],[20.125 84.875] ; [ 2.875 12.125],0
r3,1,0.541431,0.372893,[97  9] ; [13  2],[96.36363636  9.63636364] ; [13.63636364  1.36363636],0
u3,1,0.575548,0.313487,[26 22] ; [3 4],[25.30909091 22.69090909] ; [3.69090909 3.30909091],0
s3,1,0.592216,0.286897,[51 52] ; [8 6],[51.94017094 51.05982906] ; [7.05982906 6.94017094],0
a4,1,0.619123,0.247102,[27 77] ; [ 3 12],[26.21848739 77.78151261] ; [ 3.78151261 11.21848739],0
d3,1,0.62223,0.242746,[35 71] ; [ 4 11],[34.16528926 71.83471074] ; [ 4.83471074 10.16528926],0
p9,1,0.637239,0.222372,[77 29] ; [11  3],[77.73333333 28.26666667] ; [10.26666667  3.73333333],0
a2,1,0.652688,0.202528,[11 95] ; [ 1 14],[10.51239669 95.48760331] ; [ 1.48760331 13.51239669],0
s8,1,0.65955,0.19407,[39 67] ; [6 8],[39.75 66.25] ; [5.25 8.75],0
d2,1,0.729356,0.119704,[24 82] ; [ 4 11],[24.52892562 81.47107438] ; [ 3.47107438 11.52892562],0
d1,1,0.744757,0.105989,[  5 101] ; [ 1 14],[  5.25619835 100.74380165] ; [ 0.74380165 14.25619835],0
p11,1,0.818104,0.052893,[82 24] ; [12  3],[82.34710744 23.65289256] ; [11.65289256  3.34710744],0
v1,1,0.83669,0.042489,[52 51] ; [8 7],[52.37288136 50.62711864] ; [7.62711864 7.37288136],0
v2,1,0.838206,0.041693,[49 50] ; [7 8],[48.63157895 50.36842105] ; [7.36842105 7.63157895],0
a3,1,0.859152,0.03149,[58 46] ; [8 7],[57.68067227 46.31932773] ; [8.31932773 6.68067227],0
a5,1,0.865735,0.028587,[66 40] ; [9 6],[65.70247934 40.29752066] ; [9.29752066 5.70247934],0
r2,1,0.875838,0.024413,[100   6] ; [14  1],[99.8677686  6.1322314] ; [14.1322314  0.8677686],0
u2,1,0.882553,0.021825,[22 26] ; [3 4],[21.81818182 26.18181818] ; [3.18181818 3.81818182],0
a7,1,0.904699,0.014335,[69 37] ; [10  5],[69.20661157 36.79338843] ; [9.79338843 5.20661157],0
p2,1,0.920955,0.009847,[79 27] ; [11  4],[78.84297521 27.15702479] ; [11.15702479  3.84297521],0
b1,1,0.977693,0.000782,[42 64] ; [6 9],[42.04958678 63.95041322] ; [5.95041322 9.04958678],0
p10,1,1.0,0.0,[77 28] ; [11  4],[77. 28.] ; [11.  4.],0
