Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000154,14.322773,[18 37] ; [10 99],[ 9.3902439 45.6097561] ; [18.6097561 90.3902439],1
p7,1,0.000266,13.29252,[32 19] ; [34 72],[21.43949045 29.56050955] ; [44.56050955 61.43949045],1
p2,1,0.002728,8.980925,[44 10] ; [63 46],[35.44785276 18.55214724] ; [71.55214724 37.44785276],0
p11,1,0.005711,7.639291,[42 13] ; [59 50],[33.87195122 21.12804878] ; [67.12804878 41.87195122],0
s8,1,0.015504,5.858231,[19 36] ; [19 89],[12.82208589 42.17791411] ; [25.17791411 82.82208589],0
p4,1,0.017104,5.685718,[22 33] ; [24 84],[15.52147239 39.47852761] ; [30.47852761 77.52147239],0
a7,1,0.028567,4.793545,[43 12] ; [66 42],[36.7791411 18.2208589] ; [72.2208589 35.7791411],0
p10,1,0.042695,4.107432,[41 13] ; [64 43],[35.2173913 18.7826087] ; [69.7826087 37.2173913],0
p9,1,0.045746,3.99093,[44 11] ; [68 37],[38.5 16.5] ; [73.5 31.5],0
a4,1,0.063877,3.433745,[11 44] ; [37 72],[16.09756098 38.90243902] ; [31.90243902 77.09756098],0
p5,1,0.073453,3.204114,[ 3 51] ; [  1 107],[ 1.33333333 52.66666667] ; [  2.66666667 105.33333333],0
s7,1,0.086609,2.936297,[18 37] ; [21 82],[13.57594937 41.42405063] ; [25.42405063 77.57594937],0
b1,1,0.123593,2.371191,[15 40] ; [43 66],[19.45121951 35.54878049] ; [38.54878049 70.45121951],0
d2,1,0.14806,2.092127,[14 41] ; [40 69],[18.1097561 36.8902439] ; [35.8902439 73.1097561],0
b4,1,0.16201,1.95536,[27 28] ; [66 43],[31.18902439 23.81097561] ; [61.81097561 47.18902439],0
d3,1,0.164589,1.931549,[39 16] ; [64 43],[34.9691358 20.0308642] ; [68.0308642 38.9691358],0
a3,1,0.179894,1.798499,[26 29] ; [63 45],[30.03067485 24.96932515] ; [58.96932515 49.03067485],0
b3,1,0.191207,1.708292,[ 9 15] ; [12 40],[ 6.63157895 17.36842105] ; [14.36842105 37.63157895],0
b2,1,0.191207,1.708292,[ 9 15] ; [12 40],[ 6.63157895 17.36842105] ; [14.36842105 37.63157895],0
a5,1,0.203285,1.618612,[30 25] ; [48 61],[26.15853659 28.84146341] ; [51.84146341 57.15853659],0
a2,1,0.220278,1.502562,[ 4 51] ; [15 94],[ 6.37195122 48.62804878] ; [12.62804878 96.37195122],0
n2,1,0.233195,1.42127,[14  4] ; [35 21],[11.91891892  6.08108108] ; [37.08108108 18.91891892],0
s6,1,0.240624,1.376933,[29 25] ; [47 60],[25.49068323 28.50931677] ; [50.50931677 56.49068323],0
u3,1,0.257263,1.283425,[13 15] ; [27 18],[15.34246575 12.65753425] ; [24.65753425 20.34246575],0
v2,1,0.323274,0.975656,[26 27] ; [42 61],[23.1025641 29.8974359] ; [44.8974359 58.1025641],0
s2,1,0.350869,0.870313,[24 31] ; [39 69],[21.25766871 33.74233129] ; [41.74233129 66.25766871],0
n1,1,0.392593,0.730895,[ 6 12] ; [13 43],[ 4.62162162 13.37837838] ; [14.37837838 41.62162162],0
b5,1,0.466221,0.530919,[37 18] ; [67 42],[34.87804878 20.12195122] ; [69.12195122 39.87804878],0
n5,1,0.53937,0.376708,[21 34] ; [36 72],[19.23312883 35.76687117] ; [37.76687117 70.23312883],0
a6,1,0.543028,0.369956,[35 20] ; [64 45],[33.20121951 21.79878049] ; [65.79878049 43.20121951],0
s4,1,0.577281,0.310651,[11 44] ; [26 83],[12.40853659 42.59146341] ; [24.59146341 84.40853659],0
r4,1,0.593159,0.285439,[42 13] ; [79 30],[40.57926829 14.42073171] ; [80.42073171 28.57926829],0
r2,1,0.607684,0.263561,[48  7] ; [91 17],[46.90184049  8.09815951] ; [92.09815951 15.90184049],0
u4,1,0.61976,0.246205,[ 1 54] ; [  1 108],[ 0.67073171 54.32926829] ; [  1.32926829 107.67073171],0
s5,1,0.623621,0.240811,[11 43] ; [25 80],[12.22641509 41.77358491] ; [23.77358491 81.22641509],0
p12,1,0.624651,0.239385,[ 1 54] ; [  1 107],[ 0.67484663 54.32515337] ; [  1.32515337 106.67484663],0
d4,1,0.656303,0.198045,[40 15] ; [82 26],[41.16564417 13.83435583] ; [80.83435583 27.16564417],0
a8,1,0.670668,0.180822,[ 2 47] ; [ 6 99],[ 2.54545455 46.45454545] ; [ 5.45454545 99.54545455],0
v3,1,0.693685,0.155125,[13 38] ; [24 82],[12.01910828 38.98089172] ; [24.98089172 81.01910828],0
r1,1,0.696111,0.15255,[38 17] ; [72 37],[36.8902439 18.1097561] ; [73.1097561 35.8902439],0
n6,1,0.698473,0.150066,[33 21] ; [70 39],[34.12269939 19.87730061] ; [68.87730061 40.12269939],0
r3,1,0.720709,0.127814,[49  6] ; [95 14],[48.29268293  6.70731707] ; [95.70731707 13.29268293],0
d5,1,0.783918,0.075195,[36 19] ; [73 35],[36.7791411 18.2208589] ; [72.2208589 35.7791411],0
v4,1,0.837985,0.041808,[49  5] ; [96 11],[48.63354037  5.36645963] ; [96.36645963 10.63354037],0
n3,1,0.853956,0.033883,[12  6] ; [36 20],[11.67567568  6.32432432] ; [36.32432432 19.67567568],0
d1,1,0.874475,0.024957,[22 33] ; [45 64],[22.4695122 32.5304878] ; [44.5304878 64.4695122],0
u2,1,0.892334,0.01832,[15 14] ; [24 21],[15.28378378 13.71621622] ; [23.71621622 21.28378378],0
u1,1,0.987641,0.00024,[ 4 51] ; [  8 101],[ 4.02439024 50.97560976] ; [  7.97560976 101.02439024],0
s3,1,0.988553,0.000206,[24 31] ; [47 61],[23.95705521 31.04294479] ; [47.04294479 60.95705521],0
s1,1,0.991428,0.000115,[ 2 53] ; [  4 105],[ 2.01219512 52.98780488] ; [  3.98780488 105.01219512],0
p1,1,0.99394,5.8e-05,[ 1 53] ; [  2 107],[ 0.99386503 53.00613497] ; [  2.00613497 106.99386503],0
v1,1,1.0,0.0,[19 35] ; [38 70],[19. 35.] ; [38. 70.],0
