Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.0779,[37 38] ; [ 28 126],[21.28820961 53.71179039] ; [ 43.71179039 110.28820961],1
a3,1,0.009297,6.764851,[57 18] ; [90 64],[48.1441048 26.8558952] ; [98.8558952 55.1441048],0
v3,1,0.01798,5.598109,[35 39] ; [ 46 102],[27. 47.] ; [54. 94.],0
s6,1,0.031009,4.652468,[47 29] ; [70 80],[39.34513274 36.65486726] ; [77.65486726 72.34513274],0
u2,1,0.045816,3.988344,[14  5] ; [30 33],[10.19512195  8.80487805] ; [33.80487805 29.19512195],0
p2,1,0.051367,3.796256,[72  4] ; [131  21],[67.66666667  8.33333333] ; [135.33333333  16.66666667],0
p6,1,0.066242,3.373769,[39 37] ; [59 94],[32.52401747 43.47598253] ; [65.47598253 87.52401747],0
p5,1,0.076263,3.142795,[15 61] ; [ 17 136],[10.62008734 65.37991266] ; [ 21.37991266 131.62008734],0
a8,1,0.07691,3.129019,[12 53] ; [ 13 122],[ 8.125 56.875] ; [ 16.875 118.125],0
u1,1,0.093488,2.813264,[17 59] ; [ 21 133],[12.55652174 63.44347826] ; [ 25.44347826 128.55652174],0
p9,1,0.095766,2.774669,[67  9] ; [122  32],[62.45217391 13.54782609] ; [126.54782609  27.45217391],0
a2,1,0.111864,2.527683,[19 57] ; [ 25 129],[14.53913043 61.46086957] ; [ 29.46086957 124.53913043],0
n3,1,0.125998,2.341126,[12  9] ; [21  6],[14.4375  6.5625] ; [18.5625  8.4375],0
p12,1,0.199599,1.645309,[ 6 70] ; [  6 148],[ 3.96521739 72.03478261] ; [  8.03478261 145.96521739],0
s1,1,0.2059,1.600024,[ 1 75] ; [  7 146],[ 2.65502183 73.34497817] ; [  5.34497817 147.65502183],0
b3,1,0.211636,1.560197,[26 34] ; [31 62],[22.35294118 37.64705882] ; [34.64705882 58.35294118],0
b2,1,0.211636,1.560197,[26 34] ; [31 62],[22.35294118 37.64705882] ; [34.64705882 58.35294118],0
p7,1,0.240483,1.377758,[58 17] ; [107  46],[54.27631579 20.72368421] ; [110.72368421  42.27631579],0
v4,1,0.266645,1.233925,[73  3] ; [142  12],[71.04347826  4.95652174] ; [143.95652174  10.04347826],0
p3,1,0.317282,1.000116,[52 24] ; [95 59],[48.57391304 27.42608696] ; [98.42608696 55.57391304],0
s5,1,0.337633,0.919397,[19 57] ; [ 29 120],[16.21333333 59.78666667] ; [ 31.78666667 117.21333333],0
d3,1,0.340226,0.909579,[56 20] ; [104  50],[52.86956522 23.13043478] ; [107.13043478  46.86956522],0
p10,1,0.342464,0.901186,[64 12] ; [120  32],[61.33333333 14.66666667] ; [122.66666667  29.33333333],0
n5,1,0.343761,0.896355,[60 16] ; [112  41],[57.08296943 18.91703057] ; [114.91703057  38.08296943],0
p11,1,0.369101,0.806689,[60 16] ; [129  25],[62.45217391 13.54782609] ; [126.54782609  27.45217391],0
a1,1,0.387488,0.746812,[ 1 75] ; [  5 149],[ 1.9826087 74.0173913] ; [  4.0173913 149.9826087],0
s3,1,0.398393,0.713172,[19 56] ; [ 31 121],[16.51982379 58.48017621] ; [ 33.48017621 118.51982379],0
d2,1,0.401498,0.703834,[40 36] ; [72 82],[37.00869565 38.99130435] ; [74.99130435 79.00869565],0
p8,1,0.409631,0.679872,[46 29] ; [101  50],[48.78318584 26.21681416] ; [98.21681416 52.78318584],0
n2,1,0.498962,0.457143,[12  9] ; [18  9],[13.125  7.875] ; [16.875 10.125],0
b1,1,0.548886,0.359317,[27 49] ; [61 93],[29.07826087 46.92173913] ; [58.92173913 95.07826087],0
p1,1,0.55947,0.340622,[ 7 69] ; [ 18 135],[ 8.29694323 67.70305677] ; [ 16.70305677 136.29694323],0
a5,1,0.559914,0.339854,[58 18] ; [112  42],[56.17391304 19.82608696] ; [113.82608696  40.17391304],0
d1,1,0.579575,0.306923,[40 36] ; [87 67],[41.96521739 34.03478261] ; [85.03478261 68.96521739],0
r2,1,0.582418,0.302342,[68  7] ; [141  11],[69.05286344  5.94713656] ; [139.94713656  12.05286344],0
d4,1,0.614489,0.25369,[60 16] ; [117  37],[58.48695652 17.51304348] ; [118.51304348  35.48695652],0
n4,1,0.620606,0.245017,[57 19] ; [120  34],[58.48695652 17.51304348] ; [118.51304348  35.48695652],0
u3,1,0.640873,0.217603,[12  7] ; [36 27],[11.12195122  7.87804878] ; [36.87804878 26.12195122],0
b4,1,0.716324,0.132042,[43 33] ; [91 63],[44.27826087 31.72173913] ; [89.72173913 64.27826087],0
a6,1,0.735487,0.114133,[53 23] ; [104  50],[51.87826087 24.12173913] ; [105.12173913  48.87826087],0
r4,1,0.739218,0.110815,[67  9] ; [138  16],[67.73913043  8.26086957] ; [137.26086957  16.73913043],0
d5,1,0.740385,0.109788,[64 12] ; [127  27],[63.11304348 12.88695652] ; [127.88695652  26.11304348],0
b5,1,0.785545,0.074039,[41 35] ; [86 68],[41.96521739 34.03478261] ; [85.03478261 68.96521739],0
v1,1,0.810814,0.057301,[41 34] ; [80 71],[40.15486726 34.84513274] ; [80.84513274 70.15486726],0
r3,1,0.826469,0.048063,[71  5] ; [145   9],[71.37391304  4.62608696] ; [144.62608696   9.37391304],0
v2,1,0.83754,0.042042,[43 31] ; [85 65],[42.28571429 31.71428571] ; [85.71428571 64.28571429],0
r1,1,0.853693,0.034007,[61 15] ; [122  32],[60.46956522 15.53043478] ; [122.53043478  31.46956522],0
n1,1,0.864154,0.029271,[ 8 13] ; [10 18],[ 7.71428571 13.28571429] ; [10.28571429 17.71428571],0
a7,1,0.870963,0.026385,[54 22] ; [111  43],[54.52173913 21.47826087] ; [110.47826087  43.52173913],0
a4,1,0.872169,0.02589,[32 43] ; [67 86],[32.56578947 42.43421053] ; [66.43421053 86.56578947],0
n6,1,0.915138,0.011355,[64 12] ; [128  25],[63.72052402 12.27947598] ; [128.27947598  24.72052402],0
s4,1,1.0,0.0,[ 9 67] ; [ 18 134],[ 9. 67.] ; [ 18. 134.],0
