Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,89.666039,[231  23] ; [14 30],[208.82550336  45.17449664] ; [36.17449664  7.82550336],1
d1,1,0.0,77.180728,[191  63] ; [ 3 41],[165.3557047  88.6442953] ; [28.6442953 15.3557047],1
d3,1,0.0,55.884398,[203  51] ; [11 33],[182.40268456  71.59731544] ; [31.59731544 12.40268456],1
a3,1,2.3e-05,17.893375,[197  55] ; [21 23],[185.59459459  66.40540541] ; [32.40540541 11.59459459],1
d2,1,0.000125,14.712493,[143 111] ; [11 33],[131.26174497 122.73825503] ; [22.73825503 21.26174497],1
s2,1,0.000225,13.610631,[144 107] ; [12 32],[132.73220339 118.26779661] ; [23.26779661 20.73220339],1
a5,1,0.003639,8.455609,[210  44] ; [28 16],[202.8590604  51.1409396] ; [35.1409396  8.8590604],0
v1,1,0.006974,7.279617,[161  88] ; [19 25],[152.96928328  96.03071672] ; [27.03071672 16.96928328],0
p2,1,0.00773,7.095079,[237  16] ; [36  8],[232.55555556  20.44444444] ; [40.44444444  3.55555556],0
s6,1,0.011094,6.450185,[183  62] ; [24 19],[176.09375  68.90625] ; [30.90625 12.09375],0
u1,1,0.013294,6.129497,[ 59 195] ; [ 3 41],[ 52.84563758 201.15436242] ; [ 9.15436242 34.84563758],0
a4,1,0.014767,5.944078,[125 128] ; [13 31],[117.55555556 135.44444444] ; [20.44444444 23.55555556],0
a2,1,0.02229,5.22301,[ 70 184] ; [ 5 39],[ 63.9261745 190.0738255] ; [11.0738255 32.9261745],0
n6,1,0.025568,4.984985,[229  23] ; [35  9],[224.75675676  27.24324324] ; [39.24324324  4.75675676],0
p1,1,0.025927,4.960904,[ 31 221] ; [11 33],[ 35.75675676 216.24324324] ; [ 6.24324324 37.75675676],0
s3,1,0.030343,4.689768,[155  96] ; [19 24],[148.55102041 102.44897959] ; [25.44897959 17.55102041],0
s8,1,0.031418,4.62996,[141 110] ; [17 27],[134.43389831 116.56610169] ; [23.56610169 20.43389831],0
s5,1,0.034354,4.477017,[109 132] ; [12 31],[102.67957746 138.32042254] ; [18.32042254 24.67957746],0
p4,1,0.061381,3.499674,[223  31] ; [34 10],[219.05369128  34.94630872] ; [37.94630872  6.05369128],0
u3,1,0.063121,3.45342,[37 19] ; [10 13],[33.3164557 22.6835443] ; [13.6835443  9.3164557],0
r2,1,0.145712,2.116571,[239  10] ; [40  4],[237.10238908  11.89761092] ; [41.89761092  2.10238908],0
v4,1,0.171087,1.873391,[245   7] ; [41  3],[243.48648649   8.51351351] ; [42.51351351  1.48648649],0
s7,1,0.173633,1.851291,[141  98] ; [19 21],[137.0609319 101.9390681] ; [22.9390681 17.0609319],0
r1,1,0.174087,1.847389,[216  37] ; [34 10],[212.96296296  40.03703704] ; [37.03703704  6.96296296],0
a8,1,0.175641,1.834124,[ 34 193] ; [ 3 39],[ 31.22304833 195.77695167] ; [ 5.77695167 36.22304833],0
