Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.003945,8.30875,[ 6 24] ; [10  6],[10.43478261 19.56521739] ; [ 5.56521739 10.43478261],0
p10,1,0.003945,8.30875,[ 6 24] ; [10  6],[10.43478261 19.56521739] ; [ 5.56521739 10.43478261],0
p9,1,0.005764,7.62258,[ 8 22] ; [11  5],[12.39130435 17.60869565] ; [6.60869565 9.39130435],0
p7,1,0.012492,6.239677,[ 6 24] ; [9 7],[ 9.7826087 20.2173913] ; [ 5.2173913 10.7826087],0
p4,1,0.025137,5.014414,[ 3 27] ; [ 6 10],[ 5.86956522 24.13043478] ; [ 3.13043478 12.86956522],0
d2,1,0.03067,4.671336,[15 14] ; [ 3 13],[11.6 17.4] ; [6.4 9.6],0
p3,1,0.04633,3.969567,[ 5 25] ; [7 9],[ 7.82608696 22.17391304] ; [ 4.17391304 11.82608696],0
r1,1,0.047725,3.919642,[ 8 22] ; [9 7],[11.08695652 18.91304348] ; [ 5.91304348 10.08695652],0
r3,1,0.052808,3.75,[ 9 21] ; [9 6],[12. 18.] ; [6. 9.],0
p8,1,0.067089,3.352833,[ 4 25] ; [ 6 10],[ 6.44444444 22.55555556] ; [ 3.55555556 12.44444444],0
r4,1,0.070139,3.27977,[ 3 27] ; [ 5 11],[ 5.2173913 24.7826087] ; [ 2.7826087 13.2173913],0
s8,1,0.078667,3.092222,[ 2 28] ; [ 4 12],[ 3.91304348 26.08695652] ; [ 2.08695652 13.91304348],0
s5,1,0.078667,3.092222,[ 2 28] ; [ 4 12],[ 3.91304348 26.08695652] ; [ 2.08695652 13.91304348],0
n4,1,0.082307,3.01875,[21  9] ; [7 9],[18.26086957 11.73913043] ; [9.73913043 6.26086957],0
p6,1,0.084245,2.981037,[ 1 28] ; [ 3 13],[ 2.57777778 26.42222222] ; [ 1.42222222 14.57777778],0
s6,1,0.113846,2.5,[ 4 26] ; [ 5 10],[ 6. 24.] ; [ 3. 12.],0
v1,1,0.114632,2.489177,[ 5 25] ; [ 6 10],[ 7.17391304 22.82608696] ; [ 3.82608696 12.17391304],0
p1,1,0.145417,2.119682,[ 7 23] ; [ 1 15],[ 5.2173913 24.7826087] ; [ 2.7826087 13.2173913],0
n6,1,0.163444,1.942069,[11 18] ; [9 6],[13.18181818 15.81818182] ; [6.81818182 8.18181818],0
r2,1,0.21,1.571429,[16 12] ; [ 6 10],[14. 14.] ; [8. 8.],0
a1,1,0.216244,1.529121,[ 6 24] ; [ 1 15],[ 4.56521739 25.43478261] ; [ 2.43478261 13.56521739],0
s1,1,0.216244,1.529121,[ 6 24] ; [ 1 15],[ 4.56521739 25.43478261] ; [ 2.43478261 13.56521739],0
