Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,50.244361,[ 65 100] ; [106  26],[95. 70.] ; [76. 56.],1
p3,1,0.0,39.01455,[ 48 118] ; [86 46],[74.6442953 91.3557047] ; [59.3557047 72.6442953],1
p4,1,1e-06,24.750175,[69 96] ; [94 39],[90.25167785 74.74832215] ; [72.74832215 60.25167785],1
p6,1,3e-06,21.690816,[ 30 135] ; [57 76],[ 48.17114094 116.82885906] ; [38.82885906 94.17114094],1
p2,1,1.5e-05,18.686569,[108  57] ; [116  17],[124.02684564  40.97315436] ; [99.97315436 33.02684564],1
p11,1,6.9e-05,15.826165,[104  62] ; [111  22],[119.36454849  46.63545151] ; [95.63545151 37.36454849],1
p10,1,0.001,10.827683,[116  49] ; [114  18],[127.77777778  37.22222222] ; [102.22222222  29.77777778],0
p5,1,0.004538,8.055108,[  8 158] ; [ 19 114],[ 14.98996656 151.01003344] ; [ 12.01003344 120.98996656],0
r4,1,0.004865,7.928952,[133  33] ; [122  11],[141.57190635  24.42809365] ; [113.42809365  19.57190635],0
s6,1,0.005139,7.829804,[90 75] ; [91 38],[101.58163265  63.41836735] ; [79.41836735 49.58163265],0
a3,1,0.00731,7.195096,[136  29] ; [92 41],[126.24161074  38.75838926] ; [101.75838926  31.24161074],0
a4,1,0.014067,6.02967,[98 67] ; [60 73],[87.48322148 77.51677852] ; [70.51677852 62.48322148],0
v4,1,0.021709,5.268947,[145  20] ; [126   6],[150.55555556  14.44444444] ; [120.44444444  11.55555556],0
b3,1,0.027222,4.876681,[42 57] ; [20 56],[35.07428571 63.92571429] ; [26.92571429 49.07428571],0
b2,1,0.027222,4.876681,[42 57] ; [20 56],[35.07428571 63.92571429] ; [26.92571429 49.07428571],0
r3,1,0.031583,4.620971,[146  19] ; [126   6],[151.11111111  13.88888889] ; [120.88888889  11.11111111],0
a2,1,0.033831,4.503226,[ 56 110] ; [ 30 103],[ 47.7458194 118.2541806] ; [38.2541806 94.7458194],0
r1,1,0.04792,3.912806,[122  43] ; [111  22],[129.01006711  35.98993289] ; [103.98993289  29.01006711],0
n6,1,0.052508,3.759494,[125  40] ; [112  20],[131.66666667  33.33333333] ; [105.33333333  26.66666667],0
p9,1,0.068077,3.328778,[124  40] ; [112  21],[130.31649832  33.68350168] ; [105.68350168  27.31649832],0
