Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.003815,8.369821,[49 21] ; [ 5 11],[43.95348837 26.04651163] ; [10.04651163  5.95348837],0
s2,1,0.034491,4.470192,[32 38] ; [12  4],[35.81395349 34.18604651] ; [8.18604651 7.81395349],0
n4,1,0.056352,3.641612,[52 18] ; [8 8],[48.8372093 21.1627907] ; [11.1627907  4.8372093],0
s5,1,0.095636,2.77686,[18 48] ; [7 7],[20.625 45.375] ; [4.375 9.625],0
n3,1,0.115184,2.481618,[12  5] ; [3 5],[10.2  6.8] ; [4.8 3.2],0
s8,1,0.197577,1.660193,[23 47] ; [8 8],[25.23255814 44.76744186] ; [ 5.76744186 10.23255814],0
u2,1,0.207673,1.587576,[12  8] ; [4 7],[10.32258065  9.67741935] ; [5.67741935 5.32258065],0
d5,1,0.218684,1.512988,[51 19] ; [14  2],[52.90697674 17.09302326] ; [12.09302326  3.90697674],0
r4,1,0.222781,1.486368,[41 29] ; [12  4],[43.13953488 26.86046512] ; [9.86046512 6.13953488],0
a6,1,0.225572,1.468568,[38 32] ; [ 6 10],[35.81395349 34.18604651] ; [8.18604651 7.81395349],0
v2,1,0.227634,1.455587,[45 23] ; [8 8],[42.9047619 25.0952381] ; [10.0952381  5.9047619],0
b5,1,0.240706,1.376455,[46 24] ; [8 8],[43.95348837 26.04651163] ; [10.04651163  5.95348837],0
v3,1,0.251774,1.313432,[32 36] ; [ 5 11],[29.95238095 38.04761905] ; [7.04761905 8.95238095],0
p5,1,0.272464,1.204298,[12 58] ; [ 1 15],[10.58139535 59.41860465] ; [ 2.41860465 13.58139535],0
n2,1,0.355703,0.853006,[12  5] ; [7 1],[12.92  4.08] ; [6.08 1.92],0
b1,1,0.366435,0.815718,[35 35] ; [ 6 10],[33.37209302 36.62790698] ; [7.62790698 8.37209302],0
p10,1,0.391864,0.733151,[53 15] ; [14  2],[54.23809524 13.76190476] ; [12.76190476  3.23809524],0
p4,1,0.42606,0.63354,[42 27] ; [8 8],[40.58823529 28.41176471] ; [9.41176471 6.58823529],0
p8,1,0.554098,0.350026,[31 38] ; [8 7],[32.03571429 36.96428571] ; [6.96428571 8.03571429],0
p2,1,0.616916,0.250226,[52 17] ; [13  3],[52.76470588 16.23529412] ; [12.23529412  3.76470588],0
p3,1,0.630327,0.231618,[38 30] ; [10  6],[38.85714286 29.14285714] ; [9.14285714 6.85714286],0
r3,1,0.634606,0.225866,[57 12] ; [14  2],[57.63529412 11.36470588] ; [13.36470588  2.63529412],0
n6,1,0.636303,0.223609,[53 17] ; [13  3],[53.72093023 16.27906977] ; [12.27906977  3.72093023],0
p1,1,0.641284,0.217067,[ 7 63] ; [ 1 15],[ 6.51162791 63.48837209] ; [ 1.48837209 14.51162791],0
p11,1,0.651749,0.203702,[52 18] ; [11  5],[51.27906977 18.72093023] ; [11.72093023  4.27906977],0
n1,1,0.653329,0.201728,[8 9] ; [3 5],[7.48 9.52] ; [3.52 4.48],0
a8,1,0.742476,0.107962,[ 3 62] ; [ 1 14],[ 3.25 61.75] ; [ 0.75 14.25],0
p9,1,0.746071,0.104862,[59 11] ; [14  2],[59.41860465 10.58139535] ; [13.58139535  2.41860465],0
p7,1,0.761271,0.092302,[39 31] ; [9 6],[39.52941176 30.47058824] ; [8.47058824 6.52941176],0
d3,1,0.782957,0.075882,[42 28] ; [9 7],[41.51162791 28.48837209] ; [9.48837209 6.51162791],0
s3,1,0.806085,0.06026,[37 33] ; [9 7],[37.44186047 32.55813953] ; [8.55813953 7.44186047],0
a4,1,0.816748,0.053699,[24 46] ; [ 5 11],[23.60465116 46.39534884] ; [ 5.39534884 10.60465116],0
s6,1,0.835392,0.043177,[45 22] ; [9 5],[44.66666667 22.33333333] ; [9.33333333 4.66666667],0
d4,1,0.854761,0.033506,[54 16] ; [12  4],[53.72093023 16.27906977] ; [12.27906977  3.72093023],0
p6,1,0.855466,0.033178,[24 43] ; [ 5 10],[23.69512195 43.30487805] ; [5.30487805 9.69512195],0
n5,1,0.861308,0.030524,[51 19] ; [12  4],[51.27906977 18.72093023] ; [11.72093023  4.27906977],0
s7,1,0.872432,0.025783,[27 38] ; [7 9],[27.28395062 37.71604938] ; [6.71604938 9.28395062],0
d1,1,0.886771,0.020275,[32 38] ; [7 9],[31.74418605 38.25581395] ; [7.25581395 8.74418605],0
d2,1,0.893231,0.018014,[25 45] ; [ 6 10],[25.23255814 44.76744186] ; [ 5.76744186 10.23255814],0
u3,1,0.907226,0.013581,[11 10] ; [6 5],[11.15625  9.84375] ; [5.84375 5.15625],0
b3,1,0.929158,0.007904,[15 28] ; [3 6],[14.88461538 28.11538462] ; [3.11538462 5.88461538],0
b2,1,0.929158,0.007904,[15 28] ; [3 6],[14.88461538 28.11538462] ; [3.11538462 5.88461538],0
u1,1,0.934157,0.006825,[ 4 66] ; [ 1 15],[ 4.06976744 65.93023256] ; [ 0.93023256 15.06976744],0
s1,1,0.934157,0.006825,[ 4 66] ; [ 1 15],[ 4.06976744 65.93023256] ; [ 0.93023256 15.06976744],0
b4,1,0.948111,0.004235,[40 30] ; [9 7],[39.88372093 30.11627907] ; [9.11627907 6.88372093],0
a5,1,0.948111,0.004235,[40 30] ; [9 7],[39.88372093 30.11627907] ; [9.11627907 6.88372093],0
v4,1,0.953467,0.003405,[60  9] ; [14  2],[60.07058824  8.92941176] ; [13.92941176  2.07058824],0
r2,1,0.97312,0.001135,[55 13] ; [13  3],[55.04761905 12.95238095] ; [12.95238095  3.04761905],0
a7,1,0.978728,0.000711,[44 26] ; [10  6],[43.95348837 26.04651163] ; [10.04651163  5.95348837],0
