Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.5e-05,17.740403,[363  29] ; [7 5],[359.00990099  32.99009901] ; [10.99009901  1.00990099],1
r1,1,0.000176,14.069928,[326  64] ; [5 7],[321.11940299  68.88059701] ; [9.88059701 2.11940299],1
v4,1,0.007465,7.157573,[380  11] ; [10  2],[378.38709677  12.61290323] ; [11.61290323  0.38709677],0
r2,1,0.019956,5.415732,[375  15] ; [9 2],[373.46633416  16.53366584] ; [10.53366584  0.46633416],0
s6,1,0.035363,4.427549,[336  48] ; [8 4],[333.57575758  50.42424242] ; [10.42424242  1.57575758],0
s1,1,0.038991,4.261248,[ 16 372] ; [ 2 10],[ 17.46 370.54] ; [ 0.54 11.46],0
p11,1,0.090239,2.870109,[309  83] ; [7 5],[306.61386139  85.38613861] ; [9.38613861 2.61386139],0
s4,1,0.113878,2.499563,[ 86 301] ; [5 7],[ 88.26315789 298.73684211] ; [2.73684211 9.26315789],0
b5,1,0.124212,2.363389,[241 151] ; [10  2],[243.54455446 148.45544554] ; [7.45544554 4.54455446],0
p7,1,0.144944,2.124673,[251 126] ; [5 6],[248.74226804 128.25773196] ; [7.25773196 3.74226804],0
n1,1,0.168858,1.893049,[33 49] ; [3 1],[34.3255814 47.6744186] ; [1.6744186 2.3255814],0
v2,1,0.170765,1.876214,[228 144] ; [5 7],[225.71875 146.28125] ; [7.28125 4.71875],0
v3,1,0.180221,1.795803,[166 207] ; [3 9],[163.73246753 209.26753247] ; [5.26753247 6.73246753],0
s3,1,0.221079,1.497354,[339  50] ; [9 3],[337.58603491  51.41396509] ; [10.41396509  1.58603491],0
d5,1,0.229255,1.445475,[341  51] ; [9 3],[339.6039604  52.3960396] ; [10.3960396  1.6039604],0
s7,1,0.293268,1.104557,[261 115] ; [6 5],[259.41085271 116.58914729] ; [7.58914729 3.41085271],0
p1,1,0.301236,1.068713,[ 32 357] ; [ 2 10],[ 32.98254364 356.01745636] ; [ 1.01745636 10.98254364],0
p10,1,0.309304,1.033644,[332  56] ; [9 3],[330.77  57.23] ; [10.23  1.77],0
p2,1,0.337776,0.918854,[331  58] ; [9 3],[329.82543641  59.17456359] ; [10.17456359  1.82543641],0
a2,1,0.340505,0.908529,[115 277] ; [ 2 10],[113.52475248 278.47524752] ; [3.47524752 8.52475248],0
p8,1,0.367786,0.811131,[206 179] ; [8 4],[207.53148615 177.46851385] ; [6.46851385 5.53148615],0
b4,1,0.524164,0.405692,[232 160] ; [6 6],[230.93069307 161.06930693] ; [7.06930693 4.93069307],0
a4,1,0.534619,0.385604,[199 193] ; [5 7],[197.94059406 194.05940594] ; [6.05940594 5.94059406],0
u1,1,0.54546,0.365514,[ 95 297] ; [ 2 10],[ 94.11881188 297.88118812] ; [2.88118812 9.11881188],0
a7,1,0.574394,0.315386,[289 102] ; [8 4],[288.15632754 102.84367246] ; [8.84367246 3.15632754],0
