Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,61.213213,[316   8] ; [17 10],[307.38461538  16.61538462] ; [25.61538462  1.38461538],1
r4,1,0.0,55.129762,[296  30] ; [11 16],[283.5184136  42.4815864] ; [23.4815864  3.5184136],1
d5,1,3.7e-05,17.031866,[258  67] ; [12 15],[249.28977273  75.71022727] ; [20.71022727  6.28977273],1
s3,1,0.000108,14.997322,[183 137] ; [ 5 22],[173.37175793 146.62824207] ; [14.62824207 12.37175793],1
r1,1,0.000171,14.124361,[259  66] ; [13 14],[251.13636364  73.86363636] ; [20.86363636  6.13636364],1
d1,1,0.000968,10.888227,[180 146] ; [ 6 21],[171.7733711 154.2266289] ; [14.2266289 12.7733711],1
a6,1,0.001418,10.181927,[220 106] ; [10 17],[212.40793201 113.59206799] ; [17.59206799  9.40793201],0
s2,1,0.006654,7.364057,[171 151] ; [ 7 20],[164.22922636 157.77077364] ; [13.77077364 13.22922636],0
n6,1,0.014012,6.036632,[273  51] ; [17  9],[268.45714286  55.54285714] ; [21.54285714  4.45714286],0
b1,1,0.019392,5.465822,[ 98 228] ; [14 13],[103.43342776 222.56657224] ; [ 8.56657224 18.43342776],0
n4,1,0.0295,4.73818,[234  92] ; [14 13],[229.03116147  96.96883853] ; [18.96883853  8.03116147],0
n2,1,0.049319,3.864448,[71 17] ; [6 5],[68.44444444 19.55555556] ; [8.55555556 2.44444444],0
a5,1,0.066773,3.360621,[225 101] ; [14 13],[220.71954674 105.28045326] ; [18.28045326  8.71954674],0
a4,1,0.070057,3.281684,[130 196] ; [ 6 21],[125.59773371 200.40226629] ; [10.40226629 16.59773371],0
s5,1,0.089872,2.876668,[ 95 219] ; [ 4 23],[ 91.16129032 222.83870968] ; [ 7.83870968 19.16129032],0
u3,1,0.101981,2.674286,[61 44] ; [4 8],[58.33333333 46.66666667] ; [6.66666667 5.33333333],0
d2,1,0.105563,2.619425,[136 189] ; [ 7 20],[132.03125 192.96875] ; [10.96875 16.03125],0
