Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.9e-05,17.469252,[92 31] ; [ 7 16],[83.40410959 39.59589041] ; [15.59589041  7.40410959],1
v4,1,0.000359,12.734448,[113  10] ; [15  8],[107.83561644  15.16438356] ; [20.16438356  2.83561644],1
d5,1,0.000712,11.457389,[95 27] ; [10 13],[88.34482759 33.65517241] ; [16.65517241  6.34482759],1
b4,1,0.042088,4.131647,[81 42] ; [10 13],[76.66438356 46.33561644] ; [14.33561644  8.66438356],0
p6,1,0.056841,3.627231,[46 75] ; [ 4 19],[42.01388889 78.98611111] ; [ 7.98611111 15.01388889],0
s3,1,0.061942,3.484616,[63 59] ; [ 7 16],[58.89655172 63.10344828] ; [11.10344828 11.89655172],0
p2,1,0.068914,3.308697,[100  22] ; [15  8],[96.75862069 25.24137931] ; [18.24137931  4.75862069],0
s7,1,0.078286,3.100122,[50 67] ; [ 5 17],[46.29496403 70.70503597] ; [ 8.70503597 13.29496403],0
d1,1,0.083388,2.997604,[56 67] ; [ 6 17],[52.23287671 70.76712329] ; [ 9.76712329 13.23287671],0
b1,1,0.11786,2.445534,[43 80] ; [12 11],[46.33561644 76.66438356] ; [ 8.66438356 14.33561644],0
p5,1,0.139237,2.186376,[ 13 109] ; [ 5 18],[ 15.14482759 106.85517241] ; [ 2.85517241 20.14482759],0
p4,1,0.168618,1.89519,[61 62] ; [15  8],[64.02739726 58.97260274] ; [11.97260274 11.02739726],0
a7,1,0.192139,1.701139,[81 41] ; [12 11],[78.24827586 43.75172414] ; [14.75172414  8.24827586],0
b3,1,0.211863,1.558653,[29 41] ; [ 3 10],[26.98795181 43.01204819] ; [5.01204819 7.98795181],0
b2,1,0.211863,1.558653,[29 41] ; [ 3 10],[26.98795181 43.01204819] ; [5.01204819 7.98795181],0
a4,1,0.215423,1.534602,[43 80] ; [ 5 18],[40.43835616 82.56164384] ; [ 7.56164384 15.43835616],0
a3,1,0.23941,1.384064,[75 48] ; [11 12],[72.45205479 50.54794521] ; [13.54794521  9.45205479],0
n6,1,0.258203,1.278365,[103  20] ; [17  6],[101.09589041  21.90410959] ; [18.90410959  4.09589041],0
u2,1,0.300623,1.071429,[24 24] ; [8 4],[25.6 22.4] ; [6.4 5.6],0
u3,1,0.300623,1.071429,[24 24] ; [4 8],[22.4 25.6] ; [5.6 6.4],0
b5,1,0.308874,1.035485,[78 45] ; [12 11],[75.82191781 47.17808219] ; [14.17808219  8.82191781],0
d2,1,0.319836,0.989618,[45 77] ; [ 6 17],[42.91034483 79.08965517] ; [ 8.08965517 14.91034483],0
s2,1,0.320664,0.986238,[62 61] ; [ 9 14],[59.81506849 63.18493151] ; [11.18493151 11.81506849],0
d3,1,0.374317,0.789282,[70 51] ; [11 12],[68.0625 52.9375] ; [12.9375 10.0625],0
a8,1,0.451947,0.565764,[ 10 107] ; [ 3 19],[ 10.94244604 106.05755396] ; [ 2.05755396 19.94244604],0
v1,1,0.460771,0.544022,[57 63] ; [ 9 14],[55.38461538 64.61538462] ; [10.61538462 12.38461538],0
p12,1,0.466707,0.529763,[  6 116] ; [ 2 21],[  6.73103448 115.26896552] ; [ 1.26896552 21.73103448],0
s5,1,0.49537,0.464842,[33 82] ; [ 5 18],[31.66666667 83.33333333] ; [ 6.33333333 16.66666667],0
p11,1,0.515219,0.423453,[100  23] ; [20  3],[101.09589041  21.90410959] ; [18.90410959  4.09589041],0
p3,1,0.523615,0.406768,[57 66] ; [ 9 14],[55.60273973 67.39726027] ; [10.39726027 12.60273973],0
p7,1,0.52725,0.399689,[66 54] ; [11 12],[64.61538462 55.38461538] ; [12.38461538 10.61538462],0
s4,1,0.535139,0.384623,[25 98] ; [ 6 17],[26.11643836 96.88356164] ; [ 4.88356164 18.11643836],0
n5,1,0.557009,0.344909,[89 34] ; [18  5],[90.14383562 32.85616438] ; [16.85616438  6.14383562],0
a1,1,0.582376,0.302409,[  7 116] ; [ 2 21],[  7.58219178 115.41780822] ; [ 1.41780822 21.58219178],0
v3,1,0.595338,0.282085,[38 82] ; [ 6 17],[36.92307692 83.07692308] ; [ 7.07692308 15.92307692],0
p1,1,0.631043,0.230649,[ 15 108] ; [ 2 21],[ 14.32191781 108.67808219] ; [ 2.67808219 20.32191781],0
a6,1,0.674331,0.176578,[70 53] ; [12 11],[69.08219178 53.91780822] ; [12.91780822 10.08219178],0
p8,1,0.694792,0.153947,[58 63] ; [10 13],[57.13888889 63.86111111] ; [10.86111111 12.13888889],0
n1,1,0.735466,0.114152,[13 23] ; [3 4],[13.39534884 22.60465116] ; [2.60465116 4.39534884],0
