Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5e-06,20.693434,[236 164] ; [25 55],[217.5 182.5] ; [43.5 36.5],1
d4,1,2.2e-05,17.977662,[336  63] ; [51 29],[322.36534447  76.63465553] ; [64.63465553 15.36534447],1
v2,1,0.000389,12.583682,[171 215] ; [18 61],[156.89032258 229.10967742] ; [32.10967742 46.89032258],1
d3,1,0.000994,10.838157,[279 121] ; [40 39],[266.38830898 133.61169102] ; [52.61169102 26.38830898],1
r2,1,0.001568,9.996851,[393   6] ; [73  6],[388.9832636  10.0167364] ; [77.0167364  1.9832636],0
v1,1,0.001652,9.900544,[187 206] ; [22 56],[174.38853503 218.61146497] ; [34.61146497 43.38853503],0
a5,1,0.001669,9.882353,[295 105] ; [45 35],[283.33333333 116.66666667] ; [56.66666667 23.33333333],0
a3,1,0.002238,9.343281,[284 115] ; [43 37],[272.38622129 126.61377871] ; [54.61377871 25.38622129],0
n4,1,0.002241,9.340873,[301  98] ; [47 33],[289.87891441 109.12108559] ; [58.12108559 21.87891441],0
u1,1,0.003199,8.690149,[ 73 327] ; [ 4 76],[ 64.16666667 335.83333333] ; [12.83333333 67.16666667],0
a2,1,0.003808,8.37303,[ 99 301] ; [ 8 72],[ 89.16666667 310.83333333] ; [17.83333333 62.16666667],0
d2,1,0.005307,7.771724,[195 205] ; [25 54],[183.71607516 216.28392484] ; [36.28392484 42.71607516],0
d5,1,0.005817,7.606254,[328  72] ; [54 25],[318.99791232  81.00208768] ; [63.00208768 15.99791232],0
s6,1,0.006472,7.41399,[271 119] ; [43 37],[260.55319149 129.44680851] ; [53.44680851 26.55319149],0
a1,1,0.007614,7.122011,[  8 392] ; [ 6 74],[ 11.66666667 388.33333333] ; [ 2.33333333 77.66666667],0
s7,1,0.022252,5.22601,[173 212] ; [23 52],[164.04347826 220.95652174] ; [31.95652174 43.04347826],0
p2,1,0.025438,4.993811,[335  63] ; [59 21],[328.05857741  69.94142259] ; [65.94142259 14.05857741],0
a7,1,0.028161,4.818203,[301  99] ; [50 29],[293.11064718 106.88935282] ; [57.88935282 21.11064718],0
n2,1,0.028369,4.805519,[65 27] ; [23  2],[69.1965812 22.8034188] ; [18.8034188  6.1965812],0
a4,1,0.035959,4.399037,[180 218] ; [26 54],[171.52301255 226.47698745] ; [34.47698745 45.52301255],0
p8,1,0.057394,3.611143,[203 190] ; [32 48],[195.25369979 197.74630021] ; [39.74630021 40.25369979],0
u3,1,0.057522,3.607414,[76 39] ; [18 19],[71.11842105 43.88157895] ; [22.88157895 14.11842105],0
s3,1,0.067921,3.332565,[224 175] ; [36 44],[216.57620042 182.42379958] ; [43.42379958 36.57620042],0
s8,1,0.087073,2.927667,[160 238] ; [24 56],[153.20502092 244.79497908] ; [30.79497908 49.20502092],0
p7,1,0.093339,2.815828,[246 143] ; [42 37],[239.38461538 149.61538462] ; [48.61538462 30.38461538],0
p6,1,0.120411,2.41196,[149 244] ; [23 57],[142.90909091 250.09090909] ; [29.09090909 50.90909091],0
a6,1,0.148306,2.089584,[278 122] ; [49 31],[272.5 127.5] ; [54.5 25.5],0
b5,1,0.165472,1.923497,[242 158] ; [55 25],[247.5 152.5] ; [49.5 30.5],0
n5,1,0.253776,1.302398,[282 113] ; [52 28],[277.74736842 117.25263158] ; [56.25263158 23.74736842],0
r3,1,0.256159,1.2894,[391   7] ; [77  3],[389.67364017   8.32635983] ; [78.32635983  1.67364017],0
b2,1,0.265087,1.241995,[ 88 146] ; [13 32],[ 84.70967742 149.29032258] ; [16.29032258 28.70967742],0
b3,1,0.265087,1.241995,[ 88 146] ; [13 32],[ 84.70967742 149.29032258] ; [16.29032258 28.70967742],0
s1,1,0.301519,1.067465,[ 11 384] ; [ 4 76],[ 12.47368421 382.52631579] ; [ 2.52631579 77.47368421],0
p11,1,0.325024,0.968621,[315  85] ; [59 21],[311.66666667  88.33333333] ; [62.33333333 17.66666667],0
p5,1,0.388664,0.743116,[ 29 369] ; [ 8 71],[ 30.8721174 367.1278826] ; [ 6.1278826 72.8721174],0
b1,1,0.400103,0.708017,[155 245] ; [27 53],[151.66666667 248.33333333] ; [30.33333333 49.66666667],0
p4,1,0.51922,0.415442,[224 173] ; [42 38],[221.38784067 175.61215933] ; [44.61215933 35.38784067],0
n3,1,0.527991,0.398257,[71 20] ; [18  7],[69.81896552 21.18103448] ; [19.18103448  5.81896552],0
p1,1,0.5365,0.382064,[ 27 370] ; [ 7 73],[ 28.29769392 368.70230608] ; [ 5.70230608 74.29769392],0
a8,1,0.557741,0.343631,[ 53 315] ; [ 9 67],[ 51.38738739 316.61261261] ; [10.61261261 65.38738739],0
s2,1,0.582788,0.301749,[192 205] ; [36 44],[189.76100629 207.23899371] ; [38.23899371 41.76100629],0
p12,1,0.591825,0.287502,[ 19 376] ; [ 5 75],[ 19.95789474 375.04210526] ; [ 4.04210526 75.95789474],0
s5,1,0.593892,0.284308,[127 258] ; [23 54],[125. 260.] ; [25. 52.],0
p9,1,0.623325,0.241221,[326  69] ; [67 12],[327.5  67.5] ; [65.5 13.5],0
p3,1,0.625216,0.238604,[181 217] ; [34 46],[179.0167364 218.9832636] ; [35.9832636 44.0167364],0
n6,1,0.648432,0.207883,[330  68] ; [68 12],[331.38912134  66.61087866] ; [66.61087866 13.38912134],0
b4,1,0.710677,0.137602,[226 174] ; [47 33],[227.5 172.5] ; [45.5 34.5],0
v4,1,0.719789,0.128695,[385  13] ; [78  2],[385.51046025  12.48953975] ; [77.48953975  2.51046025],0
p10,1,0.735332,0.114272,[309  87] ; [63 16],[310.13052632  85.86947368] ; [61.86947368 17.13052632],0
u2,1,0.747735,0.103444,[62 52] ; [19 18],[61.15231788 52.84768212] ; [19.84768212 17.15231788],0
s4,1,0.933442,0.006975,[ 77 316] ; [16 64],[ 77.27061311 315.72938689] ; [15.72938689 64.27061311],0
n1,1,0.942912,0.005128,[38 55] ; [10 14],[38.15384615 54.84615385] ; [ 9.84615385 14.15384615],0
