Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,30.338706,[26 16] ; [ 6 53],[13.30693069 28.69306931] ; [18.69306931 40.30693069],1
s6,1,3e-06,22.10991,[30 12] ; [14 44],[18.48 23.52] ; [25.52 32.48],1
r4,1,5.4e-05,16.310854,[38  4] ; [31 28],[28.69306931 13.30693069] ; [40.30693069 18.69306931],1
s7,1,0.000505,12.096419,[18 21] ; [ 8 49],[10.5625 28.4375] ; [15.4375 41.5625],1
s8,1,0.001028,10.777302,[17 25] ; [ 7 51],[10.08 31.92] ; [13.92 44.08],0
r3,1,0.001138,10.588193,[39  3] ; [37 20],[32.24242424  9.75757576] ; [43.75757576 13.24242424],0
b4,1,0.003608,8.471155,[28 14] ; [22 37],[20.79207921 21.20792079] ; [29.20792079 29.79207921],0
p10,1,0.003926,8.317918,[31 10] ; [26 30],[24.09278351 16.90721649] ; [32.90721649 23.09278351],0
r2,1,0.005564,7.686382,[40  2] ; [43 15],[34.86  7.14] ; [48.14  9.86],0
n6,1,0.008358,6.955125,[35  7] ; [34 24],[28.98 13.02] ; [40.02 17.98],0
p11,1,0.008727,6.877803,[34  8] ; [33 26],[27.86138614 14.13861386] ; [39.13861386 19.86138614],0
v4,1,0.011758,6.347025,[38  2] ; [44 14],[33.46938776  6.53061224] ; [48.53061224  9.46938776],0
b3,1,0.017141,5.681897,[ 3 21] ; [13 18],[ 6.98181818 17.01818182] ; [ 9.01818182 21.98181818],0
b2,1,0.017141,5.681897,[ 3 21] ; [13 18],[ 6.98181818 17.01818182] ; [ 9.01818182 21.98181818],0
s5,1,0.01801,5.59514,[11 31] ; [ 5 53],[ 6.72 35.28] ; [ 9.28 48.72],0
r1,1,0.020909,5.334399,[28 13] ; [26 32],[22.36363636 18.63636364] ; [31.63636364 26.36363636],0
v2,1,0.0221,5.237884,[17 21] ; [12 42],[11.97826087 26.02173913] ; [17.02173913 36.97826087],0
v3,1,0.028536,4.795408,[14 26] ; [ 9 48],[ 9.48453608 30.51546392] ; [13.51546392 43.48453608],0
p9,1,0.029096,4.761905,[33  9] ; [31 23],[28. 14.] ; [36. 18.],0
s4,1,0.034216,4.483873,[12 30] ; [ 7 52],[ 7.9009901 34.0990099] ; [11.0990099 47.9009901],0
v1,1,0.052653,3.754904,[18 21] ; [16 43],[13.53061224 25.46938776] ; [20.46938776 38.53061224],0
n2,1,0.074011,3.191745,[10  1] ; [16 10],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
p2,1,0.079073,3.083855,[30 11] ; [33 26],[25.83 15.17] ; [37.17 21.83],0
u3,1,0.113418,2.505943,[14 11] ; [12 22],[11.01694915 13.98305085] ; [14.98305085 19.01694915],0
n3,1,0.124004,2.366,[9 1] ; [16  9],[7.14285714 2.85714286] ; [17.85714286  7.14285714],0
a2,1,0.128765,2.307325,[ 1 41] ; [ 6 53],[ 2.91089109 39.08910891] ; [ 4.08910891 54.91089109],0
