Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0041,8.238797,[7 4] ; [ 2 15],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
v4,1,0.014393,5.989305,[5 6] ; [15  2],[7.85714286 3.14285714] ; [12.14285714  4.85714286],0
r1,1,0.073896,3.194296,[7 4] ; [ 5 12],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
s6,1,0.102069,2.672919,[8 3] ; [ 7 10],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
n4,1,0.102069,2.672919,[8 3] ; [ 7 10],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
a8,1,0.102483,2.666477,[3 7] ; [ 1 15],[1.53846154 8.46153846] ; [ 2.46153846 13.53846154],0
s7,1,0.126568,2.334105,[5 4] ; [ 4 12],[3.24 5.76] ; [ 5.76 10.24],0
s3,1,0.158834,1.985294,[5 5] ; [ 4 13],[3.33333333 6.66666667] ; [ 5.66666667 11.33333333],0
v3,1,0.225041,1.471933,[5 6] ; [ 4 13],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
b1,1,0.225041,1.471933,[6 5] ; [13  4],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
p9,1,0.24135,1.372689,[9 1] ; [12  5],[7.77777778 2.22222222] ; [13.22222222  3.77777778],0
a7,1,0.245699,1.347594,[4 7] ; [10  7],[5.5 5.5] ; [8.5 8.5],0
u3,1,0.263552,1.25,[3 2] ; [3 7],[2. 3.] ; [4. 6.],0
d1,1,0.263978,1.247772,[4 7] ; [ 3 14],[2.75 8.25] ; [ 4.25 12.75],0
b4,1,0.314736,1.010695,[6 5] ; [ 6 11],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
a6,1,0.314736,1.010695,[5 6] ; [11  6],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
p2,1,0.329929,0.949175,[10  1] ; [13  4],[9.03571429 1.96428571] ; [13.96428571  3.03571429],0
a3,1,0.488462,0.479912,[6 5] ; [ 7 10],[5.10714286 5.89285714] ; [7.89285714 9.10714286],0
r3,1,0.527458,0.399287,[10  1] ; [14  3],[9.42857143 1.57142857] ; [14.57142857  2.42857143],0
s2,1,0.573025,0.317647,[4 6] ; [ 5 12],[3.33333333 6.66666667] ; [ 5.66666667 11.33333333],0
n1,1,0.635256,0.225,[1 3] ; [2 3],[1.33333333 2.66666667] ; [1.66666667 3.33333333],0
n3,1,0.635256,0.225,[3 1] ; [3 2],[2.66666667 1.33333333] ; [3.33333333 1.66666667],0
p11,1,0.635558,0.224599,[9 2] ; [15  2],[9.42857143 1.57142857] ; [14.57142857  2.42857143],0
p4,1,0.65714,0.197017,[8 3] ; [11  6],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
d4,1,0.65714,0.197017,[8 3] ; [11  6],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
u2,1,0.679708,0.170455,[4 1] ; [7 3],[3.66666667 1.33333333] ; [7.33333333 2.66666667],0
p3,1,0.698791,0.149733,[5 6] ; [9 8],[5.5 5.5] ; [8.5 8.5],0
p5,1,0.736268,0.113434,[2 9] ; [ 4 13],[2.35714286 8.64285714] ; [ 3.64285714 13.35714286],0
s5,1,0.736268,0.113434,[2 9] ; [ 4 13],[2.35714286 8.64285714] ; [ 3.64285714 13.35714286],0
a2,1,0.74748,0.103661,[ 1 10] ; [ 1 16],[ 0.78571429 10.21428571] ; [ 1.21428571 15.78571429],0
v1,1,0.798977,0.064857,[4 7] ; [ 7 10],[4.32142857 6.67857143] ; [ 6.67857143 10.32142857],0
a5,1,0.798977,0.064857,[7 4] ; [10  7],[6.67857143 4.32142857] ; [10.32142857  6.67857143],0
p6,1,0.798977,0.064857,[4 7] ; [ 7 10],[4.32142857 6.67857143] ; [ 6.67857143 10.32142857],0
v2,1,0.816334,0.053946,[5 6] ; [8 8],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
p7,1,0.823218,0.049911,[8 3] ; [13  4],[8.25 2.75] ; [12.75  4.25],0
d5,1,0.823218,0.049911,[6 5] ; [10  7],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
b5,1,0.823218,0.049911,[6 5] ; [10  7],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
r4,1,0.823218,0.049911,[5 6] ; [ 7 10],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
n2,1,0.857714,0.032143,[3 1] ; [4 1],[3.11111111 0.88888889] ; [3.88888889 1.11111111],0
b2,1,0.875996,0.024351,[2 6] ; [2 5],[2.13333333 5.86666667] ; [1.86666667 5.13333333],0
b3,1,0.875996,0.024351,[2 6] ; [2 5],[2.13333333 5.86666667] ; [1.86666667 5.13333333],0
a4,1,0.90261,0.014973,[3 8] ; [ 5 12],[3.14285714 7.85714286] ; [ 4.85714286 12.14285714],0
s4,1,0.90261,0.014973,[3 8] ; [ 5 12],[3.14285714 7.85714286] ; [ 4.85714286 12.14285714],0
d3,1,0.933748,0.006911,[6 5] ; [9 8],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
n6,1,0.954001,0.003327,[7 4] ; [11  6],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
n5,1,0.954001,0.003327,[7 4] ; [11  6],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
p12,1,0.971216,0.001302,[2 9] ; [ 3 14],[1.96428571 9.03571429] ; [ 3.03571429 13.96428571],0
