Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.1e-05,19.402063,[22 36] ; [94 37],[35.5978836 22.4021164] ; [80.4021164 50.5978836],1
r2,1,0.000162,14.226621,[49  9] ; [128   2],[54.60638298  3.39361702] ; [122.39361702   7.60638298],1
r4,1,0.000335,12.861508,[44 14] ; [124   8],[51.28421053  6.71578947] ; [116.71578947  15.28421053],1
b5,1,0.004658,8.007663,[26 32] ; [88 44],[34.8 23.2] ; [79.2 52.8],0
s7,1,0.005332,7.763239,[43 11] ; [73 53],[34.8 19.2] ; [81.2 44.8],0
r3,1,0.012443,6.246617,[50  8] ; [126   5],[54.01058201  3.98941799] ; [121.98941799   9.01058201],0
d3,1,0.014049,6.031976,[32 26] ; [96 35],[39.28042328 18.71957672] ; [88.71957672 42.28042328],0
v4,1,0.016478,5.751092,[52  6] ; [128   3],[55.23809524  2.76190476] ; [124.76190476   6.23809524],0
a2,1,0.021088,5.319513,[ 7 51] ; [36 96],[13.12631579 44.87368421] ; [ 29.87368421 102.12631579],0
s8,1,0.030139,4.701365,[38 20] ; [64 68],[31.13684211 26.86315789] ; [70.86315789 61.13684211],0
u1,1,0.034874,4.451354,[ 5 53] ; [ 28 104],[10.07368421 47.92631579] ; [ 22.92631579 109.07368421],0
d4,1,0.040301,4.205149,[41 16] ; [111  20],[46.08510638 10.91489362] ; [105.91489362  25.08510638],0
n3,1,0.043987,4.057043,[11 12] ; [19  6],[14.375  8.625] ; [15.625  9.375],0
p2,1,0.078772,3.090061,[44 14] ; [113  18],[48.17989418  9.82010582] ; [108.82010582  22.17989418],0
b1,1,0.085296,2.960985,[32 26] ; [55 77],[26.55789474 31.44210526] ; [60.44210526 71.55789474],0
n1,1,0.087107,2.927039,[13 10] ; [ 8 17],[10.0625 12.9375] ; [10.9375 14.0625],0
b4,1,0.127178,2.326621,[26 32] ; [75 57],[30.83157895 27.16842105] ; [70.16842105 61.83157895],0
p9,1,0.143697,2.137914,[45 13] ; [112  18],[48.43617021  9.56382979] ; [108.56382979  21.43617021],0
a3,1,0.157114,2.001788,[45 13] ; [89 43],[40.90526316 17.09473684] ; [93.09473684 38.90526316],0
p10,1,0.193943,1.687408,[44 14] ; [109  21],[47.20212766 10.79787234] ; [105.79787234  24.20212766],0
s4,1,0.223,1.484959,[21 36] ; [36 93],[17.46774194 39.53225806] ; [39.53225806 89.46774194],0
p3,1,0.264129,1.246983,[33 25] ; [63 68],[29.46031746 28.53968254] ; [66.53968254 64.46031746],0
a1,1,0.268007,1.226917,[ 5 53] ; [  6 126],[ 3.35789474 54.64210526] ; [  7.64210526 124.35789474],0
a4,1,0.276433,1.184543,[30 28] ; [57 75],[26.55789474 31.44210526] ; [60.44210526 71.55789474],0
a8,1,0.284327,1.146291,[ 5 49] ; [ 19 106],[ 7.24022346 46.75977654] ; [ 16.75977654 108.24022346],0
v3,1,0.343731,0.896468,[15 43] ; [ 25 102],[12.54054054 45.45945946] ; [27.45945946 99.54054054],0
n2,1,0.404248,0.695652,[16  7] ; [20  5],[17.25  5.75] ; [18.75  6.25],0
r1,1,0.417287,0.657943,[42 16] ; [102  29],[44.19047619 13.80952381] ; [99.80952381 31.19047619],0
d5,1,0.448555,0.574302,[41 16] ; [101  30],[43.05319149 13.94680851] ; [98.94680851 32.05319149],0
v1,1,0.449784,0.571197,[27 30] ; [53 75],[24.64864865 32.35135135] ; [55.35135135 72.64864865],0
p8,1,0.46762,0.527595,[27 31] ; [69 63],[29.30526316 28.69473684] ; [66.69473684 65.30526316],0
n6,1,0.479837,0.499233,[46 11] ; [112  20],[47.65079365  9.34920635] ; [110.34920635  21.65079365],0
b3,1,0.495131,0.465357,[17 26] ; [26 52],[15.28099174 27.71900826] ; [27.71900826 50.28099174],0
b2,1,0.495131,0.465357,[17 26] ; [26 52],[15.28099174 27.71900826] ; [27.71900826 50.28099174],0
u3,1,0.500111,0.4547,[8 5] ; [30 12],[8.98181818 4.01818182] ; [29.01818182 12.98181818],0
s3,1,0.517874,0.418126,[52  6] ; [113  18],[50.63492063  7.36507937] ; [114.36507937  16.63492063],0
p4,1,0.539899,0.375726,[36 22] ; [88 44],[37.85263158 20.14736842] ; [86.14736842 45.85263158],0
s1,1,0.547172,0.362408,[ 6 52] ; [ 10 120],[ 4.93617021 53.06382979] ; [ 11.06382979 118.93617021],0
p1,1,0.550955,0.35561,[ 7 51] ; [ 12 118],[ 5.86170213 52.13829787] ; [ 13.13829787 116.86170213],0
p6,1,0.562711,0.335031,[25 33] ; [51 81],[23.2 34.8] ; [52.8 79.2],0
d1,1,0.580243,0.305841,[30 28] ; [74 58],[31.74736842 26.25263158] ; [72.25263158 59.74736842],0
s5,1,0.627846,0.234994,[28 30] ; [56 70],[26.47826087 31.52173913] ; [57.52173913 68.47826087],0
d2,1,0.680437,0.169634,[28 30] ; [59 72],[26.6984127 31.3015873] ; [60.3015873 70.6984127],0
p7,1,0.727729,0.121207,[37 21] ; [77 49],[35.93478261 22.06521739] ; [78.06521739 47.93478261],0
p5,1,0.743138,0.107388,[ 9 48] ; [ 18 111],[ 8.27419355 48.72580645] ; [ 18.72580645 110.27419355],0
n4,1,0.745369,0.105463,[43 15] ; [100  31],[43.88359788 14.11640212] ; [99.11640212 31.88359788],0
a5,1,0.779761,0.078193,[39 19] ; [86 46],[38.15789474 19.84210526] ; [86.84210526 45.15789474],0
u4,1,0.808338,0.058841,[ 1 57] ; [  3 129],[ 1.22105263 56.77894737] ; [  2.77894737 129.22105263],0
n5,1,0.81296,0.055984,[44 14] ; [98 34],[43.34736842 14.65263158] ; [98.65263158 33.34736842],0
u2,1,0.8572,0.032378,[8 5] ; [27 15],[8.27272727 4.72727273] ; [26.72727273 15.27272727],0
p11,1,0.899079,0.016084,[44 14] ; [99 33],[43.65263158 14.34736842] ; [99.34736842 32.65263158],0
s6,1,0.927387,0.008305,[48  9] ; [111  20],[48.20744681  8.79255319] ; [110.79255319  20.20744681],0
p12,1,0.984279,0.000388,[ 4 54] ; [  9 123],[ 3.96842105 54.03157895] ; [  9.03157895 122.96842105],0
