Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.009087,6.805556,[12 42] ; [9 7],[16.2 37.8] ; [ 4.8 11.2],0
s1,1,0.097744,2.74197,[ 3 51] ; [ 3 13],[ 4.62857143 49.37142857] ; [ 1.37142857 14.62857143],0
s6,1,0.142922,2.146216,[30 25] ; [12  4],[32.53521127 22.46478873] ; [9.46478873 6.53521127],0
a2,1,0.153845,2.033711,[ 6 49] ; [ 4 12],[ 7.74647887 47.25352113] ; [ 2.25352113 13.74647887],0
a8,1,0.159933,1.974857,[ 2 48] ; [ 2 12],[ 3.125 46.875] ; [ 0.875 13.125],0
d2,1,0.183716,1.767304,[24 31] ; [10  6],[26.33802817 28.66197183] ; [7.66197183 8.33802817],0
s4,1,0.20024,1.640625,[ 9 45] ; [ 5 11],[10.8 43.2] ; [ 3.2 12.8],0
v1,1,0.206866,1.593225,[18 37] ; [8 8],[20.14084507 34.85915493] ; [ 5.85915493 10.14084507],0
a7,1,0.209686,1.573595,[40 15] ; [9 7],[37.95774648 17.04225352] ; [11.04225352  4.95774648],0
a3,1,0.230019,1.440747,[25 30] ; [10  6],[27.11267606 27.88732394] ; [7.88732394 8.11267606],0
n3,1,0.262193,1.257143,[12  4] ; [3 3],[10.90909091  5.09090909] ; [4.09090909 1.90909091],0
p6,1,0.269004,1.221818,[14 41] ; [6 9],[15.71428571 39.28571429] ; [ 4.28571429 10.71428571],0
s7,1,0.274664,1.193302,[17 37] ; [7 8],[18.7826087 35.2173913] ; [5.2173913 9.7826087],0
u3,1,0.295971,1.09226,[17 13] ; [2 4],[15.83333333 14.16666667] ; [3.16666667 2.83333333],0
n1,1,0.305507,1.05,[ 4 11] ; [3 3],[ 5. 10.] ; [2. 4.],0
d5,1,0.336829,0.922462,[42 13] ; [14  2],[43.38028169 11.61971831] ; [12.61971831  3.38028169],0
v3,1,0.339235,0.913321,[17 38] ; [7 9],[18.5915493 36.4084507] ; [ 5.4084507 10.5915493],0
p5,1,0.34347,0.897436,[ 3 51] ; [ 2 14],[ 3.85714286 50.14285714] ; [ 1.14285714 14.85714286],0
n5,1,0.373277,0.792728,[31 24] ; [7 9],[29.43661972 25.56338028] ; [8.56338028 7.43661972],0
b4,1,0.375005,0.787012,[31 24] ; [11  5],[32.53521127 22.46478873] ; [9.46478873 6.53521127],0
r2,1,0.380054,0.770526,[47  8] ; [15  1],[48.02816901  6.97183099] ; [13.97183099  2.02816901],0
s2,1,0.428098,0.627979,[21 33] ; [8 8],[22.37142857 31.62857143] ; [6.62857143 9.37142857],0
u1,1,0.431769,0.618061,[ 9 46] ; [ 4 12],[10.07042254 44.92957746] ; [ 2.92957746 13.07042254],0
b5,1,0.446776,0.578818,[30 25] ; [7 9],[28.66197183 26.33802817] ; [8.33802817 7.66197183],0
b2,1,0.447185,0.577778,[11 29] ; [ 2 10],[10. 30.] ; [3. 9.],0
b3,1,0.447185,0.577778,[11 29] ; [ 2 10],[10. 30.] ; [3. 9.],0
p1,1,0.470795,0.52011,[ 7 48] ; [ 1 15],[ 6.1971831 48.8028169] ; [ 1.8028169 14.1971831],0
v4,1,0.470795,0.52011,[48  7] ; [15  1],[48.8028169  6.1971831] ; [14.1971831  1.8028169],0
