Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,33.882353,[67 14] ; [18 36],[51. 30.] ; [34. 20.],1
n6,1,0.000194,13.888889,[64 17] ; [26 28],[54. 27.] ; [36. 18.],1
a6,1,0.006729,7.344033,[55 26] ; [24 30],[47.4 33.6] ; [31.6 22.4],0
a1,1,0.025347,5.0,[13 68] ; [ 2 52],[ 9. 72.] ; [ 6. 48.],0
d4,1,0.03193,4.602273,[54 27] ; [45  9],[59.4 21.6] ; [39.6 14.4],0
r3,1,0.033526,4.518717,[56 25] ; [46  8],[61.2 19.8] ; [40.8 13.2],0
v2,1,0.037317,4.335882,[23 52] ; [25 26],[28.57142857 46.42857143] ; [19.42857143 31.57142857],0
u3,1,0.04168,4.148148,[10 17] ; [14  7],[13.5 13.5] ; [10.5 10.5],0
p3,1,0.055135,3.677988,[22 59] ; [ 7 46],[17.52985075 63.47014925] ; [11.47014925 41.52985075],0
a5,1,0.055153,3.677466,[58 23] ; [30 24],[52.8 28.2] ; [35.2 18.8],0
d5,1,0.062407,3.472222,[49 32] ; [41 13],[54. 27.] ; [36. 18.],0
a2,1,0.066081,3.377792,[23 58] ; [ 8 46],[18.6 62.4] ; [12.4 41.6],0
p12,1,0.070807,3.264222,[ 8 73] ; [ 1 52],[ 5.44029851 75.55970149] ; [ 3.55970149 49.44029851],0
p1,1,0.093533,2.8125,[12 69] ; [ 3 51],[ 9. 72.] ; [ 6. 48.],0
n2,1,0.094625,2.793874,[27 11] ; [12 12],[23.90322581 14.09677419] ; [15.09677419  8.90322581],0
p9,1,0.097648,2.743537,[46 32] ; [22 28],[41.4375 36.5625] ; [26.5625 23.4375],0
s4,1,0.125224,2.35074,[12 67] ; [14 40],[15.44360902 63.55639098] ; [10.55639098 43.44360902],0
u2,1,0.145729,2.116402,[11 16] ; [13  8],[13.5 13.5] ; [10.5 10.5],0
s8,1,0.162898,1.947115,[27 54] ; [12 42],[23.4 57.6] ; [15.6 38.4],0
b5,1,0.180363,1.794631,[40 41] ; [33 21],[43.8 37.2] ; [29.2 24.8],0
p11,1,0.181804,1.782814,[44 37] ; [23 31],[40.2 40.8] ; [26.8 27.2],0
n1,1,0.205964,1.599571,[20 17] ; [ 9 15],[17.59016393 19.40983607] ; [11.40983607 12.59016393],0
u1,1,0.244687,1.353383,[15 66] ; [ 6 48],[12.6 68.4] ; [ 8.4 45.6],0
r4,1,0.263552,1.25,[51 30] ; [39 15],[54. 27.] ; [36. 18.],0
s2,1,0.278052,1.176589,[23 57] ; [20 33],[25.86466165 54.13533835] ; [17.13533835 35.86466165],0
p10,1,0.282393,1.155537,[41 38] ; [22 30],[37.99236641 41.00763359] ; [25.00763359 26.99236641],0
d2,1,0.286659,1.135247,[44 35] ; [25 29],[40.98496241 38.01503759] ; [28.01503759 25.98496241],0
s1,1,0.314657,1.011025,[ 5 75] ; [ 6 48],[ 6.56716418 73.43283582] ; [ 4.43283582 49.56716418],0
u4,1,0.352236,0.865385,[ 4 77] ; [ 1 53],[ 3. 78.] ; [ 2. 52.],0
v1,1,0.354431,0.857529,[22 56] ; [19 34],[24.41221374 53.58778626] ; [16.58778626 36.41221374],0
b1,1,0.360308,0.836818,[41 40] ; [23 31],[38.4 42.6] ; [25.6 28.4],0
a3,1,0.388438,0.743825,[54 25] ; [33 21],[51.67669173 27.32330827] ; [35.32330827 18.67669173],0
b3,1,0.451043,0.568031,[25 28] ; [12 19],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
b2,1,0.451043,0.568031,[25 28] ; [12 19],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
r1,1,0.466854,0.529412,[49 32] ; [36 18],[51. 30.] ; [34. 20.],0
p4,1,0.528958,0.396392,[17 63] ; [14 40],[18.50746269 61.49253731] ; [12.49253731 41.50746269],0
n3,1,0.622283,0.242672,[22 14] ; [12 10],[21.10344828 14.89655172] ; [12.89655172  9.10344828],0
s5,1,0.625265,0.238537,[16 61] ; [12 37],[17.11111111 59.88888889] ; [10.88888889 38.11111111],0
a4,1,0.678025,0.172357,[38 41] ; [24 30],[36.82706767 42.17293233] ; [25.17293233 28.82706767],0
s3,1,0.714761,0.133568,[27 51] ; [20 33],[27.98473282 50.01526718] ; [19.01526718 33.98473282],0
v4,1,0.743641,0.106952,[62 19] ; [40 14],[61.2 19.8] ; [40.8 13.2],0
p8,1,0.744333,0.106355,[ 9 72] ; [ 7 47],[ 9.6 71.4] ; [ 6.4 47.6],0
v3,1,0.75715,0.095621,[26 49] ; [16 34],[25.2 49.8] ; [16.8 33.2],0
s6,1,0.78677,0.073174,[37 44] ; [25 27],[37.7593985 43.2406015] ; [24.2406015 27.7593985],0
a8,1,0.796305,0.066632,[ 5 70] ; [ 3 51],[ 4.65116279 70.34883721] ; [ 3.34883721 50.65116279],0
a7,1,0.830589,0.045773,[48 33] ; [31 23],[47.4 33.6] ; [31.6 22.4],0
d3,1,0.831709,0.045161,[45 36] ; [31 23],[45.6 35.4] ; [30.4 23.6],0
d1,1,0.832988,0.044466,[39 42] ; [27 27],[39.6 41.4] ; [26.4 27.6],0
p6,1,0.892778,0.018168,[ 7 73] ; [ 5 48],[ 7.21804511 72.78195489] ; [ 4.78195489 48.21804511],0
r2,1,0.928518,0.008048,[69 12] ; [44  8],[68.81954887 12.18045113] ; [44.18045113  7.81954887],0
s7,1,0.943711,0.004985,[25 53] ; [16 33],[25.18110236 52.81889764] ; [15.81889764 33.18110236],0
b4,1,1.0,0.0,[48 33] ; [32 22],[48. 33.] ; [32. 22.],0
