Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.6e-05,18.610792,[81 79] ; [ 6 37],[68.57142857 91.42857143] ; [18.42857143 24.57142857],1
p3,1,0.000336,12.855612,[104  58] ; [15 29],[93.58252427 68.41747573] ; [25.41747573 18.58252427],1
p4,1,0.000609,11.747298,[121  41] ; [21 23],[111.66990291  50.33009709] ; [30.33009709 13.66990291],1
a3,1,0.002214,9.362673,[110  51] ; [19 25],[101.31219512  59.68780488] ; [27.68780488 16.31219512],0
p11,1,0.015348,5.876024,[142  20] ; [32 12],[136.83495146  25.16504854] ; [37.16504854  6.83495146],0
n4,1,0.016275,5.772868,[125  37] ; [26 18],[118.74757282  43.25242718] ; [32.25242718 11.74757282],0
r4,1,0.017916,5.604366,[149  13] ; [35  9],[144.69902913  17.30097087] ; [39.30097087  4.69902913],0
d5,1,0.01903,5.498751,[136  26] ; [30 14],[130.54368932  31.45631068] ; [35.45631068  8.54368932],0
d1,1,0.020198,5.394732,[98 64] ; [18 26],[91.22330097 70.77669903] ; [24.77669903 19.22330097],0
s8,1,0.025581,4.984132,[ 50 111] ; [ 6 37],[ 44.19607843 116.80392157] ; [11.80392157 31.19607843],0
s5,1,0.035861,4.403694,[ 44 116] ; [ 5 37],[ 38.81188119 121.18811881] ; [10.18811881 31.81188119],0
p2,1,0.046169,3.975412,[144  18] ; [34 10],[139.98058252  22.01941748] ; [38.01941748  5.98058252],0
d2,1,0.054683,3.691722,[74 88] ; [13 31],[68.41747573 93.58252427] ; [18.58252427 25.41747573],0
s6,1,0.063869,3.43396,[78 80] ; [14 28],[72.68 85.32] ; [19.32 22.68],0
p5,1,0.11845,2.437699,[ 26 136] ; [ 3 41],[ 22.80582524 139.19417476] ; [ 6.19417476 37.80582524],0
v1,1,0.122902,2.379945,[96 65] ; [20 23],[91.54901961 69.45098039] ; [24.45098039 18.54901961],0
u1,1,0.139267,2.186041,[ 25 137] ; [ 3 41],[ 22.01941748 139.98058252] ; [ 5.98058252 38.01941748],0
v3,1,0.14332,2.141946,[61 98] ; [11 31],[ 56.95522388 102.04477612] ; [15.04477612 26.95522388],0
b4,1,0.143344,2.141694,[83 79] ; [28 16],[87.29126214 74.70873786] ; [23.70873786 20.29126214],0
n3,1,0.152825,2.043823,[23  8] ; [5 5],[21.17073171  9.82926829] ; [6.82926829 3.17073171],0
n6,1,0.176932,1.823204,[138  23] ; [34 10],[135.08292683  25.91707317] ; [36.91707317  7.08292683],0
s7,1,0.20342,1.617646,[ 47 102] ; [ 9 33],[ 43.68586387 105.31413613] ; [12.31413613 29.68586387],0
n5,1,0.245585,1.348245,[121  41] ; [29 15],[117.96116505  44.03883495] ; [32.03883495 11.96116505],0
p12,1,0.267601,1.229002,[ 11 151] ; [ 1 42],[  9.48292683 152.51707317] ; [ 2.51707317 40.48292683],0
s1,1,0.306736,1.044678,[  3 158] ; [ 2 42],[  3.92682927 157.07317073] ; [ 1.07317073 42.92682927],0
v2,1,0.323276,0.975645,[93 66] ; [21 21],[90.17910448 68.82089552] ; [23.82089552 18.17910448],0
s4,1,0.353046,0.862479,[ 19 140] ; [ 3 40],[ 17.31683168 141.68316832] ; [ 4.68316832 38.31683168],0
