Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,64.945727,[505  18] ; [91 30],[484.01863354  38.98136646] ; [111.98136646   9.01863354],1
r2,1,0.0,33.676074,[507  11] ; [103  17],[495.26645768  22.73354232] ; [114.73354232   5.26645768],1
u1,1,1.1e-05,19.281479,[117 406] ; [  6 115],[ 99.88975155 423.11024845] ; [23.11024845 97.88975155],1
d1,1,1.3e-05,18.946465,[341 182] ; [53 68],[319.97204969 203.02795031] ; [74.02795031 46.97204969],1
v4,1,1.5e-05,18.692754,[509  12] ; [108  13],[500.71183801  20.28816199] ; [116.28816199   4.71183801],1
a5,1,1.7e-05,18.550211,[420 103] ; [75 46],[401.99534161 121.00465839] ; [93.00465839 27.99534161],1
a2,1,7.9e-05,15.584012,[146 377] ; [ 13 108],[129.1257764 393.8742236] ; [29.8742236 91.1257764],1
v2,1,0.000123,14.742933,[314 188] ; [51 67],[295.53225806 206.46774194] ; [69.46774194 48.53225806],1
d2,1,0.000358,12.737258,[277 245] ; [42 78],[259.37383178 262.62616822] ; [59.62616822 60.37383178],1
a3,1,0.00043,12.397781,[400 121] ; [74 47],[384.6635514 136.3364486] ; [89.3364486 31.6635514],1
d3,1,0.000496,12.131803,[381 142] ; [68 52],[365.20528771 157.79471229] ; [83.79471229 36.20528771],1
d4,1,0.001308,10.330986,[447  75] ; [89 32],[435.13530327  86.86469673] ; [100.86469673  20.13530327],0
a6,1,0.001744,9.801425,[374 148] ; [69 52],[359.63608087 162.36391913] ; [83.36391913 37.63608087],0
s8,1,0.002223,9.355466,[265 255] ; [43 78],[249.85959438 270.14040562] ; [58.14040562 62.85959438],0
s7,1,0.002894,8.873219,[280 222] ; [46 68],[265.66883117 236.33116883] ; [60.33116883 53.66883117],0
p7,1,0.004376,8.12101,[358 152] ; [68 52],[344.85714286 165.14285714] ; [81.14285714 38.85714286],0
a4,1,0.006215,7.486752,[253 269] ; [42 79],[239.48678072 282.51321928] ; [55.51321928 65.48678072],0
s6,1,0.012383,6.255193,[374 139] ; [71 45],[362.93322734 150.06677266] ; [82.06677266 33.93322734],0
p4,1,0.014201,6.012984,[346 175] ; [66 55],[334.34890966 186.65109034] ; [77.65109034 43.34890966],0
n4,1,0.01459,5.965292,[442  81] ; [91 30],[432.85559006  90.14440994] ; [100.14440994  20.85559006],0
d5,1,0.015591,5.848377,[440  82] ; [90 30],[430.93457944  91.06542056] ; [99.06542056 20.93457944],0
v1,1,0.015889,5.815117,[302 208] ; [56 63],[290.27027027 219.72972973] ; [67.72972973 51.27027027],0
s3,1,0.018635,5.535463,[306 210] ; [57 63],[294.50943396 221.49056604] ; [68.49056604 51.50943396],0
a7,1,0.02152,5.284177,[393 129] ; [78 42],[382.96261682 139.03738318] ; [88.03738318 31.96261682],0
r3,1,0.023862,5.10463,[505  16] ; [111   9],[500.68018721  20.31981279] ; [115.31981279   4.68018721],0
s5,1,0.028064,4.824132,[202 303] ; [33 81],[191.72051696 313.27948304] ; [43.27948304 70.72051696],0
u3,1,0.033808,4.504376,[74 48] ; [20 27],[67.85798817 54.14201183] ; [26.14201183 20.85798817],0
p2,1,0.066126,3.376652,[458  62] ; [99 22],[451.85647426  68.14352574] ; [105.14352574  15.85647426],0
v3,1,0.081288,3.038954,[223 283] ; [42 77],[214.544 291.456] ; [50.456 68.544],0
s2,1,0.091551,2.846879,[288 230] ; [57 64],[279.6713615 238.3286385] ; [65.3286385 55.6713615],0
p3,1,0.124271,2.362653,[290 231] ; [58 63],[282.41121495 238.58878505] ; [65.58878505 55.41121495],0
p8,1,0.135063,2.233323,[301 215] ; [61 59],[293.69811321 222.30188679] ; [68.30188679 51.69811321],0
b4,1,0.152802,2.04405,[300 223] ; [78 43],[306.97826087 216.02173913] ; [71.02173913 49.97826087],0
p12,1,0.178725,1.808192,[ 56 465] ; [  8 112],[ 52.01872075 468.98127925] ; [ 11.98127925 108.01872075],0
n3,1,0.184039,1.764705,[71 20] ; [24 12],[68.07086614 22.92913386] ; [26.92913386  9.07086614],0
n5,1,0.227451,1.456733,[438  84] ; [96 25],[433.51166407  88.48833593] ; [100.48833593  20.51166407],0
a8,1,0.231451,1.43192,[ 70 405] ; [ 12 103],[ 66.01694915 408.98305085] ; [15.98305085 99.01694915],0
p6,1,0.323102,0.976348,[211 307] ; [43 77],[206.22570533 311.77429467] ; [47.77429467 72.22570533],0
b5,1,0.352869,0.863112,[300 223] ; [75 46],[304.54192547 218.45807453] ; [70.45807453 50.54192547],0
a1,1,0.450477,0.569451,[ 22 501] ; [  7 114],[ 23.55124224 499.44875776] ; [  5.44875776 115.55124224],0
s4,1,0.536565,0.381943,[ 90 426] ; [24 97],[ 92.34536892 423.65463108] ; [21.65463108 99.34536892],0
p1,1,0.557557,0.343952,[ 47 474] ; [ 13 108],[ 48.69158879 472.30841121] ; [ 11.30841121 109.69158879],0
s1,1,0.720695,0.127827,[ 14 503] ; [  4 117],[ 14.5862069 502.4137931] ; [  3.4137931 117.5862069],0
n2,1,0.74668,0.104342,[69 23] ; [26 10],[68.28125 23.71875] ; [26.71875  9.28125],0
u4,1,0.750912,0.100766,[ 11 512] ; [  2 119],[ 10.55745342 512.44254658] ; [  2.44254658 118.55745342],0
b1,1,0.817918,0.053003,[183 340] ; [41 80],[181.91304348 341.08695652] ; [42.08695652 78.91304348],0
u2,1,0.839968,0.040778,[67 55] ; [25 22],[66.41420118 55.58579882] ; [25.58579882 21.41420118],0
b2,1,0.849913,0.035808,[127 191] ; [28 40],[127.69430052 190.30569948] ; [27.30569948 40.69430052],0
b3,1,0.849913,0.035808,[127 191] ; [28 40],[127.69430052 190.30569948] ; [27.30569948 40.69430052],0
p5,1,0.877168,0.023889,[ 72 447] ; [ 16 104],[ 71.4741784 447.5258216] ; [ 16.5258216 103.4741784],0
n1,1,0.929501,0.007827,[35 57] ; [14 22],[35.21875 56.78125] ; [13.78125 22.21875],0
p11,1,0.934355,0.006784,[448  75] ; [104  17],[448.28571429  74.71428571] ; [103.71428571  17.28571429],0
p9,1,0.938523,0.005948,[495  27] ; [114   6],[495.1682243  26.8317757] ; [113.8317757   6.1682243],0
