Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-05,16.10971,[57 15] ; [ 5 12],[50.15730337 21.84269663] ; [11.84269663  5.15730337],1
p9,1,0.00047,12.232589,[61 10] ; [8 9],[55.67045455 15.32954545] ; [13.32954545  3.67045455],1
p8,1,0.000999,10.829322,[44 27] ; [ 3 14],[37.92045455 33.07954545] ; [9.07954545 7.92045455],1
v4,1,0.003658,8.44636,[67  4] ; [12  5],[63.73863636  7.26136364] ; [15.26136364  1.73863636],0
v1,1,0.004232,8.18132,[35 35] ; [ 2 15],[29.77011494 40.22988506] ; [7.22988506 9.77011494],0
p11,1,0.011303,6.417075,[59 13] ; [9 8],[55.01123596 16.98876404] ; [12.98876404  4.01123596],0
b1,1,0.041378,4.160479,[27 45] ; [11  6],[30.74157303 41.25842697] ; [7.25842697 9.74157303],0
p10,1,0.041692,4.147657,[61 11] ; [10  6],[58.09090909 13.90909091] ; [12.90909091  3.09090909],0
p12,1,0.04389,4.060803,[ 5 66] ; [ 4 13],[ 7.26136364 63.73863636] ; [ 1.73863636 15.26136364],0
a1,1,0.046178,3.975092,[ 3 69] ; [ 3 14],[ 4.85393258 67.14606742] ; [ 1.14606742 15.85393258],0
d2,1,0.068576,3.316778,[37 34] ; [13  4],[40.34090909 30.65909091] ; [9.65909091 7.34090909],0
s4,1,0.094827,2.790462,[10 62] ; [ 5 11],[12.27272727 59.72727273] ; [ 2.72727273 13.27272727],0
r4,1,0.119761,2.420442,[65  7] ; [13  4],[63.1011236  8.8988764] ; [14.8988764  2.1011236],0
n1,1,0.12695,2.329412,[ 7 10] ; [4 1],[8.5 8.5] ; [2.5 2.5],0
u3,1,0.138792,2.191304,[13 10] ; [1 4],[11.5 11.5] ; [2.5 2.5],0
p3,1,0.165699,1.921435,[43 29] ; [ 7 10],[40.4494382 31.5505618] ; [9.5505618 7.4494382],0
p4,1,0.167648,1.903846,[45 27] ; [7 9],[42.54545455 29.45454545] ; [9.45454545 6.54545455],0
d5,1,0.22922,1.445694,[60 12] ; [12  5],[58.24719101 13.75280899] ; [13.75280899  3.24719101],0
