Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.015133,5.900929,[26 28] ; [ 2 13],[21.91304348 32.08695652] ; [6.08695652 8.91304348],0
n4,1,0.020029,5.409408,[18 36] ; [10  5],[21.91304348 32.08695652] ; [6.08695652 8.91304348],0
a6,1,0.02045,5.373056,[15 39] ; [9 6],[18.7826087 35.2173913] ; [5.2173913 9.7826087],0
a5,1,0.020579,5.362134,[25 29] ; [12  3],[28.95652174 25.04347826] ; [8.04347826 6.95652174],0
n6,1,0.025384,4.997531,[32 22] ; [ 4 11],[28.17391304 25.82608696] ; [7.82608696 7.17391304],0
s6,1,0.096127,2.768658,[22 30] ; [10  5],[24.8358209 27.1641791] ; [7.1641791 7.8358209],0
p8,1,0.102336,2.66876,[18 36] ; [8 6],[20.64705882 33.35294118] ; [5.35294118 8.64705882],0
r1,1,0.110178,2.55167,[31 23] ; [12  3],[33.65217391 20.34782609] ; [9.34782609 5.65217391],0
p3,1,0.110954,2.540575,[20 34] ; [9 6],[22.69565217 31.30434783] ; [6.30434783 8.69565217],0
p11,1,0.119326,2.426152,[37 17] ; [7 8],[34.43478261 19.56521739] ; [9.56521739 5.43478261],0
r4,1,0.130948,2.281224,[36 18] ; [13  2],[38.34782609 15.65217391] ; [10.65217391  4.34782609],0
u2,1,0.137916,2.201058,[13 13] ; [5 1],[14.625 11.375] ; [3.375 2.625],0
v2,1,0.138013,2.199972,[20 32] ; [9 6],[22.50746269 29.49253731] ; [6.49253731 8.50746269],0
s1,1,0.157993,1.993333,[ 2 52] ; [ 2 13],[ 3.13043478 50.86956522] ; [ 0.86956522 14.13043478],0
s8,1,0.238412,1.38996,[13 40] ; [6 9],[14.80882353 38.19117647] ; [ 4.19117647 10.80882353],0
s4,1,0.292624,1.107508,[11 43] ; [ 5 10],[12.52173913 41.47826087] ; [ 3.47826087 11.52173913],0
n3,1,0.363646,0.825263,[11  8] ; [4 1],[11.875  7.125] ; [3.125 1.875],0
d4,1,0.385906,0.751803,[37 17] ; [12  3],[38.34782609 15.65217391] ; [10.65217391  4.34782609],0
b1,1,0.416659,0.65972,[28 26] ; [6 9],[26.60869565 27.39130435] ; [7.39130435 7.60869565],0
d2,1,0.416912,0.659004,[19 35] ; [7 8],[20.34782609 33.65217391] ; [5.65217391 9.34782609],0
p1,1,0.471173,0.519224,[ 4 50] ; [ 2 13],[ 4.69565217 49.30434783] ; [ 1.30434783 13.69565217],0
n2,1,0.520146,0.413603,[13  7] ; [4 1],[13.6  6.4] ; [3.4 1.6],0
p9,1,0.581309,0.304123,[29 24] ; [7 8],[28.05882353 24.94117647] ; [7.94117647 7.05882353],0
p2,1,0.587343,0.294512,[33 21] ; [8 7],[32.08695652 21.91304348] ; [8.91304348 6.08695652],0
s2,1,0.587343,0.294512,[21 33] ; [7 8],[21.91304348 32.08695652] ; [6.08695652 8.91304348],0
a3,1,0.62256,0.242286,[28 25] ; [9 6],[28.83823529 24.16176471] ; [8.16176471 6.83823529],0
d3,1,0.629331,0.232969,[25 29] ; [8 7],[25.82608696 28.17391304] ; [7.17391304 7.82608696],0
p6,1,0.670242,0.181319,[12 40] ; [ 4 10],[12.60606061 39.39393939] ; [ 3.39393939 10.60606061],0
b4,1,0.694466,0.154293,[33 21] ; [10  5],[33.65217391 20.34782609] ; [9.34782609 5.65217391],0
s3,1,0.728324,0.120656,[27 25] ; [8 6],[27.57575758 24.42424242] ; [7.42424242 6.57575758],0
d1,1,0.731446,0.117788,[19 35] ; [6 9],[19.56521739 34.43478261] ; [5.43478261 9.56521739],0
p4,1,0.731949,0.117329,[22 32] ; [5 9],[21.44117647 32.55882353] ; [5.55882353 8.44117647],0
a1,1,0.752572,0.099383,[ 5 49] ; [ 1 14],[ 4.69565217 49.30434783] ; [ 1.30434783 13.69565217],0
s5,1,0.769783,0.085649,[15 34] ; [ 4 11],[14.546875 34.453125] ; [ 4.453125 10.546875],0
b2,1,0.78112,0.077206,[11 23] ; [3 5],[11.33333333 22.66666667] ; [2.66666667 5.33333333],0
b3,1,0.78112,0.077206,[11 23] ; [3 5],[11.33333333 22.66666667] ; [2.66666667 5.33333333],0
r2,1,0.786569,0.073315,[44  9] ; [12  3],[43.64705882  9.35294118] ; [12.35294118  2.64705882],0
v4,1,0.786569,0.073315,[44  9] ; [12  3],[43.64705882  9.35294118] ; [12.35294118  2.64705882],0
s7,1,0.812236,0.056426,[14 37] ; [4 9],[14.34375 36.65625] ; [3.65625 9.34375],0
u3,1,0.864873,0.028959,[12 14] ; [3 3],[12.1875 13.8125] ; [2.8125 3.1875],0
v1,1,0.873428,0.025378,[20 33] ; [6 9],[20.26470588 32.73529412] ; [5.73529412 9.26470588],0
b5,1,0.878345,0.02343,[30 24] ; [8 7],[29.73913043 24.26086957] ; [8.26086957 6.73913043],0
p7,1,0.878345,0.02343,[30 24] ; [8 7],[29.73913043 24.26086957] ; [8.26086957 6.73913043],0
r3,1,0.88535,0.020791,[46  8] ; [13  2],[46.17391304  7.82608696] ; [12.82608696  2.17391304],0
d5,1,0.95878,0.002671,[32 22] ; [9 6],[32.08695652 21.91304348] ; [8.91304348 6.08695652],0
p10,1,0.972505,0.001188,[25 28] ; [7 8],[24.94117647 28.05882353] ; [7.05882353 7.94117647],0
n1,1,1.0,0.0,[ 8 12] ; [2 3],[ 8. 12.] ; [2. 3.],0
