Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.92749,[102   8] ; [15 17],[90.63380282 19.36619718] ; [26.36619718  5.63380282],1
r2,1,0.000112,14.917905,[104   4] ; [23  8],[98.67625899  9.32374101] ; [28.32374101  2.67625899],1
b3,1,0.000549,11.940055,[46 29] ; [ 5 19],[38.63636364 36.36363636] ; [12.36363636 11.63636364],1
b2,1,0.000549,11.940055,[46 29] ; [ 5 19],[38.63636364 36.36363636] ; [12.36363636 11.63636364],1
v4,1,0.00701,7.270404,[104   5] ; [25  6],[100.43571429   8.56428571] ; [28.56428571  2.43571429],0
r3,1,0.008157,6.99877,[105   5] ; [26  6],[101.47887324   8.52112676] ; [29.52112676  2.47887324],0
p4,1,0.034596,4.46502,[54 55] ; [22  9],[59.17142857 49.82857143] ; [16.82857143 14.17142857],0
a5,1,0.035937,4.40007,[80 30] ; [17 15],[75.14084507 34.85915493] ; [21.85915493 10.14084507],0
s8,1,0.043046,4.093586,[63 46] ; [12 20],[57.9787234 51.0212766] ; [17.0212766 14.9787234],0
s5,1,0.04936,3.863067,[50 57] ; [ 8 22],[45.29927007 61.70072993] ; [12.70072993 17.29927007],0
n6,1,0.082059,3.02364,[86 21] ; [21 11],[82.36690647 24.63309353] ; [24.63309353  7.36690647],0
a8,1,0.117087,2.45586,[15 92] ; [ 1 28],[12.58823529 94.41176471] ; [ 3.41176471 25.58823529],0
d5,1,0.12274,2.382001,[86 23] ; [21 11],[82.71631206 26.28368794] ; [24.28368794  7.71631206],0
d4,1,0.142181,2.15419,[91 18] ; [23  9],[88.12765957 20.87234043] ; [25.87234043  6.12765957],0
b4,1,0.148709,2.085444,[64 46] ; [14 18],[60.42253521 49.57746479] ; [17.57746479 14.42253521],0
b1,1,0.19506,1.678982,[51 59] ; [19 13],[54.22535211 55.77464789] ; [15.77464789 16.22535211],0
v3,1,0.213118,1.550118,[55 52] ; [12 19],[51.94927536 55.05072464] ; [15.05072464 15.94927536],0
