Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.007494,7.15058,[173  93] ; [10 16],[166.70547945  99.29452055] ; [16.29452055  9.70547945],0
a4,1,0.041488,4.155988,[104 159] ; [ 5 21],[ 99.19377163 163.80622837] ; [ 9.80622837 16.19377163],0
a2,1,0.087042,2.928245,[ 44 222] ; [ 1 25],[ 40.99315068 225.00684932] ; [ 4.00684932 21.99315068],0
d3,1,0.090572,2.864177,[159 106] ; [20  6],[163.00687285 101.99312715] ; [15.99312715 10.00687285],0
p8,1,0.148309,2.089555,[ 89 171] ; [ 5 20],[ 85.75438596 174.24561404] ; [ 8.24561404 16.75438596],0
s6,1,0.150902,2.063112,[ 94 169] ; [13 13],[ 97.37370242 165.62629758] ; [ 9.62629758 16.37370242],0
s3,1,0.155829,2.014238,[ 62 199] ; [ 3 23],[ 59.11149826 201.88850174] ; [ 5.88850174 20.11149826],0
v3,1,0.209113,1.577559,[ 71 186] ; [ 4 21],[ 68.35106383 188.64893617] ; [ 6.64893617 18.35106383],0
r3,1,0.242715,1.364753,[225  38] ; [20  6],[222.95847751  40.04152249] ; [22.04152249  3.95847751],0
d2,1,0.249612,1.325472,[112 152] ; [ 8 18],[109.24137931 154.75862069] ; [10.75862069 15.24137931],0
d5,1,0.252575,1.309004,[192  74] ; [16 10],[189.47945205  76.52054795] ; [18.52054795  7.47945205],0
v1,1,0.293935,1.101511,[ 97 163] ; [ 7 19],[ 94.54545455 165.45454545] ; [ 9.45454545 16.54545455],0
b1,1,0.297449,1.085598,[ 99 167] ; [ 7 19],[ 96.56164384 169.43835616] ; [ 9.43835616 16.56164384],0
r4,1,0.339958,0.910588,[197  69] ; [17  9],[194.94520548  71.05479452] ; [19.05479452  6.94520548],0
s5,1,0.340378,0.909008,[ 34 225] ; [ 5 20],[ 35.56690141 223.43309859] ; [ 3.43309859 21.56690141],0
u1,1,0.34273,0.900192,[ 25 241] ; [ 1 25],[ 23.68493151 242.31506849] ; [ 2.31506849 23.68493151],0
p10,1,0.365534,0.818792,[157 104] ; [18  8],[159.14634146 101.85365854] ; [15.85365854 10.14634146],0
p2,1,0.383782,0.758551,[185  80] ; [16 10],[183.04123711  81.95876289] ; [17.95876289  8.04123711],0
n4,1,0.393639,0.72767,[175  90] ; [15 11],[173.02405498  91.97594502] ; [16.97594502  9.02405498],0
v2,1,0.40842,0.683395,[108 143] ; [ 9 17],[106.01805054 144.98194946] ; [10.98194946 15.01805054],0
p4,1,0.428071,0.628052,[ 80 182] ; [ 6 20],[ 78.23611111 183.76388889] ; [ 7.76388889 18.23611111],0
r2,1,0.437002,0.604141,[223  37] ; [20  5],[221.68421053  38.31578947] ; [21.31578947  3.68421053],0
r1,1,0.439135,0.598543,[182  82] ; [16 10],[180.24827586  83.75172414] ; [17.75172414  8.24827586],0
d1,1,0.469119,0.524051,[122 144] ; [10 16],[120.24657534 145.75342466] ; [11.75342466 14.24657534],0
p7,1,0.483969,0.489907,[108 151] ; [ 9 17],[106.32631579 152.67368421] ; [10.67368421 15.32631579],0
n5,1,0.536417,0.382221,[166  97] ; [18  8],[167.44636678  95.55363322] ; [16.55363322  9.44636678],0
n6,1,0.544541,0.367188,[189  76] ; [20  6],[190.32646048  74.67353952] ; [18.67353952  7.32646048],0
b4,1,0.557101,0.344749,[159 107] ; [14 12],[157.59589041 108.40410959] ; [15.40410959 10.59589041],0
p9,1,0.56065,0.33858,[174  85] ; [16 10],[172.66666667  86.33333333] ; [17.33333333  8.66666667],0
v4,1,0.601412,0.272872,[221  42] ; [22  3],[221.90625  41.09375] ; [21.09375  3.90625],0
s7,1,0.621999,0.243068,[ 49 204] ; [ 4 22],[ 48.0609319 204.9390681] ; [ 4.9390681 21.0609319],0
a7,1,0.622155,0.24285,[170  94] ; [18  8],[171.14482759  92.85517241] ; [16.85517241  9.14482759],0
a3,1,0.640242,0.218426,[164  99] ; [15 11],[162.89619377 100.10380623] ; [16.10380623  9.89619377],0
u2,1,0.658111,0.195826,[53 48] ; [5 6],[52.30357143 48.69642857] ; [5.69642857 5.30357143],0
p1,1,0.673342,0.177718,[ 15 250] ; [ 2 24],[ 15.48109966 249.51890034] ; [ 1.51890034 24.48109966],0
d4,1,0.733915,0.115547,[195  69] ; [20  6],[195.72413793  68.27586207] ; [19.27586207  6.72413793],0
n3,1,0.75861,0.094438,[61 33] ; [6 4],[60.55769231 33.44230769] ; [6.44230769 3.55769231],0
p11,1,0.781679,0.076802,[181  85] ; [17  9],[180.36986301  85.63013699] ; [17.63013699  8.36986301],0
n2,1,0.788102,0.072241,[63 35] ; [6 4],[62.61111111 35.38888889] ; [6.38888889 3.61111111],0
p12,1,0.821792,0.050733,[  8 255] ; [ 1 25],[  8.19031142 254.80968858] ; [ 0.80968858 25.19031142],0
a1,1,0.875288,0.024632,[ 12 254] ; [ 1 25],[ 11.84246575 254.15753425] ; [ 1.15753425 24.84246575],0
p6,1,0.877286,0.023843,[ 47 214] ; [ 5 21],[ 47.28919861 213.71080139] ; [ 4.71080139 21.28919861],0
n1,1,0.928196,0.008121,[37 59] ; [4 6],[37.13207547 58.86792453] ; [3.86792453 6.13207547],0
u3,1,0.932408,0.007194,[45 57] ; [5 6],[45.13274336 56.86725664] ; [4.86725664 6.13274336],0
s8,1,0.964031,0.002034,[ 50 215] ; [ 5 21],[ 50.08591065 214.91408935] ; [ 4.91408935 21.08591065],0
b2,1,0.979713,0.000647,[52 95] ; [5 9],[52.04347826 94.95652174] ; [4.95652174 9.04347826],0
b3,1,0.979713,0.000647,[52 95] ; [5 9],[52.04347826 94.95652174] ; [4.95652174 9.04347826],0
a5,1,0.990763,0.000134,[164 102] ; [16 10],[163.97260274 102.02739726] ; [16.02739726  9.97260274],0
b5,1,0.990763,0.000134,[164 102] ; [16 10],[163.97260274 102.02739726] ; [16.02739726  9.97260274],0
