Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000449,12.315249,[ 9 14] ; [41 10],[15.54054054  7.45945946] ; [34.45945946 16.54054054],1
n6,1,0.001406,10.197569,[15  8] ; [47  3],[19.53424658  3.46575342] ; [42.46575342  7.53424658],0
p9,1,0.009623,6.703334,[16  5] ; [49  2],[18.95833333  2.04166667] ; [46.04166667  4.95833333],0
p10,1,0.020795,5.343887,[15  6] ; [47  4],[18.08333333  2.91666667] ; [43.91666667  7.08333333],0
p8,1,0.024155,5.083482,[ 6 16] ; [27 21],[10.37142857 11.62857143] ; [22.62857143 25.37142857],0
p7,1,0.029288,4.750594,[11 11] ; [38 12],[14.97222222  7.02777778] ; [34.02777778 15.97222222],0
v1,1,0.046662,3.957521,[ 9 14] ; [32 18],[12.91780822 10.08219178] ; [28.08219178 21.91780822],0
p2,1,0.053006,3.743732,[13 10] ; [40 11],[16.47297297  6.52702703] ; [36.52702703 14.47297297],0
d2,1,0.072169,3.232977,[16  7] ; [24 27],[12.43243243 10.56756757] ; [27.56756757 23.43243243],0
p3,1,0.078716,3.091219,[ 8 15] ; [29 22],[11.5 11.5] ; [25.5 25.5],0
p4,1,0.086717,2.934285,[10 13] ; [33 18],[13.36486486  9.63513514] ; [29.63513514 21.36486486],0
b1,1,0.124606,2.35845,[11 12] ; [15 36],[ 8.08108108 14.91891892] ; [17.91891892 33.08108108],0
r3,1,0.15909,1.982854,[20  2] ; [50  1],[21.09589041  0.90410959] ; [48.90410959  2.09589041],0
s3,1,0.18463,1.759952,[14  9] ; [38 12],[16.38356164  6.61643836] ; [35.61643836 14.38356164],0
u2,1,0.203737,1.615385,[4 3] ; [ 4 10],[2.66666667 4.33333333] ; [5.33333333 8.66666667],0
d3,1,0.228676,1.449077,[20  3] ; [38 13],[18.02702703  4.97297297] ; [39.97297297 11.02702703],0
d4,1,0.229215,1.445723,[22  1] ; [44  7],[20.51351351  2.48648649] ; [45.48648649  5.51351351],0
u1,1,0.305491,1.050068,[ 7 16] ; [10 41],[ 5.28378378 17.71621622] ; [11.71621622 39.28378378],0
n2,1,0.310437,1.028815,[5 3] ; [6 1],[5.86666667 2.13333333] ; [5.13333333 1.86666667],0
p5,1,0.312965,1.018121,[ 1 22] ; [ 6 45],[ 2.17567568 20.82432432] ; [ 4.82432432 46.17567568],0
s7,1,0.357386,0.847059,[14  7] ; [28 23],[12.25  8.75] ; [29.75 21.25],0
b5,1,0.377875,0.777605,[16  7] ; [30 21],[14.2972973  8.7027027] ; [31.7027027 19.2972973],0
p1,1,0.400587,0.706564,[ 2 21] ; [ 2 49],[ 1.24324324 21.75675676] ; [ 2.75675676 48.24324324],0
r1,1,0.403237,0.698652,[17  6] ; [42  9],[18.33783784  4.66216216] ; [40.66216216 10.33783784],0
n4,1,0.408479,0.683223,[14  9] ; [36 15],[15.54054054  7.45945946] ; [34.45945946 16.54054054],0
