Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.2e-05,19.168357,[ 6 21] ; [28  8],[14.57142857 12.42857143] ; [19.42857143 16.57142857],1
s7,1,0.000937,10.948549,[ 4 20] ; [21 14],[10.16949153 13.83050847] ; [14.83050847 20.16949153],1
p8,1,0.00583,7.60215,[18  9] ; [11 24],[12.62903226 14.37096774] ; [16.37096774 18.62903226],0
s6,1,0.017815,5.61423,[11 15] ; [26 10],[15.51612903 10.48387097] ; [21.48387097 14.51612903],0
n5,1,0.032384,4.57805,[15 12] ; [29  7],[18.85714286  8.14285714] ; [25.14285714 10.85714286],0
s8,1,0.042176,4.128126,[ 6 20] ; [17 18],[ 9.80327869 16.19672131] ; [13.19672131 21.80327869],0
b4,1,0.058563,3.577621,[10 17] ; [22 14],[13.71428571 13.28571429] ; [18.28571429 17.71428571],0
a8,1,0.070213,3.278034,[ 2 24] ; [ 9 26],[ 4.68852459 21.31147541] ; [ 6.31147541 28.68852459],0
p3,1,0.072974,3.214815,[17 10] ; [14 21],[13.5 13.5] ; [17.5 17.5],0
b1,1,0.109137,2.566667,[11 16] ; [22 14],[14.14285714 12.85714286] ; [18.85714286 17.14285714],0
a3,1,0.139547,2.182952,[13 14] ; [24 12],[15.85714286 11.14285714] ; [21.14285714 14.85714286],0
b5,1,0.169675,1.885809,[15 12] ; [26 10],[17.57142857  9.42857143] ; [23.42857143 12.57142857],0
p9,1,0.169675,1.885809,[15 12] ; [26 10],[17.57142857  9.42857143] ; [23.42857143 12.57142857],0
n6,1,0.194658,1.682008,[21  5] ; [23 12],[18.75409836  7.24590164] ; [25.24590164  9.75409836],0
v1,1,0.214798,1.538793,[10 17] ; [19 17],[12.42857143 14.57142857] ; [16.57142857 19.42857143],0
r3,1,0.21535,1.535088,[23  4] ; [34  2],[24.42857143  2.57142857] ; [32.57142857  3.42857143],0
n1,1,0.263552,1.25,[1 4] ; [5 5],[2. 3.] ; [4. 6.],0
r1,1,0.280087,1.166667,[16 11] ; [26 10],[18.  9.] ; [24. 12.],0
n3,1,0.350201,0.872727,[3 2] ; [9 2],[3.75 1.25] ; [8.25 2.75],0
p4,1,0.352486,0.864488,[14 13] ; [14 21],[12.19354839 14.80645161] ; [15.80645161 19.19354839],0
a7,1,0.368803,0.807692,[15 12] ; [24 12],[16.71428571 10.28571429] ; [22.28571429 13.71428571],0
p11,1,0.372355,0.795789,[18  9] ; [20 16],[16.28571429 10.71428571] ; [21.71428571 14.28571429],0
d2,1,0.391781,0.733406,[ 9 18] ; [15 19],[10.62295082 16.37704918] ; [13.37704918 20.62295082],0
p10,1,0.401353,0.704268,[16 11] ; [25 11],[17.57142857  9.42857143] ; [23.42857143 12.57142857],0
n4,1,0.401353,0.704268,[16 11] ; [25 11],[17.57142857  9.42857143] ; [23.42857143 12.57142857],0
s1,1,0.417887,0.65625,[ 2 25] ; [ 5 31],[ 3. 24.] ; [ 4. 32.],0
p12,1,0.455818,0.556144,[ 1 26] ; [ 3 33],[ 1.71428571 25.28571429] ; [ 2.28571429 33.71428571],0
a2,1,0.455818,0.556144,[ 1 26] ; [ 3 33],[ 1.71428571 25.28571429] ; [ 2.28571429 33.71428571],0
s4,1,0.458719,0.54902,[ 4 23] ; [ 8 28],[ 5.14285714 21.85714286] ; [ 6.85714286 29.14285714],0
v4,1,0.532884,0.388889,[24  3] ; [30  6],[23.14285714  3.85714286] ; [30.85714286  5.14285714],0
s5,1,0.539169,0.377081,[ 7 19] ; [12 23],[ 8.09836066 17.90163934] ; [10.90163934 24.09836066],0
n2,1,0.540818,0.374026,[4 1] ; [10  1],[4.375 0.625] ; [9.625 1.375],0
d1,1,0.560179,0.339394,[14 13] ; [16 20],[12.85714286 14.14285714] ; [17.14285714 18.85714286],0
u2,1,0.561471,0.337163,[5 8] ; [6 6],[5.72 7.28] ; [5.28 6.72],0
d4,1,0.584606,0.298848,[20  7] ; [23 11],[19.03278689  7.96721311] ; [23.96721311 10.03278689],0
a6,1,0.586094,0.296486,[14 13] ; [20 14],[15.04918033 11.95081967] ; [18.95081967 15.04918033],0
a4,1,0.650369,0.205435,[ 9 18] ; [14 22],[ 9.85714286 17.14285714] ; [13.14285714 22.85714286],0
u3,1,0.670896,0.180556,[7 7] ; [7 5],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
v2,1,0.683015,0.166752,[15 11] ; [22 13],[15.7704918 10.2295082] ; [21.2295082 13.7704918],0
a5,1,0.710119,0.138158,[17 10] ; [21 15],[16.28571429 10.71428571] ; [21.71428571 14.28571429],0
r2,1,0.7116,0.136684,[24  3] ; [30  5],[23.51612903  3.48387097] ; [30.48387097  4.51612903],0
d5,1,0.742528,0.107917,[18  9] ; [24 10],[18.59016393  8.40983607] ; [23.40983607 10.59016393],0
d3,1,0.753697,0.098451,[13 14] ; [15 19],[12.39344262 14.60655738] ; [15.60655738 18.39344262],0
v3,1,0.819545,0.052043,[ 8 19] ; [11 23],[ 8.40983607 18.59016393] ; [10.59016393 23.40983607],0
b2,1,0.836027,0.04284,[ 5 14] ; [ 7 17],[ 5.30232558 13.69767442] ; [ 6.69767442 17.30232558],0
b3,1,0.836027,0.04284,[ 5 14] ; [ 7 17],[ 5.30232558 13.69767442] ; [ 6.69767442 17.30232558],0
r4,1,0.84805,0.036713,[22  5] ; [30  6],[22.28571429  4.71428571] ; [29.71428571  6.28571429],0
p5,1,0.936594,0.006328,[ 3 24] ; [ 4 30],[ 3.09836066 23.90163934] ; [ 3.90163934 30.09836066],0
p6,1,0.941111,0.005457,[11 16] ; [15 21],[11.14285714 15.85714286] ; [14.85714286 21.14285714],0
