Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,47.840918,[42 66] ; [206  64],[70.85714286 37.14285714] ; [177.14285714  92.85714286],1
d3,1,0.0,42.389549,[47 61] ; [210  59],[73.62334218 34.37665782] ; [183.37665782  85.62334218],1
r1,1,0.000208,13.753313,[68 40] ; [218  51],[81.93103448 26.06896552] ; [204.06896552  64.93103448],1
b1,1,0.000597,11.783911,[46 62] ; [ 67 204],[32.2005277 75.7994723] ; [ 80.7994723 190.2005277],1
a2,1,0.00066,11.598442,[ 9 99] ; [ 64 207],[20.80211082 87.19788918] ; [ 52.19788918 218.80211082],1
u1,1,0.000703,11.480618,[  3 105] ; [ 41 230],[12.53825858 95.46174142] ; [ 31.46174142 239.53825858],1
a5,1,0.001266,10.391261,[60 48] ; [197  74],[73.2348285 34.7651715] ; [183.7651715  87.2348285],0
d5,1,0.003396,8.581238,[71 37] ; [216  54],[82. 26.] ; [205.  65.],0
d1,1,0.004655,8.008945,[44 64] ; [154 117],[56.42216359 51.57783641] ; [141.57783641 129.42216359],0
r4,1,0.006807,7.323161,[85 23] ; [242  29],[93.18205805 14.81794195] ; [233.81794195  37.18205805],0
b5,1,0.013119,6.152979,[60 48] ; [187  84],[70.38522427 37.61477573] ; [176.61477573  94.38522427],0
d4,1,0.018844,5.515931,[79 29] ; [226  44],[87.14285714 20.85714286] ; [217.85714286  52.14285714],0
v2,1,0.028393,4.804061,[44 59] ; [141 113],[53.37535014 49.62464986] ; [131.62464986 122.37535014],0
r2,1,0.042432,4.117894,[93 13] ; [250  16],[97.73655914  8.26344086] ; [245.26344086  20.73655914],0
n5,1,0.056514,3.636834,[84 23] ; [184  84],[76.46933333 30.53066667] ; [191.53066667  76.46933333],0
b2,1,0.056711,3.631037,[27 33] ; [ 46 102],[21.05769231 38.94230769] ; [51.94230769 96.05769231],0
b3,1,0.056711,3.631037,[27 33] ; [ 46 102],[21.05769231 38.94230769] ; [51.94230769 96.05769231],0
p10,1,0.072622,3.222738,[88 20] ; [238  31],[93.38992042 14.61007958] ; [232.61007958  36.38992042],0
r3,1,0.096462,2.763079,[99  9] ; [258  11],[102.27055703   5.72944297] ; [254.72944297  14.27055703],0
s6,1,0.102865,2.660555,[61 45] ; [177  89],[67.8172043 38.1827957] ; [170.1827957  95.8172043],0
p2,1,0.105817,2.615607,[81 26] ; [224  46],[86.56498674 20.43501326] ; [218.43501326  51.56498674],0
a1,1,0.111645,2.530779,[  7 101] ; [  8 263],[  4.27440633 103.72559367] ; [ 10.72559367 260.27440633],0
s2,1,0.136966,2.211714,[46 61] ; [138 130],[52.50133333 54.49866667] ; [131.49866667 136.50133333],0
u3,1,0.172304,1.862786,[15 22] ; [49 42],[18.5 18.5] ; [45.5 45.5],0
v4,1,0.188245,1.7313,[98  9] ; [254  13],[100.70588235   6.29411765] ; [251.29411765  15.70588235],0
p8,1,0.191513,1.705941,[37 69] ; [112 153],[42.57142857 63.42857143] ; [106.42857143 158.57142857],0
a8,1,0.204217,1.611959,[11 90] ; [ 40 207],[14.80172414 86.19827586] ; [ 36.19827586 210.80172414],0
p1,1,0.205683,1.601554,[  3 105] ; [ 16 254],[  5.42857143 102.57142857] ; [ 13.57142857 256.42857143],0
u2,1,0.229785,1.442194,[16 21] ; [50 41],[19.078125 17.921875] ; [46.921875 44.078125],0
s4,1,0.268614,1.223809,[15 93] ; [ 50 218],[18.67021277 89.32978723] ; [ 46.32978723 221.67021277],0
n2,1,0.310764,1.027426,[34  7] ; [53 18],[31.84821429  9.15178571] ; [55.15178571 15.84821429],0
s8,1,0.350201,0.872727,[38 70] ; [109 161],[42. 66.] ; [105. 165.],0
s3,1,0.391379,0.734653,[54 52] ; [148 117],[57.71428571 48.28571429] ; [144.28571429 120.71428571],0
u4,1,0.400513,0.706786,[  1 107] ; [  6 265],[  1.99472296 106.00527704] ; [  5.00527704 265.99472296],0
n1,1,0.449519,0.571865,[17 24] ; [24 46],[15.14414414 25.85585586] ; [25.85585586 44.14414414],0
p6,1,0.542553,0.370828,[29 75] ; [ 67 203],[26.69518717 77.30481283] ; [ 69.30481283 200.69518717],0
v1,1,0.574113,0.315848,[54 52] ; [125 137],[51.55978261 54.44021739] ; [127.44021739 134.55978261],0
n6,1,0.611257,0.258349,[85 22] ; [219  49],[86.74133333 20.25866667] ; [217.25866667  50.74133333],0
n4,1,0.618003,0.248684,[78 30] ; [188  82],[76. 32.] ; [190.  80.],0
v3,1,0.637672,0.2218,[32 72] ; [ 86 172],[33.90055249 70.09944751] ; [ 84.09944751 173.90055249],0
s5,1,0.67486,0.17597,[28 76] ; [ 76 185],[29.63287671 74.36712329] ; [ 74.36712329 186.63287671],0
p5,1,0.805079,0.0609,[ 7 99] ; [ 16 254],[ 6.48404255 99.51595745] ; [ 16.51595745 253.48404255],0
p4,1,0.836266,0.042714,[40 66] ; [105 165],[40.87765957 65.12234043] ; [104.12234043 165.87765957],0
s1,1,0.867603,0.02779,[  4 102] ; [ 11 254],[  4.28571429 101.71428571] ; [ 10.71428571 254.28571429],0
b4,1,0.873346,0.025411,[62 46] ; [158 113],[62.69129288 45.30870712] ; [157.30870712 113.69129288],0
p7,1,0.879718,0.0229,[53 52] ; [133 126],[53.65384615 51.34615385] ; [132.34615385 126.65384615],0
p12,1,0.88446,0.021117,[  6 102] ; [ 14 256],[  5.71428571 102.28571429] ; [ 14.28571429 255.71428571],0
s7,1,0.894163,0.017699,[43 61] ; [112 154],[43.56756757 60.43243243] ; [111.43243243 154.56756757],0
a4,1,0.89515,0.017369,[46 62] ; [113 157],[45.42857143 62.57142857] ; [113.57142857 156.42857143],0
a3,1,0.936759,0.006295,[71 36] ; [178  92],[70.67108753 36.32891247] ; [178.32891247  91.67108753],0
n3,1,0.939875,0.005689,[29 11] ; [51 20],[28.82882883 11.17117117] ; [51.17117117 19.82882883],0
d2,1,0.947267,0.004374,[44 64] ; [111 159],[44.28571429 63.71428571] ; [110.71428571 159.28571429],0
p11,1,0.981885,0.000516,[85 23] ; [213  58],[84.9182058 23.0817942] ; [213.0817942  57.9182058],0
