Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4.9e-05,16.487739,[36 67] ; [32 13],[47.32432432 55.67567568] ; [20.67567568 24.32432432],1
a3,1,0.010096,6.617869,[65 42] ; [37  8],[71.80263158 35.19736842] ; [30.19736842 14.80263158],0
r4,1,0.017291,5.66659,[90 17] ; [44  1],[94.32894737 12.67105263] ; [39.67105263  5.32894737],0
p7,1,0.085545,2.95628,[62 41] ; [33 11],[66.56462585 36.43537415] ; [28.43537415 15.56462585],0
s7,1,0.086873,2.931392,[57 46] ; [31 13],[61.65986395 41.34013605] ; [26.34013605 17.65986395],0
d1,1,0.127524,2.322384,[57 50] ; [30 15],[61.24342105 45.75657895] ; [25.75657895 19.24342105],0
a1,1,0.130056,2.291838,[  2 105] ; [ 3 42],[  3.51973684 103.48026316] ; [ 1.48026316 43.51973684],0
p3,1,0.135177,2.232015,[50 57] ; [27 18],[54.20394737 52.79605263] ; [22.79605263 22.20394737],0
r3,1,0.153127,2.040816,[96  9] ; [44  1],[98.  7.] ; [42.  3.],0
r2,1,0.156558,2.007159,[97  9] ; [44  1],[98.98013245  7.01986755] ; [42.01986755  2.98013245],0
s8,1,0.164789,1.929718,[51 56] ; [27 18],[54.90789474 52.09210526] ; [23.09210526 21.90789474],0
p5,1,0.1717,1.868033,[  7 100] ; [ 6 39],[ 9.15131579 97.84868421] ; [ 3.84868421 41.15131579],0
n1,1,0.183083,1.77242,[10 18] ; [ 2 11],[ 8.19512195 19.80487805] ; [3.80487805 9.19512195],0
v1,1,0.202362,1.625248,[45 62] ; [24 21],[48.57236842 58.42763158] ; [20.42763158 24.57236842],0
d4,1,0.242349,1.366877,[84 23] ; [39  6],[86.58552632 20.41447368] ; [36.41447368  8.58552632],0
n6,1,0.249766,1.324614,[87 20] ; [40  5],[89.40131579 17.59868421] ; [37.59868421  7.40131579],0
s5,1,0.253036,1.306464,[48 48] ; [26 17],[51.10791367 44.89208633] ; [22.89208633 20.10791367],0
u1,1,0.274926,1.192,[18 89] ; [11 34],[20.41447368 86.58552632] ; [ 8.58552632 36.41447368],0
r1,1,0.30031,1.072818,[77 30] ; [36  9],[79.54605263 27.45394737] ; [33.45394737 11.54605263],0
p12,1,0.321972,0.980921,[  5 101] ; [ 4 41],[ 6.31788079 99.68211921] ; [ 2.68211921 42.31788079],0
p10,1,0.330099,0.948509,[84 21] ; [39  6],[86.1 18.9] ; [36.9  8.1],0
d2,1,0.339501,0.912316,[48 59] ; [24 21],[50.68421053 56.31578947] ; [21.31578947 23.68421053],0
a2,1,0.344318,0.894289,[19 88] ; [11 34],[21.11842105 85.88157895] ; [ 8.88157895 36.11842105],0
b5,1,0.355769,0.852774,[68 39] ; [25 20],[65.46710526 41.53289474] ; [27.53289474 17.46710526],0
u2,1,0.370426,0.802236,[19 23] ; [5 3],[20.16 21.84] ; [3.84 4.16],0
s6,1,0.376636,0.781653,[85 18] ; [38  5],[86.7739726 16.2260274] ; [36.2260274  6.7739726],0
a8,1,0.383058,0.760864,[ 4 97] ; [ 3 37],[ 5.0141844 95.9858156] ; [ 1.9858156 38.0141844],0
p8,1,0.386545,0.749784,[52 54] ; [25 19],[54.41333333 51.58666667] ; [22.58666667 21.41333333],0
d3,1,0.438725,0.599614,[76 30] ; [35 10],[77.9205298 28.0794702] ; [33.0794702 11.9205298],0
b2,1,0.458603,0.549303,[11 45] ; [ 7 19],[12.29268293 43.70731707] ; [ 5.70731707 20.29268293],0
b3,1,0.458603,0.549303,[11 45] ; [ 7 19],[12.29268293 43.70731707] ; [ 5.70731707 20.29268293],0
s1,1,0.472867,0.515268,[  5 101] ; [ 1 44],[  4.21192053 101.78807947] ; [ 1.78807947 43.21192053],0
n3,1,0.516923,0.420028,[22  6] ; [9 4],[21.17073171  6.82926829] ; [9.82926829 3.17073171],0
n4,1,0.528447,0.397377,[68 39] ; [31 14],[69.69078947 37.30921053] ; [29.30921053 15.69078947],0
a7,1,0.536394,0.382263,[76 30] ; [30 15],[74.41059603 31.58940397] ; [31.58940397 13.41059603],0
b4,1,0.551463,0.354702,[61 46] ; [28 17],[62.65131579 44.34868421] ; [26.34868421 18.65131579],0
p1,1,0.589762,0.290716,[10 97] ; [ 3 42],[ 9.15131579 97.84868421] ; [ 3.84868421 41.15131579],0
p2,1,0.603564,0.269654,[84 23] ; [37  8],[85.17763158 21.82236842] ; [35.82236842  9.17763158],0
p11,1,0.60679,0.264876,[74 33] ; [33 12],[75.32236842 31.67763158] ; [31.67763158 13.32236842],0
s3,1,0.620625,0.24499,[76 31] ; [33 11],[77.2384106 29.7615894] ; [31.7615894 12.2384106],0
b1,1,0.635256,0.225,[40 67] ; [15 30],[38.71710526 68.28289474] ; [16.28289474 28.71710526],0
a5,1,0.643576,0.214096,[72 35] ; [32 13],[73.21052632 33.78947368] ; [30.78947368 14.21052632],0
d5,1,0.674969,0.175844,[84 22] ; [37  8],[84.94039735 21.05960265] ; [36.05960265  8.94039735],0
n5,1,0.676448,0.174152,[75 32] ; [30 15],[73.91447368 33.08552632] ; [31.08552632 13.91447368],0
p9,1,0.693843,0.154957,[88 17] ; [38  6],[88.79194631 16.20805369] ; [37.20805369  6.79194631],0
n2,1,0.69472,0.154023,[23  5] ; [10  3],[22.53658537  5.46341463] ; [10.46341463  2.53658537],0
