Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.2e-05,19.189405,[63 16] ; [1 8],[57.45454545 21.54545455] ; [6.54545455 2.45454545],1
r3,1,0.003224,8.676099,[74  4] ; [6 3],[71.72413793  6.27586207] ; [8.27586207 0.72413793],0
a1,1,0.023678,5.118086,[ 3 76] ; [2 7],[ 4.48863636 74.51136364] ; [0.51136364 8.48863636],0
v4,1,0.028391,4.804154,[72  7] ; [6 3],[70.02272727  8.97727273] ; [7.97727273 1.02272727],0
v3,1,0.053766,3.719963,[33 41] ; [1 8],[30.31325301 43.68674699] ; [3.68674699 5.31325301],0
p12,1,0.060414,3.525987,[ 1 78] ; [1 8],[ 1.79545455 77.20454545] ; [0.20454545 8.79545455],0
s1,1,0.062461,3.470814,[ 1 77] ; [1 8],[ 1.79310345 76.20689655] ; [0.20689655 8.79310345],0
p9,1,0.069343,3.298493,[33 45] ; [1 8],[30.48275862 47.51724138] ; [3.51724138 5.48275862],0
p2,1,0.087682,2.916432,[57 22] ; [4 5],[54.76136364 24.23863636] ; [6.23863636 2.76136364],0
n6,1,0.093089,2.820133,[56 22] ; [4 5],[53.79310345 24.20689655] ; [6.20689655 2.79310345],0
p4,1,0.113942,2.498674,[39 39] ; [2 7],[36.75862069 41.24137931] ; [4.24137931 4.75862069],0
s7,1,0.122972,2.379056,[31 46] ; [1 7],[28.98823529 48.01176471] ; [3.01176471 4.98823529],0
p7,1,0.140795,2.169246,[37 40] ; [2 7],[34.91860465 42.08139535] ; [4.08139535 4.91860465],0
b1,1,0.202566,1.623774,[35 44] ; [6 3],[36.80681818 42.19318182] ; [4.19318182 4.80681818],0
s2,1,0.233129,1.421671,[33 44] ; [2 7],[31.3372093 45.6627907] ; [3.6627907 5.3372093],0
p6,1,0.281322,1.160691,[23 52] ; [1 7],[21.68674699 53.31325301] ; [2.31325301 5.68674699],0
p8,1,0.292375,1.108652,[31 46] ; [2 7],[29.54651163 47.45348837] ; [3.45348837 5.54651163],0
n5,1,0.343421,0.897619,[39 39] ; [3 6],[37.65517241 40.34482759] ; [4.34482759 4.65517241],0
n1,1,0.363698,0.825084,[10 14] ; [1 4],[ 9.10344828 14.89655172] ; [1.89655172 3.10344828],0
a2,1,0.38013,0.770282,[19 60] ; [1 8],[17.95454545 61.04545455] ; [2.04545455 6.95454545],0
d5,1,0.419977,0.650379,[61 18] ; [8 1],[61.94318182 17.05681818] ; [7.05681818 1.94318182],0
s3,1,0.424296,0.638385,[36 40] ; [3 6],[34.87058824 41.12941176] ; [4.12941176 4.87058824],0
d1,1,0.428966,0.625621,[46 33] ; [4 5],[44.88636364 34.11363636] ; [5.11363636 3.88636364],0
b5,1,0.43895,0.599026,[54 25] ; [5 4],[52.96590909 26.03409091] ; [6.03409091 2.96590909],0
p1,1,0.457728,0.551445,[ 4 75] ; [1 8],[ 4.48863636 74.51136364] ; [0.51136364 8.48863636],0
n2,1,0.4948,0.466071,[18  6] ; [3 2],[17.37931034  6.62068966] ; [3.62068966 1.37931034],0
a4,1,0.528995,0.396322,[35 44] ; [3 6],[34.11363636 44.88636364] ; [3.88636364 5.11363636],0
d3,1,0.541228,0.373269,[52 27] ; [5 4],[51.17045455 27.82954545] ; [5.82954545 3.17045455],0
a5,1,0.541228,0.373269,[52 27] ; [5 4],[51.17045455 27.82954545] ; [5.82954545 3.17045455],0
d4,1,0.676111,0.174537,[65 13] ; [7 2],[64.55172414 13.44827586] ; [7.44827586 1.55172414],0
d2,1,0.697659,0.150919,[40 38] ; [4 5],[39.44827586 38.55172414] ; [4.55172414 4.44827586],0
b4,1,0.78523,0.074262,[49 30] ; [6 3],[49.375 29.625] ; [5.625 3.375],0
a6,1,0.78523,0.074262,[49 30] ; [6 3],[49.375 29.625] ; [5.625 3.375],0
n4,1,0.879119,0.02313,[50 28] ; [6 3],[50.20689655 27.79310345] ; [5.79310345 3.20689655],0
a3,1,0.900097,0.01576,[51 28] ; [6 3],[51.17045455 27.82954545] ; [5.82954545 3.17045455],0
v1,1,0.922385,0.009493,[42 36] ; [5 4],[42.13793103 35.86206897] ; [4.86206897 4.13793103],0
u3,1,0.934715,0.00671,[10 18] ; [1 2],[ 9.93548387 18.06451613] ; [1.06451613 1.93548387],0
a7,1,0.937866,0.006077,[53 25] ; [6 3],[52.89655172 25.10344828] ; [6.10344828 2.89655172],0
p11,1,0.948786,0.004126,[43 36] ; [5 4],[43.09090909 35.90909091] ; [4.90909091 4.09090909],0
s6,1,0.960959,0.002396,[44 34] ; [5 4],[43.93103448 34.06896552] ; [5.06896552 3.93103448],0
s4,1,0.96964,0.001449,[ 9 69] ; [1 8],[ 8.96551724 69.03448276] ; [1.03448276 7.96551724],0
b3,1,1.0,0.0,[17 34] ; [2 4],[17. 34.] ; [2. 4.],0
b2,1,1.0,0.0,[17 34] ; [2 4],[17. 34.] ; [2. 4.],0
n3,1,1.0,0.0,[20  5] ; [4 1],[20.  5.] ; [4. 1.],0
