Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.5e-05,16.639502,[ 20 101] ; [33 44],[32.38888889 88.61111111] ; [20.61111111 56.38888889],1
v2,1,0.00027,13.269625,[48 75] ; [51 27],[60.58208955 62.41791045] ; [38.41791045 39.58208955],1
s6,1,0.0149,5.928216,[51 76] ; [46 34],[59.51207729 67.48792271] ; [37.48792271 42.51207729],0
a4,1,0.015974,5.805715,[38 89] ; [38 44],[46.18181818 80.81818182] ; [29.81818182 52.18181818],0
b3,1,0.035617,4.415363,[17 54] ; [18 24],[21.99115044 49.00884956] ; [13.00884956 28.99115044],0
b2,1,0.035617,4.415363,[17 54] ; [18 24],[21.99115044 49.00884956] ; [13.00884956 28.99115044],0
p1,1,0.045669,3.993766,[  4 121] ; [ 8 73],[  7.2815534 117.7184466] ; [ 4.7184466 76.2815534],0
a5,1,0.062648,3.465864,[72 55] ; [57 25],[78.38755981 48.61244019] ; [50.61244019 31.38755981],0
p12,1,0.077557,3.115372,[  3 124] ; [ 6 74],[  5.52173913 121.47826087] ; [ 3.47826087 76.52173913],0
s5,1,0.081021,3.044308,[ 22 100] ; [22 55],[26.97487437 95.02512563] ; [17.02512563 59.97487437],0
s8,1,0.086054,2.946674,[30 97] ; [28 53],[35.41346154 91.58653846] ; [22.58653846 58.41346154],0
s2,1,0.107658,2.588274,[36 91] ; [32 50],[41.32057416 85.67942584] ; [26.67942584 55.32057416],0
u2,1,0.108568,2.574944,[25 25] ; [18  8],[28.28947368 21.71052632] ; [14.71052632 11.28947368],0
s1,1,0.16282,1.947835,[  5 122] ; [ 7 75],[  7.29186603 119.70813397] ; [ 4.70813397 77.29186603],0
p6,1,0.164349,1.93375,[ 24 101] ; [21 55],[27.98507463 97.01492537] ; [17.01492537 58.98507463],0
s7,1,0.166092,1.91787,[29 92] ; [26 53],[33.275 87.725] ; [21.725 57.275],0
r1,1,0.179995,1.797662,[86 40] ; [63 19],[90.25961538 35.74038462] ; [58.74038462 23.25961538],0
d4,1,0.183461,1.769362,[99 28] ; [70 12],[102.6937799  24.3062201] ; [66.3062201 15.6937799],0
p7,1,0.192624,1.697436,[70 56] ; [37 43],[65.44660194 60.55339806] ; [41.55339806 38.44660194],0
s3,1,0.221026,1.497696,[46 78] ; [37 44],[50.20487805 73.79512195] ; [32.79512195 48.20487805],0
p9,1,0.22688,1.460317,[80 46] ; [58 23],[84. 42.] ; [54. 27.],0
v4,1,0.228025,1.453141,[110  16] ; [75  6],[112.60869565  13.39130435] ; [72.39130435  8.60869565],0
u3,1,0.230767,1.43613,[22 27] ; [16 11],[24.5 24.5] ; [13.5 13.5],0
n2,1,0.248841,1.329797,[25 18] ; [16  6],[27.12307692 15.87692308] ; [13.87692308  8.12307692],0
b5,1,0.281421,1.160215,[71 56] ; [52 30],[74.74162679 52.25837321] ; [48.25837321 33.74162679],0
a1,1,0.285291,1.141711,[  5 122] ; [ 6 76],[  6.68421053 120.31578947] ; [ 4.31578947 77.68421053],0
a3,1,0.291288,1.11366,[76 51] ; [55 27],[79.60287081 47.39712919] ; [51.39712919 30.60287081],0
p3,1,0.311105,1.025979,[42 85] ; [32 48],[45.40096618 81.59903382] ; [28.59903382 51.40096618],0
a8,1,0.313571,1.015576,[  8 113] ; [ 8 67],[  9.87755102 111.12244898] ; [ 6.12244898 68.87755102],0
n6,1,0.34059,0.908209,[79 48] ; [45 36],[75.71153846 51.28846154] ; [48.28846154 32.71153846],0
d3,1,0.392874,0.730029,[81 46] ; [57 25],[83.85645933 43.14354067] ; [54.14354067 27.85645933],0
p2,1,0.440737,0.594364,[92 34] ; [63 18],[94.34782609 31.65217391] ; [60.65217391 20.34782609],0
b1,1,0.480741,0.497182,[48 79] ; [35 47],[50.4354067 76.5645933] ; [32.5645933 49.4354067],0
r2,1,0.529192,0.395943,[108  18] ; [71  9],[109.48543689  16.51456311] ; [69.51456311 10.48543689],0
a2,1,0.569714,0.323161,[ 18 109] ; [14 68],[ 19.44497608 107.55502392] ; [12.55502392 69.44497608],0
d5,1,0.611476,0.258032,[92 35] ; [62 20],[93.57894737 33.42105263] ; [60.42105263 21.57894737],0
n3,1,0.634359,0.226196,[31 11] ; [15  7],[30.1875 11.8125] ; [15.8125  6.1875],0
p5,1,0.643364,0.214369,[  6 120] ; [ 5 75],[  6.72815534 119.27184466] ; [ 4.27184466 75.72815534],0
b4,1,0.650557,0.205199,[75 52] ; [51 31],[76.5645933 50.4354067] ; [49.4354067 32.5645933],0
n1,1,0.684594,0.165,[10 34] ; [ 6 16],[10.66666667 33.33333333] ; [ 5.33333333 16.66666667],0
r4,1,0.692312,0.156594,[102  25] ; [64 18],[100.8708134  26.1291866] ; [65.1291866 16.8708134],0
a6,1,0.733772,0.115676,[76 51] ; [51 31],[77.1722488 49.8277512] ; [49.8277512 32.1722488],0
d1,1,0.742516,0.107927,[59 68] ; [40 42],[60.15789474 66.84210526] ; [38.84210526 43.15789474],0
p10,1,0.809551,0.058083,[74 51] ; [46 34],[73.17073171 51.82926829] ; [46.82926829 33.17073171],0
a7,1,0.810969,0.057206,[91 36] ; [60 22],[91.75598086 35.24401914] ; [59.24401914 22.75598086],0
r3,1,0.864149,0.029274,[117  10] ; [75  7],[116.66985646  10.33014354] ; [75.33014354  6.66985646],0
p4,1,0.870654,0.026513,[53 73] ; [35 46],[53.56521739 72.43478261] ; [34.43478261 46.56521739],0
p8,1,0.870654,0.026513,[53 73] ; [35 46],[53.56521739 72.43478261] ; [34.43478261 46.56521739],0
p11,1,0.930558,0.007594,[86 41] ; [56 26],[86.28708134 40.71291866] ; [55.71291866 26.28708134],0
n4,1,0.940708,0.005532,[52 75] ; [34 48],[52.25837321 74.74162679] ; [33.74162679 48.25837321],0
d2,1,0.957298,0.002867,[46 81] ; [30 52],[46.18181818 80.81818182] ; [29.81818182 52.18181818],0
u1,1,0.974943,0.000987,[ 11 116] ; [ 7 75],[ 10.93779904 116.06220096] ; [ 7.06220096 74.93779904],0
