Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,117.005287,[446  12] ; [71 39],[416.87676056  41.12323944] ; [100.12323944   9.87676056],1
r2,1,0.0,54.966947,[445  11] ; [85 23],[428.5106383  27.4893617] ; [101.4893617   6.5106383],1
v4,1,0.0,30.139156,[448   9] ; [94 15],[437.62190813  19.37809187] ; [104.37809187   4.62190813],1
a2,1,4e-06,21.251978,[135 323] ; [  9 101],[116.11267606 341.88732394] ; [27.88732394 82.11267606],1
u1,1,5e-06,20.949544,[104 354] ; [  4 106],[ 87.08450704 370.91549296] ; [20.91549296 89.08450704],1
d3,1,1.3e-05,19.038533,[327 129] ; [55 55],[307.75971731 148.24028269] ; [74.24028269 35.75971731],1
d1,1,8.9e-05,15.354743,[297 161] ; [49 61],[278.99295775 179.00704225] ; [67.00704225 42.99295775],1
r3,1,9e-05,15.336968,[446  10] ; [98 11],[439.05132743  16.94867257] ; [104.94867257   4.05132743],1
a5,1,0.000139,14.509251,[365  92] ; [69 41],[349.80246914 107.19753086] ; [84.19753086 25.80246914],1
a7,1,0.000187,13.953009,[335 120] ; [61 49],[318.90265487 136.09734513] ; [77.09734513 32.90265487],1
n4,1,0.000369,12.683806,[417  41] ; [87 23],[406.3943662  51.6056338] ; [97.6056338 12.3943662],1
p7,1,0.001884,9.658864,[315 128] ; [60 48],[301.49727768 141.50272232] ; [73.50272232 34.49727768],0
u3,1,0.00258,9.0831,[71 43] ; [13 25],[63. 51.] ; [21. 17.],0
d2,1,0.003059,8.772234,[243 212] ; [41 68],[229.11347518 225.88652482] ; [54.88652482 54.11347518],0
v2,1,0.003162,8.711719,[274 165] ; [49 56],[260.65625 178.34375] ; [62.34375 42.65625],0
a4,1,0.004917,7.909688,[225 230] ; [38 72],[211.79646018 243.20353982] ; [51.20353982 58.79646018],0
a6,1,0.004998,7.880241,[331 124] ; [65 45],[318.90265487 136.09734513] ; [77.09734513 32.90265487],0
v1,1,0.006207,7.489151,[278 169] ; [50 55],[265.60869565 181.39130435] ; [62.39130435 42.60869565],0
d4,1,0.006407,7.432177,[381  73] ; [80 30],[371.08865248  82.91134752] ; [89.91134752 20.08865248],0
d5,1,0.007259,7.207806,[382  74] ; [80 30],[372.21201413  83.78798587] ; [89.78798587 20.21201413],0
