Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.787144,[15 24] ; [65 15],[26.21848739 12.78151261] ; [53.78151261 26.21848739],1
v4,1,5e-06,20.990583,[22 15] ; [75  5],[30.67521368  6.32478632] ; [66.32478632 13.67521368],1
r3,1,7e-06,20.254074,[21 17] ; [72  7],[30.20512821  7.79487179] ; [62.79487179 16.20512821],1
n6,1,0.000701,11.486222,[17 20] ; [62 18],[24.98290598 12.01709402] ; [54.01709402 25.98290598],1
n3,1,0.001028,10.776647,[ 7 12] ; [19  3],[12.04878049  6.95121951] ; [13.95121951  8.04878049],0
p10,1,0.002586,9.07901,[14 24] ; [53 27],[21.57627119 16.42372881] ; [45.42372881 34.57627119],0
v2,1,0.003231,8.67207,[ 6 30] ; [34 41],[12.97297297 23.02702703] ; [27.02702703 47.97297297],0
p9,1,0.003917,8.321759,[17 20] ; [58 21],[23.92241379 13.07758621] ; [51.07758621 27.92241379],0
r1,1,0.005388,7.744513,[17 21] ; [57 23],[23.83050847 14.16949153] ; [50.16949153 29.83050847],0
u3,1,0.013977,6.041002,[ 6 19] ; [23 19],[10.82089552 14.17910448] ; [18.17910448 23.82089552],0
s6,1,0.020701,5.351819,[11 28] ; [40 39],[16.8559322 22.1440678] ; [34.1440678 44.8559322],0
u2,1,0.030379,4.687701,[ 6 18] ; [22 20],[10.18181818 13.81818182] ; [17.81818182 24.18181818],0
s8,1,0.031854,4.606356,[ 3 36] ; [19 60],[ 7.27118644 31.72881356] ; [14.72881356 64.27118644],0
s5,1,0.059279,3.557433,[ 4 34] ; [20 58],[ 7.86206897 30.13793103] ; [16.13793103 61.86206897],0
p2,1,0.06794,3.332099,[18 21] ; [51 29],[22.61344538 16.38655462] ; [46.38655462 33.61344538],0
r2,1,0.140282,2.17486,[28 10] ; [68 12],[30.91525424  7.08474576] ; [65.08474576 14.91525424],0
s1,1,0.156175,2.010878,[ 4 34] ; [ 3 75],[ 2.29310345 35.70689655] ; [ 4.70689655 73.29310345],0
