Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.106139,[ 16 120] ; [14 13],[ 25.03067485 110.96932515] ; [ 4.96932515 22.03067485],1
s6,1,0.000225,13.610566,[43 96] ; [19  9],[51.60479042 87.39520958] ; [10.39520958 17.60479042],1
a8,1,0.003615,8.467943,[ 10 122] ; [ 7 19],[ 14.20253165 117.79746835] ; [ 2.79746835 23.20253165],0
u2,1,0.003976,8.294671,[39 48] ; [10  1],[43.5 43.5] ; [5.5 5.5],0
s3,1,0.008802,6.86247,[ 31 107] ; [13 15],[ 36.57831325 101.42168675] ; [ 7.42168675 20.57831325],0
p8,1,0.021347,5.29822,[48 93] ; [16 12],[53.3964497 87.6035503] ; [10.6035503 17.3964497],0
p10,1,0.025826,4.967603,[76 63] ; [21  6],[81.22289157 57.77710843] ; [15.77710843 11.22289157],0
p7,1,0.026885,4.898177,[62 76] ; [19  9],[67.3373494 70.6626506] ; [13.6626506 14.3373494],0
a3,1,0.032745,4.559038,[54 85] ; [17 11],[59.09580838 79.90419162] ; [11.90419162 16.09580838],0
b4,1,0.050958,3.809645,[89 53] ; [12 16],[84.36470588 57.63529412] ; [16.63529412 11.36470588],0
p9,1,0.054124,3.708861,[88 51] ; [23  5],[92.38922156 46.61077844] ; [18.61077844  9.38922156],0
p11,1,0.063149,3.452698,[91 51] ; [23  5],[95.22352941 46.77647059] ; [18.77647059  9.22352941],0
p4,1,0.068899,3.309067,[49 90] ; [15 13],[53.26946108 85.73053892] ; [10.73053892 17.26946108],0
n6,1,0.072783,3.219123,[98 44] ; [24  4],[101.90588235  40.09411765] ; [20.09411765  7.90588235],0
v2,1,0.086834,2.932103,[53 81] ; [15 11],[56.95 77.05] ; [11.05 14.95],0
p6,1,0.116545,2.46315,[ 33 106] ; [10 16],[ 36.22424242 102.77575758] ; [ 6.77575758 19.22424242],0
b5,1,0.125831,2.343198,[88 54] ; [13 15],[84.36470588 57.63529412] ; [16.63529412 11.36470588],0
p12,1,0.15255,2.046568,[  3 138] ; [ 2 26],[  4.17159763 136.82840237] ; [ 0.82840237 27.17159763],0
r4,1,0.16098,1.964998,[98 44] ; [23  5],[101.07058824  40.92941176] ; [19.92941176  8.07058824],0
b1,1,0.177344,1.819744,[47 95] ; [13 15],[50.11764706 91.88235294] ; [ 9.88235294 18.11764706],0
u3,1,0.198959,1.65,[38 50] ; [7 4],[40. 48.] ; [5. 6.],0
p5,1,0.234453,1.413638,[  7 135] ; [ 3 25],[  8.35294118 133.64705882] ; [ 1.64705882 26.35294118],0
n3,1,0.249897,1.323877,[35 12] ; [5 4],[33.57142857 13.42857143] ; [6.42857143 2.57142857],0
p3,1,0.252644,1.308625,[45 97] ; [12 16],[47.61176471 94.38823529] ; [ 9.38823529 18.61176471],0
n4,1,0.275242,1.190434,[80 61] ; [19  9],[82.59763314 58.40236686] ; [16.40236686 11.59763314],0
p2,1,0.310392,1.029007,[98 44] ; [22  6],[100.23529412  41.76470588] ; [19.76470588  8.23529412],0
v1,1,0.312213,1.02129,[50 90] ; [12 14],[52.28915663 87.71084337] ; [ 9.71084337 16.28915663],0
b2,1,0.31956,0.990746,[21 52] ; [ 7 10],[22.71111111 50.28888889] ; [ 5.28888889 11.71111111],0
b3,1,0.31956,0.990746,[21 52] ; [ 7 10],[22.71111111 50.28888889] ; [ 5.28888889 11.71111111],0
r3,1,0.322,0.980806,[115  26] ; [25  3],[116.80473373  24.19526627] ; [23.19526627  4.80473373],0
a7,1,0.338983,0.914275,[82 59] ; [19  9],[84.26627219 56.73372781] ; [16.73372781 11.26627219],0
d3,1,0.352075,0.865965,[67 74] ; [16 12],[69.24852071 71.75147929] ; [13.75147929 14.24852071],0
