Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.001475,10.109936,[ 7 34] ; [10  7],[12.01724138 28.98275862] ; [ 4.98275862 12.01724138],0
p11,1,0.003191,8.695023,[19 22] ; [15  2],[24.03448276 16.96551724] ; [9.96551724 7.03448276],0
d1,1,0.005403,7.739376,[ 7 34] ; [9 8],[11.31034483 29.68965517] ; [ 4.68965517 12.31034483],0
d2,1,0.020226,5.392253,[ 9 32] ; [9 8],[12.72413793 28.27586207] ; [ 5.27586207 11.72413793],0
r3,1,0.024325,5.071324,[23 17] ; [15  2],[26.66666667 13.33333333] ; [11.33333333  5.66666667],0
n4,1,0.052583,3.757127,[20 21] ; [13  4],[23.32758621 17.67241379] ; [9.67241379 7.32758621],0
n2,1,0.054181,3.707108,[8 9] ; [7 1],[10.2  6.8] ; [4.8 3.2],0
d5,1,0.06413,3.427219,[18 23] ; [12  5],[21.20689655 19.79310345] ; [8.79310345 8.20689655],0
s6,1,0.0824,3.016907,[14 27] ; [10  7],[16.96551724 24.03448276] ; [7.03448276 9.96551724],0
a4,1,0.086323,2.941639,[ 8 33] ; [ 7 10],[10.60344828 30.39655172] ; [ 4.39655172 12.60344828],0
n3,1,0.093102,2.819904,[9 8] ; [7 1],[10.88  6.12] ; [5.12 2.88],0
u3,1,0.099438,2.714533,[ 5 17] ; [3 2],[ 6.51851852 15.48148148] ; [1.48148148 3.51851852],0
a3,1,0.109358,2.563482,[19 21] ; [12  5],[21.75438596 18.24561404] ; [9.24561404 7.75438596],0
d3,1,0.149207,2.080344,[18 23] ; [11  6],[20.5 20.5] ; [8.5 8.5],0
d4,1,0.155877,2.013773,[26 15] ; [14  3],[28.27586207 12.72413793] ; [11.72413793  5.27586207],0
v3,1,0.191301,1.707572,[ 6 35] ; [ 5 12],[ 7.77586207 33.22413793] ; [ 3.22413793 13.77586207],0
a7,1,0.227632,1.455595,[17 24] ; [10  7],[19.0862069 21.9137931] ; [7.9137931 9.0862069],0
n5,1,0.233414,1.419937,[22 19] ; [12  5],[24.03448276 16.96551724] ; [9.96551724 7.03448276],0
s7,1,0.234001,1.416373,[11 27] ; [ 2 13],[ 9.32075472 28.67924528] ; [ 3.67924528 11.32075472],0
p4,1,0.249643,1.325302,[15 26] ; [9 8],[16.96551724 24.03448276] ; [7.03448276 9.96551724],0
r1,1,0.334876,0.92995,[15 26] ; [ 4 13],[13.43103448 27.56896552] ; [ 5.56896552 11.43103448],0
s2,1,0.342607,0.900651,[ 8 33] ; [ 5 11],[ 9.35087719 31.64912281] ; [ 3.64912281 12.35087719],0
a2,1,0.346125,0.887614,[ 2 39] ; [ 2 15],[ 2.82758621 38.17241379] ; [ 1.17241379 15.82758621],0
s3,1,0.390443,0.737561,[12 28] ; [ 3 13],[10.71428571 29.28571429] ; [ 4.28571429 11.71428571],0
p5,1,0.420973,0.647597,[ 4 36] ; [ 3 14],[ 4.9122807 35.0877193] ; [ 2.0877193 14.9122807],0
p8,1,0.428782,0.626121,[10 30] ; [ 6 11],[11.22807018 28.77192982] ; [ 4.77192982 12.22807018],0
v4,1,0.439331,0.59803,[22 19] ; [11  6],[23.32758621 17.67241379] ; [9.67241379 7.32758621],0
b4,1,0.457965,0.550865,[26 15] ; [9 8],[24.74137931 16.25862069] ; [10.25862069  6.74137931],0
b2,1,0.46735,0.528235,[ 8 19] ; [2 9],[ 7.10526316 19.89473684] ; [2.89473684 8.10526316],0
b3,1,0.46735,0.528235,[ 8 19] ; [2 9],[ 7.10526316 19.89473684] ; [2.89473684 8.10526316],0
u2,1,0.556812,0.345255,[12 10] ; [2 3],[11.40740741 10.59259259] ; [2.59259259 2.40740741],0
n6,1,0.5583,0.342657,[25 15] ; [12  5],[25.96491228 14.03508772] ; [11.03508772  5.96491228],0
b1,1,0.571727,0.319802,[25 16] ; [9 8],[24.03448276 16.96551724] ; [9.96551724 7.03448276],0
s8,1,0.575102,0.314221,[10 31] ; [ 3 14],[ 9.18965517 31.81034483] ; [ 3.81034483 13.18965517],0
p3,1,0.575102,0.314221,[10 31] ; [ 3 14],[ 9.18965517 31.81034483] ; [ 3.81034483 13.18965517],0
a1,1,0.582776,0.301768,[ 3 38] ; [ 2 15],[ 3.53448276 37.46551724] ; [ 1.46551724 15.53448276],0
s1,1,0.632328,0.228916,[ 4 37] ; [ 1 16],[ 3.53448276 37.46551724] ; [ 1.46551724 15.53448276],0
p1,1,0.632328,0.228916,[ 4 37] ; [ 1 16],[ 3.53448276 37.46551724] ; [ 1.46551724 15.53448276],0
b5,1,0.647066,0.209619,[22 19] ; [8 9],[21.20689655 19.79310345] ; [8.79310345 8.20689655],0
p2,1,0.661975,0.191133,[24 17] ; [11  6],[24.74137931 16.25862069] ; [10.25862069  6.74137931],0
p7,1,0.661975,0.191133,[17 24] ; [ 6 11],[16.25862069 24.74137931] ; [ 6.74137931 10.25862069],0
a6,1,0.695292,0.153416,[17 24] ; [8 9],[17.67241379 23.32758621] ; [7.32758621 9.67241379],0
r4,1,0.731008,0.118188,[ 8 33] ; [ 4 13],[ 8.48275862 32.51724138] ; [ 3.51724138 13.48275862],0
p10,1,0.73251,0.116819,[21 20] ; [9 7],[21.57894737 19.42105263] ; [8.42105263 7.57894737],0
s4,1,0.772989,0.083214,[ 6 35] ; [ 3 14],[ 6.36206897 34.63793103] ; [ 2.63793103 14.36206897],0
s5,1,0.772989,0.083214,[ 6 35] ; [ 2 15],[ 5.65517241 35.34482759] ; [ 2.34482759 14.65517241],0
a5,1,0.772989,0.083214,[20 21] ; [9 8],[20.5 20.5] ; [8.5 8.5],0
n1,1,0.818733,0.052521,[ 5 12] ; [2 6],[ 4.76 12.24] ; [2.24 5.76],0
p9,1,0.862612,0.029947,[24 16] ; [10  6],[24.28571429 15.71428571] ; [9.71428571 6.28571429],0
