Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,7.8e-05,15.614905,[34 28] ; [121  28],[45.5450237 16.4549763] ; [109.4549763  39.5450237],1
s4,1,0.000637,11.665794,[23 44] ; [ 21 128],[13.64814815 53.35185185] ; [ 30.35185185 118.64814815],1
p10,1,0.001618,9.939315,[32 31] ; [109  40],[41.9009434 21.0990566] ; [99.0990566 49.9009434],0
p2,1,0.003002,8.806196,[41 25] ; [120  28],[49.65420561 16.34579439] ; [111.34579439  36.65420561],0
n4,1,0.005983,7.555372,[19 48] ; [72 77],[28.22685185 38.77314815] ; [62.77314815 86.22685185],0
p7,1,0.010693,6.51572,[28 38] ; [90 57],[36.56338028 29.43661972] ; [81.43661972 65.56338028],0
b1,1,0.012633,6.219739,[31 36] ; [ 43 106],[22.9537037 44.0462963] ; [51.0462963 97.9537037],0
s2,1,0.059576,3.549157,[35 32] ; [57 91],[28.66976744 38.33023256] ; [63.33023256 84.66976744],0
b3,1,0.065743,3.386243,[ 5 25] ; [31 59],[ 9. 21.] ; [27. 63.],0
b2,1,0.065743,3.386243,[ 5 25] ; [31 59],[ 9. 21.] ; [27. 63.],0
d2,1,0.069518,3.294355,[34 33] ; [56 93],[27.91666667 39.08333333] ; [62.08333333 86.91666667],0
a2,1,0.072042,3.235881,[15 52] ; [ 19 130],[10.5462963 56.4537037] ; [ 23.4537037 125.5462963],0
n6,1,0.07949,3.075298,[37 29] ; [102  47],[42.66976744 23.33023256] ; [96.33023256 52.66976744],0
v1,1,0.138434,2.195282,[20 46] ; [59 85],[24.82857143 41.17142857] ; [54.17142857 89.82857143],0
p5,1,0.143855,2.136228,[ 1 65] ; [  9 139],[ 3.08411215 62.91588785] ; [  6.91588785 141.08411215],0
u1,1,0.184558,1.760533,[11 56] ; [ 15 134],[ 8.06481481 58.93518519] ; [ 17.93518519 131.06481481],0
d5,1,0.184792,1.758659,[55 11] ; [112  37],[51.26511628 14.73488372] ; [115.73488372  33.26511628],0
p8,1,0.191624,1.705084,[23 42] ; [67 82],[27.3364486 37.6635514] ; [62.6635514 86.3364486],0
p12,1,0.196412,1.668852,[ 1 64] ; [  8 140],[ 2.74647887 62.25352113] ; [  6.25352113 141.74647887],0
s3,1,0.209785,1.572912,[36 30] ; [67 81],[31.76635514 34.23364486] ; [71.23364486 76.76635514],0
s6,1,0.278722,1.17331,[41 24] ; [81 66],[37.40566038 27.59433962] ; [84.59433962 62.40566038],0
s8,1,0.302992,1.060977,[20 46] ; [56 93],[23.33023256 42.66976744] ; [52.66976744 96.33023256],0
d1,1,0.326429,0.963011,[39 28] ; [76 73],[35.6712963 31.3287037] ; [79.3287037 69.6712963],0
r2,1,0.326999,0.960745,[66  1] ; [142   6],[64.81860465  2.18139535] ; [143.18139535   4.81860465],0
r1,1,0.33747,0.920019,[52 15] ; [123  25],[54.53488372 12.46511628] ; [120.46511628  27.53488372],0
s5,1,0.367736,0.811301,[20 41] ; [ 38 105],[17.34313725 43.65686275] ; [ 40.65686275 102.34313725],0
s1,1,0.373752,0.791154,[ 4 63] ; [  5 144],[ 2.79166667 64.20833333] ; [  6.20833333 142.79166667],0
a4,1,0.382373,0.763057,[28 39] ; [53 96],[25.125 41.875] ; [55.875 93.125],0
p6,1,0.395518,0.72191,[16 49] ; [ 44 101],[18.57142857 46.42857143] ; [ 41.42857143 103.57142857],0
a1,1,0.440512,0.594948,[ 2 65] ; [  8 141],[ 3.10185185 63.89814815] ; [  6.89814815 142.10185185],0
p3,1,0.468839,0.52471,[24 42] ; [62 87],[26.4 39.6] ; [59.6 89.4],0
s7,1,0.492141,0.471842,[24 36] ; [51 95],[21.84466019 38.15533981] ; [53.15533981 92.84466019],0
u2,1,0.515286,0.423318,[16  8] ; [30 21],[14.72  9.28] ; [31.28 19.72],0
a3,1,0.515841,0.422201,[41 26] ; [98 51],[43.11574074 23.88425926] ; [95.88425926 53.11574074],0
v4,1,0.536632,0.381817,[63  4] ; [142   6],[63.88372093  3.11627907] ; [141.11627907   6.88372093],0
a5,1,0.603024,0.27046,[43 24] ; [101  48],[44.66666667 22.33333333] ; [99.33333333 49.66666667],0
v3,1,0.617393,0.249549,[19 40] ; [ 41 102],[17.52475248 41.47524752] ; [ 42.47524752 100.52475248],0
d4,1,0.639361,0.219579,[54 13] ; [124  25],[55.21296296 11.78703704] ; [122.78703704  26.21296296],0
d3,1,0.752174,0.099713,[46 20] ; [107  42],[46.96744186 19.03255814] ; [106.03255814  42.96744186],0
n2,1,0.769511,0.085858,[17  7] ; [26  9],[17.49152542  6.50847458] ; [25.50847458  9.49152542],0
