Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,60.261926,[491  15] ; [82 25],[472.98205546  33.01794454] ; [100.01794454   6.98205546],1
p9,1,0.0,57.01126,[443  59] ; [60 44],[416.67656766  85.32343234] ; [86.32343234 17.67656766],1
p4,1,0.0,56.987994,[339 169] ; [28 76],[304.63398693 203.36601307] ; [62.36601307 41.63398693],1
p10,1,0.0,54.249571,[432  72] ; [57 48],[404.68965517  99.31034483] ; [84.31034483 20.68965517],1
p7,1,0.0,48.293504,[345 156] ; [33 69],[314.05970149 186.94029851] ; [63.94029851 38.05970149],1
p8,1,0.0,44.149239,[289 211] ; [24 83],[257.82537068 242.17462932] ; [55.17462932 51.82537068],1
v4,1,0.0,43.388284,[485  21] ; [83 24],[468.8548124  37.1451876] ; [99.1451876  7.8548124],1
r4,1,0.0,34.735098,[469  41] ; [77 30],[451.31280389  58.68719611] ; [94.68719611 12.31280389],1
p11,1,0.0,31.119573,[427  83] ; [64 43],[405.85089141 104.14910859] ; [85.14910859 21.85089141],1
d5,1,1e-06,23.902577,[433  76] ; [68 37],[415.32410423  93.67589577] ; [85.67589577 19.32410423],1
v1,1,1.6e-05,18.666904,[293 202] ; [37 66],[273.16053512 221.83946488] ; [56.83946488 46.16053512],1
p6,1,2e-05,18.143006,[207 296] ; [20 85],[187.79769737 315.20230263] ; [39.20230263 65.79769737],1
p3,1,7.1e-05,15.781398,[276 233] ; [35 71],[257.39674797 251.60325203] ; [53.60325203 52.39674797],1
n6,1,9.5e-05,15.242763,[453  54] ; [79 26],[440.7254902  66.2745098] ; [91.2745098 13.7254902],1
s6,1,0.000191,13.913983,[334 166] ; [51 56],[317.13344316 182.86655684] ; [67.86655684 39.13344316],1
r1,1,0.000682,11.536852,[419  88] ; [73 34],[406.26058632 100.73941368] ; [85.73941368 21.26058632],1
v2,1,0.002098,9.4615,[300 191] ; [46 57],[286.003367 204.996633] ; [59.996633 43.003367],0
d4,1,0.002223,9.355262,[427  81] ; [75 30],[416.01305057  91.98694943] ; [85.98694943 19.01305057],0
d3,1,0.004094,8.241426,[351 159] ; [57 48],[338.34146341 171.65853659] ; [69.65853659 35.34146341],0
a5,1,0.004767,7.965696,[399 111] ; [70 37],[387.66612642 122.33387358] ; [81.33387358 25.66612642],0
s5,1,0.007577,7.130909,[160 333] ; [20 84],[148.64321608 344.35678392] ; [31.35678392 72.64321608],0
a1,1,0.009013,6.820222,[ 24 486] ; [12 95],[ 29.75688817 480.24311183] ; [  6.24311183 100.75688817],0
s7,1,0.012644,6.218266,[254 227] ; [40 62],[242.5626072 238.4373928] ; [51.4373928 50.5626072],0
r2,1,0.015602,5.847218,[479  23] ; [93 11],[473.8349835  28.1650165] ; [98.1650165  5.8349835],0
s2,1,0.017134,5.682641,[248 257] ; [39 68],[236.82189542 268.17810458] ; [50.17810458 56.82189542],0
b1,1,0.019041,5.49777,[195 315] ; [54 53],[205.8184765 304.1815235] ; [43.1815235 63.8184765],0
a3,1,0.023687,5.117411,[379 129] ; [67 38],[369.60522023 138.39477977] ; [76.39477977 28.60522023],0
s3,1,0.031304,4.636195,[279 221] ; [46 58],[269.0397351 230.9602649] ; [55.9602649 48.0397351],0
s8,1,0.046031,3.980477,[235 271] ; [38 68],[225.71568627 280.28431373] ; [47.28431373 58.71568627],0
s1,1,0.051216,3.801193,[ 14 487] ; [ 7 99],[ 17.33278418 483.66721582] ; [  3.66721582 102.33278418],0
a7,1,0.090504,2.86539,[369 139] ; [69 38],[361.79512195 146.20487805] ; [76.20487805 30.79512195],0
b5,1,0.114387,2.492537,[309 201] ; [56 51],[301.70178282 208.29821718] ; [63.29821718 43.70178282],0
n3,1,0.16719,1.90796,[69 25] ; [20 13],[65.87401575 28.12598425] ; [23.12598425  9.87401575],0
n1,1,0.16814,1.899447,[40 52] ; [20 15],[43.46456693 48.53543307] ; [16.53543307 18.46456693],0
d1,1,0.221447,1.494969,[309 201] ; [58 49],[303.35494327 206.64505673] ; [63.64505673 43.35494327],0
u3,1,0.327525,0.95866,[70 60] ; [18 22],[67.29411765 62.70588235] ; [20.70588235 19.29411765],0
u4,1,0.334205,0.932535,[ 11 499] ; [  4 103],[ 12.3987034 497.6012966] ; [  2.6012966 104.3987034],0
p12,1,0.35969,0.838976,[ 47 458] ; [  7 100],[ 44.55882353 460.44117647] ; [ 9.44117647 97.55882353],0
p5,1,0.379896,0.771038,[ 70 438] ; [11 93],[ 67.23529412 440.76470588] ; [13.76470588 90.23529412],0
u2,1,0.435777,0.607378,[72 57] ; [19 20],[69.875 59.125] ; [21.125 17.875],0
n2,1,0.527879,0.398473,[68 26] ; [28  8],[69.41538462 24.58461538] ; [26.58461538  9.41538462],0
a2,1,0.532783,0.389081,[129 381] ; [24 83],[126.46677472 383.53322528] ; [26.53322528 80.46677472],0
a4,1,0.565905,0.329583,[243 265] ; [47 58],[240.32626427 267.67373573] ; [49.67373573 55.32626427],0
a8,1,0.574533,0.315157,[ 83 373] ; [16 85],[ 81.04847397 374.95152603] ; [17.95152603 83.04847397],0
v3,1,0.615333,0.252481,[221 273] ; [42 58],[218.72390572 275.27609428] ; [44.27609428 55.72390572],0
d2,1,0.676017,0.174644,[263 245] ; [51 52],[261.06710311 246.93289689] ; [52.93289689 50.06710311],0
u1,1,0.694645,0.154103,[ 94 416] ; [18 89],[ 92.57698541 417.42301459] ; [19.42301459 87.57698541],0
a6,1,0.763383,0.090626,[347 162] ; [70 35],[345.68892508 163.31107492] ; [71.31107492 33.68892508],0
b4,1,0.820759,0.051333,[299 211] ; [64 43],[300.04862237 209.95137763] ; [62.95137763 44.04862237],0
b3,1,0.85515,0.033325,[137 193] ; [32 43],[137.7037037 192.2962963] ; [31.2962963 43.7037037],0
b2,1,0.85515,0.033325,[137 193] ; [32 43],[137.7037037 192.2962963] ; [31.2962963 43.7037037],0
n5,1,0.888323,0.019719,[433  73] ; [91 16],[432.53507341  73.46492659] ; [91.46492659 15.53507341],0
p1,1,0.989078,0.000187,[ 52 456] ; [11 96],[ 52.03902439 455.96097561] ; [10.96097561 96.03902439],0
