Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.325223,[63  8] ; [29 33],[49.11278195 21.88721805] ; [42.88721805 19.11278195],1
s6,1,0.000104,15.06386,[44 24] ; [19 43],[32.95384615 35.04615385] ; [30.04615385 31.95384615],1
r2,1,0.000344,12.815978,[66  5] ; [42 19],[58.09090909 12.90909091] ; [49.90909091 11.09090909],1
a7,1,0.001075,10.693659,[47 24] ; [23 38],[37.65151515 33.34848485] ; [32.34848485 28.65151515],0
v1,1,0.001545,10.024054,[34 35] ; [14 48],[25.28244275 43.71755725] ; [22.71755725 39.28244275],0
a5,1,0.001923,9.62177,[42 29] ; [20 42],[33.09774436 37.90225564] ; [28.90225564 33.09774436],0
r3,1,0.00748,7.153852,[64  7] ; [44 17],[58.09090909 12.90909091] ; [49.90909091 11.09090909],0
d3,1,0.01659,5.739245,[22 49] ; [ 8 52],[16.25954198 54.74045802] ; [13.74045802 46.25954198],0
v4,1,0.022459,5.209874,[64  6] ; [47 14],[59.3129771 10.6870229] ; [51.6870229  9.3129771],0
a3,1,0.023059,5.164081,[37 32] ; [21 41],[30.54961832 38.45038168] ; [27.45038168 34.54961832],0
u3,1,0.035094,4.440582,[19 15] ; [13 28],[14.50666667 19.49333333] ; [17.49333333 23.50666667],0
n4,1,0.041097,4.172009,[50 21] ; [33 29],[44.30827068 26.69172932] ; [38.69172932 23.30827068],0
s8,1,0.042068,4.132481,[26 44] ; [13 49],[20.68181818 49.31818182] ; [18.31818182 43.68181818],0
p11,1,0.042645,4.109429,[54 17] ; [37 25],[48.57894737 22.42105263] ; [42.42105263 19.57894737],0
n2,1,0.046685,3.956708,[22  5] ; [14 11],[18.69230769  8.30769231] ; [17.30769231  7.69230769],0
s7,1,0.049786,3.848666,[28 41] ; [14 44],[22.81889764 46.18110236] ; [19.18110236 38.81889764],0
s5,1,0.05538,3.670608,[15 53] ; [ 6 56],[10.98461538 57.01538462] ; [10.01538462 51.98461538],0
p10,1,0.079299,3.079217,[50 20] ; [34 26],[45.23076923 24.76923077] ; [38.76923077 21.23076923],0
a2,1,0.079346,3.078244,[ 8 63] ; [ 2 60],[ 5.33834586 65.66165414] ; [ 4.66165414 57.33834586],0
a4,1,0.080384,3.057125,[20 49] ; [10 52],[15.80152672 53.19847328] ; [14.19847328 47.80152672],0
d5,1,0.091128,2.854332,[36 35] ; [22 39],[31.1969697 39.8030303] ; [26.8030303 34.1969697],0
s2,1,0.118337,2.439188,[27 43] ; [16 46],[22.8030303 47.1969697] ; [20.1969697 41.8030303],0
d1,1,0.132338,2.264866,[ 5 66] ; [ 1 61],[ 3.20300752 67.79699248] ; [ 2.79699248 59.20300752],0
b1,1,0.164867,1.929006,[27 44] ; [31 31],[30.96240602 40.03759398] ; [27.03759398 34.96240602],0
n6,1,0.208049,1.584948,[55 16] ; [42 20],[51.78195489 19.21804511] ; [45.21804511 16.78195489],0
a6,1,0.213787,1.545596,[42 29] ; [30 32],[38.43609023 32.56390977] ; [33.56390977 28.43609023],0
v2,1,0.235519,1.407215,[22 45] ; [14 46],[18.99212598 48.00787402] ; [17.00787402 42.99212598],0
p12,1,0.247904,1.335075,[ 1 70] ; [ 3 59],[ 2.13533835 68.86466165] ; [ 1.86466165 60.13533835],0
s3,1,0.263089,1.25243,[32 38] ; [22 39],[28.85496183 41.14503817] ; [25.14503817 35.85496183],0
p2,1,0.289349,1.122649,[55 16] ; [43 19],[52.31578947 18.68421053] ; [45.68421053 16.31578947],0
p9,1,0.301248,1.068662,[51 19] ; [38 21],[48.29457364 21.70542636] ; [40.70542636 18.29457364],0
p4,1,0.381031,0.767373,[34 37] ; [25 37],[31.4962406 39.5037594] ; [27.5037594 34.4962406],0
p1,1,0.387319,0.747341,[ 9 62] ; [ 5 57],[ 7.47368421 63.52631579] ; [ 6.52631579 55.47368421],0
n1,1,0.417244,0.658065,[12 15] ; [ 8 16],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
p5,1,0.422087,0.644497,[ 6 65] ; [ 3 58],[ 4.84090909 66.15909091] ; [ 4.15909091 56.84090909],0
p6,1,0.464172,0.535815,[20 50] ; [14 47],[18.16793893 51.83206107] ; [15.83206107 45.16793893],0
s4,1,0.494689,0.466312,[17 53] ; [12 50],[15.37878788 54.62121212] ; [13.62121212 48.37878788],0
s1,1,0.565571,0.330149,[ 5 64] ; [ 3 59],[ 4.21374046 64.78625954] ; [ 3.78625954 58.21374046],0
p8,1,0.56778,0.326411,[29 39] ; [23 38],[27.41085271 40.58914729] ; [24.58914729 36.41085271],0
p3,1,0.675883,0.174797,[25 45] ; [20 42],[23.86363636 46.13636364] ; [21.13636364 40.86363636],0
a8,1,0.684319,0.165304,[ 8 56] ; [ 6 53],[ 7.28455285 56.71544715] ; [ 6.71544715 52.28455285],0
u2,1,0.684416,0.165197,[14 20] ; [15 26],[13.14666667 20.85333333] ; [15.85333333 25.14666667],0
b5,1,0.716087,0.132273,[39 32] ; [36 26],[40.03759398 30.96240602] ; [34.96240602 27.03759398],0
d2,1,0.734949,0.114616,[19 52] ; [15 47],[18.15037594 52.84962406] ; [15.84962406 46.15037594],0
a1,1,0.76241,0.091396,[ 3 68] ; [ 2 60],[ 2.66917293 68.33082707] ; [ 2.33082707 59.66917293],0
