Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,82.038913,[ 1 55] ; [154  69],[31.11111111 24.88888889] ; [123.88888889  99.11111111],1
d5,1,0.0,49.014881,[28 28] ; [201  22],[45.96415771 10.03584229] ; [183.03584229  39.96415771],1
d3,1,0.0,45.909803,[20 36] ; [181  42],[40.34408602 15.65591398] ; [160.65591398  62.34408602],1
d2,1,0.000314,12.985236,[13 43] ; [111 111],[24.97841727 31.02158273] ; [ 99.02158273 122.97841727],1
a4,1,0.000406,12.50473,[14 41] ; [116 107],[25.71942446 29.28057554] ; [104.28057554 118.71942446],1
a5,1,0.003322,8.62147,[32 24] ; [171  52],[40.74551971 15.25448029] ; [162.25448029  60.74551971],0
s2,1,0.003859,8.348782,[11 44] ; [ 91 131],[20.25270758 34.74729242] ; [ 81.74729242 140.25270758],0
a2,1,0.004098,8.240077,[ 4 52] ; [ 55 168],[11.84229391 44.15770609] ; [ 47.15770609 175.84229391],0
a3,1,0.014369,5.992238,[28 28] ; [150  72],[35.85611511 20.14388489] ; [142.14388489  79.85611511],0
p9,1,0.026927,4.895464,[40 16] ; [187  35],[45.72661871 10.27338129] ; [181.27338129  40.72661871],0
p1,1,0.030293,4.692573,[10 46] ; [ 18 204],[ 5.64028777 50.35971223] ; [ 22.35971223 199.64028777],0
s6,1,0.03143,4.629322,[25 28] ; [138  80],[31.87822878 21.12177122] ; [131.12177122  86.87822878],0
u2,1,0.035421,4.424757,[10 18] ; [42 29],[14.70707071 13.29292929] ; [37.29292929 33.70707071],0
a6,1,0.049088,3.872356,[32 24] ; [158  65],[38.13620072 17.86379928] ; [151.86379928  71.13620072],0
r4,1,0.056402,3.640141,[45 11] ; [200  23],[49.17562724  6.82437276] ; [195.82437276  27.17562724],0
r1,1,0.060302,3.529069,[38 18] ; [176  45],[43.26353791 12.73646209] ; [170.73646209  50.26353791],0
a7,1,0.094599,2.794312,[38 18] ; [175  48],[42.75268817 13.24731183] ; [170.24731183  52.75268817],0
s5,1,0.099493,2.713649,[11 43] ; [ 69 148],[15.94095941 38.05904059] ; [ 64.05904059 152.94095941],0
u3,1,0.136382,2.218314,[13 15] ; [44 26],[16.28571429 11.71428571] ; [40.71428571 29.28571429],0
n3,1,0.138211,2.197768,[11  1] ; [29 12],[9.05660377 2.94339623] ; [30.94339623 10.05660377],0
b3,1,0.15147,2.057381,[ 7 29] ; [40 86],[10.44444444 25.55555556] ; [36.55555556 89.44444444],0
b2,1,0.15147,2.057381,[ 7 29] ; [40 86],[10.44444444 25.55555556] ; [36.55555556 89.44444444],0
v2,1,0.186065,1.748504,[26 29] ; [123  92],[30.35185185 24.64814815] ; [118.64814815  96.35185185],0
p11,1,0.187021,1.740933,[41 15] ; [181  42],[44.55913978 11.44086022] ; [177.44086022  45.55913978],0
p10,1,0.212658,1.553235,[41 14] ; [182  40],[44.27797834 10.72202166] ; [178.72202166  43.27797834],0
p2,1,0.282209,1.156419,[47  9] ; [197  24],[49.32851986  6.67148014] ; [194.67148014  26.32851986],0
b4,1,0.286849,1.134354,[29 27] ; [133  90],[32.51612903 23.48387097] ; [129.48387097  93.51612903],0
n1,1,0.291699,1.111765,[6 6] ; [14 28],[4.44444444 7.55555556] ; [15.55555556 26.44444444],0
r3,1,0.32987,0.949408,[51  5] ; [209  12],[52.5631769  3.4368231] ; [207.4368231  13.5631769],0
s7,1,0.395888,0.720782,[14 37] ; [ 72 142],[16.5509434 34.4490566] ; [ 69.4490566 144.5509434],0
s1,1,0.416658,0.659724,[ 3 52] ; [  7 214],[ 1.99275362 53.00724638] ; [  8.00724638 212.99275362],0
n6,1,0.440333,0.595416,[45 11] ; [187  34],[46.90252708  9.09747292] ; [185.09747292  35.90252708],0
b1,1,0.519515,0.414856,[25 31] ; [ 89 134],[22.88172043 33.11827957] ; [ 91.11827957 131.88172043],0
