Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,153.851406,[48 67] ; [356  26],[93.48088531 21.51911469] ; [310.51911469  71.48088531],1
n6,1,0.0,66.670256,[74 40] ; [358  23],[99.49090909 14.50909091] ; [332.50909091  48.49090909],1
v1,1,0.0,26.075596,[40 70] ; [239 136],[63.27835052 46.72164948] ; [215.72164948 159.27835052],1
p11,1,1.3e-05,19.044044,[76 39] ; [323  59],[92.32394366 22.67605634] ; [306.67605634  75.32394366],1
p4,1,7.5e-05,15.675571,[58 55] ; [271 109],[75.40973631 37.59026369] ; [253.59026369 126.40973631],1
p10,1,0.000344,12.815296,[83 29] ; [335  46],[94.96146045 17.03853955] ; [323.03853955  57.96146045],1
s7,1,0.001091,10.665847,[43 65] ; [211 155],[57.87341772 50.12658228] ; [196.12658228 169.87341772],0
v3,1,0.001848,9.694367,[33 73] ; [175 188],[47.01066098 58.98933902] ; [160.98933902 202.01066098],0
p5,1,0.001947,9.598378,[  4 109] ; [ 54 325],[13.32113821 99.67886179] ; [ 44.67886179 334.32113821],0
a8,1,0.002917,8.858378,[ 5 98] ; [ 55 281],[14.07744875 88.92255125] ; [ 45.92255125 290.07744875],0
s8,1,0.004061,8.256415,[46 69] ; [209 169],[59.48275862 55.51724138] ; [195.51724138 182.48275862],0
s3,1,0.004202,8.194191,[54 59] ; [237 140],[67.10816327 45.89183673] ; [223.89183673 153.10816327],0
s2,1,0.004944,7.899945,[52 63] ; [227 151],[65.0811359 49.9188641] ; [213.9188641 164.0811359],0
p3,1,0.005047,7.862646,[49 65] ; [220 160],[62.07692308 51.92307692] ; [206.92307692 173.07692308],0
p9,1,0.006542,7.394667,[90 22] ; [340  38],[98.28571429 13.71428571] ; [331.71428571  46.28571429],0
a3,1,0.007287,7.200907,[83 32] ; [317  63],[92.92929293 22.07070707] ; [307.07070707  72.92929293],0
a2,1,0.009933,6.646921,[30 85] ; [150 232],[41.6498994 73.3501006] ; [138.3501006 243.6498994],0
a5,1,0.010197,6.600125,[89 26] ; [333  49],[97.64587525 17.35412475] ; [324.35412475  57.64587525],0
