Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7.2e-05,15.75957,[14 19] ; [48 10],[22.48351648 10.51648352] ; [39.51648352 18.48351648],1
s7,1,0.000294,13.109536,[ 2 30] ; [24 32],[ 9.45454545 22.54545455] ; [16.54545455 39.45454545],1
s6,1,0.014704,5.951625,[ 9 25] ; [30 27],[14.57142857 19.42857143] ; [24.42857143 32.57142857],0
n6,1,0.022076,5.239755,[17 17] ; [42 15],[22.04395604 11.95604396] ; [36.95604396 20.04395604],0
n1,1,0.022688,5.192258,[ 1 12] ; [ 9 11],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
s8,1,0.02705,4.887597,[ 5 29] ; [21 37],[ 9.60869565 24.39130435] ; [16.39130435 41.60869565],0
b3,1,0.051343,3.797043,[ 3 14] ; [20 25],[ 6.30645161 10.69354839] ; [16.69354839 28.30645161],0
b2,1,0.051343,3.797043,[ 3 14] ; [20 25],[ 6.30645161 10.69354839] ; [16.69354839 28.30645161],0
p10,1,0.071656,3.244673,[14 20] ; [34 22],[18.13333333 15.86666667] ; [29.86666667 26.13333333],0
p8,1,0.080021,3.064468,[ 9 25] ; [26 32],[12.93478261 21.06521739] ; [22.06521739 35.93478261],0
p3,1,0.08395,2.98672,[ 7 27] ; [22 36],[10.7173913 23.2826087] ; [18.2826087 39.7173913],0
p6,1,0.100984,2.689933,[ 3 30] ; [13 44],[ 5.86666667 27.13333333] ; [10.13333333 46.86666667],0
b5,1,0.105925,2.61399,[20 14] ; [24 34],[16.26086957 17.73913043] ; [27.73913043 30.26086957],0
p1,1,0.118397,2.438404,[ 2 32] ; [10 48],[ 4.43478261 29.56521739] ; [ 7.56521739 50.43478261],0
d4,1,0.138213,2.19774,[16 17] ; [19 39],[12.69230769 20.30769231] ; [22.30769231 35.69230769],0
p5,1,0.188971,1.725619,[ 1 33] ; [ 6 51],[ 2.61538462 31.38461538] ; [ 4.38461538 52.61538462],0
u3,1,0.191123,1.70894,[ 9 10] ; [10 24],[ 6.81132075 12.18867925] ; [12.18867925 21.81132075],0
s4,1,0.191127,1.708906,[ 3 31] ; [11 47],[ 5.17391304 28.82608696] ; [ 8.82608696 49.17391304],0
n2,1,0.20082,1.636401,[10  3] ; [11  9],[8.27272727 4.72727273] ; [12.72727273  7.27272727],0
v2,1,0.223716,1.480374,[ 6 26] ; [16 36],[ 8.38095238 23.61904762] ; [13.61904762 38.38095238],0
r2,1,0.230152,1.439922,[23 11] ; [45 12],[25.40659341  8.59340659] ; [42.59340659 14.40659341],0
p4,1,0.234316,1.414471,[ 9 24] ; [23 35],[11.6043956 21.3956044] ; [20.3956044 37.6043956],0
s1,1,0.269584,1.218863,[ 1 33] ; [ 5 51],[ 2.26666667 31.73333333] ; [ 3.73333333 52.26666667],0
n3,1,0.284294,1.14645,[9 4] ; [9 9],[7.5483871 5.4516129] ; [10.4516129  7.5483871],0
d3,1,0.29118,1.114159,[ 9 25] ; [10 48],[ 7.02173913 26.97826087] ; [11.97826087 46.02173913],0
a6,1,0.291569,1.112363,[12 22] ; [27 31],[14.41304348 19.58695652] ; [24.58695652 33.41304348],0
v3,1,0.308146,1.038605,[ 5 29] ; [13 42],[ 6.87640449 27.12359551] ; [11.12359551 43.87640449],0
p9,1,0.385386,0.75345,[20 14] ; [38 18],[21.91111111 12.08888889] ; [36.08888889 19.91111111],0
s5,1,0.406909,0.687813,[ 5 29] ; [12 43],[ 6.49438202 27.50561798] ; [10.50561798 44.49438202],0
a5,1,0.407596,0.685801,[10 24] ; [22 36],[11.82608696 22.17391304] ; [20.17391304 37.82608696],0
p7,1,0.439024,0.598833,[17 16] ; [25 33],[15.23076923 17.76923077] ; [26.76923077 31.23076923],0
d2,1,0.454326,0.559838,[ 7 27] ; [16 42],[ 8.5 25.5] ; [14.5 43.5],0
a1,1,0.493585,0.468701,[ 3 31] ; [ 3 55],[ 2.2173913 31.7826087] ; [ 3.7826087 54.2173913],0
s3,1,0.588056,0.29339,[15 19] ; [28 28],[16.24444444 17.75555556] ; [26.75555556 29.24444444],0
a8,1,0.599185,0.276228,[ 4 27] ; [ 5 49],[ 3.28235294 27.71764706] ; [ 5.71764706 48.28235294],0
u1,1,0.699215,0.14929,[ 1 33] ; [ 1 57],[ 0.73913043 33.26086957] ; [ 1.26086957 56.73913043],0
a2,1,0.699215,0.14929,[ 1 33] ; [ 1 57],[ 0.73913043 33.26086957] ; [ 1.26086957 56.73913043],0
a3,1,0.705677,0.142633,[15 18] ; [24 34],[14.14285714 18.85714286] ; [24.85714286 33.14285714],0
r1,1,0.749274,0.102142,[17 17] ; [31 27],[17.73913043 16.26086957] ; [30.26086957 27.73913043],0
r4,1,0.758177,0.094787,[20 14] ; [36 22],[20.69565217 13.30434783] ; [35.30434783 22.69565217],0
b1,1,0.785312,0.074204,[16 18] ; [29 29],[16.63043478 17.36956522] ; [28.36956522 29.63043478],0
p11,1,0.800327,0.063971,[22 12] ; [36 22],[21.43478261 12.56521739] ; [36.56521739 21.43478261],0
r3,1,0.803045,0.062204,[26  8] ; [43 15],[25.5  8.5] ; [43.5 14.5],0
a4,1,0.817281,0.053381,[ 6 28] ; [ 9 48],[ 5.6043956 28.3956044] ; [ 9.3956044 47.6043956],0
u2,1,0.819646,0.051984,[ 9 10] ; [15 19],[ 8.60377358 10.39622642] ; [15.39622642 18.60377358],0
s2,1,0.828448,0.046956,[10 24] ; [18 39],[10.46153846 23.53846154] ; [17.53846154 39.46153846],0
b4,1,0.835707,0.04301,[18 16] ; [32 26],[18.47826087 15.52173913] ; [31.52173913 26.47826087],0
v4,1,0.876702,0.024072,[25  8] ; [44 13],[25.3  7.7] ; [43.7 13.3],0
v1,1,0.881876,0.022079,[12 21] ; [22 36],[12.32967033 20.67032967] ; [21.67032967 36.32967033],0
p2,1,0.892853,0.018143,[21 13] ; [35 23],[20.69565217 13.30434783] ; [35.30434783 22.69565217],0
d1,1,0.894837,0.017473,[ 1 33] ; [ 2 56],[ 1.10869565 32.89130435] ; [ 1.89130435 56.10869565],0
