Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,24.40872,[45 31] ; [85  8],[58.46153846 17.53846154] ; [71.53846154 21.46153846],1
r3,1,4e-06,21.364434,[47 29] ; [85  8],[59.36094675 16.63905325] ; [72.63905325 20.36094675],1
p7,1,4.1e-05,16.80257,[18 58] ; [51 42],[31.0295858 44.9704142] ; [37.9704142 55.0295858],1
r4,1,0.000215,13.692061,[38 39] ; [72 22],[49.53216374 27.46783626] ; [60.46783626 33.53216374],1
p9,1,0.00164,9.91413,[12 62] ; [35 56],[21.07878788 52.92121212] ; [25.92121212 65.07878788],0
p8,1,0.002037,9.515446,[10 66] ; [31 61],[18.54761905 57.45238095] ; [22.45238095 69.54761905],0
p11,1,0.002471,9.162161,[24 53] ; [51 43],[33.77192982 43.22807018] ; [41.22807018 52.77192982],0
s1,1,0.002783,8.944551,[11 65] ; [ 2 91],[ 5.84615385 70.15384615] ; [ 7.15384615 85.84615385],0
n3,1,0.007412,7.17037,[17 19] ; [28  8],[22.5 13.5] ; [22.5 13.5],0
p6,1,0.00871,6.881402,[ 7 68] ; [23 69],[13.47305389 61.52694611] ; [16.52694611 75.47305389],0
b5,1,0.008936,6.835508,[39 38] ; [66 28],[47.28070175 29.71929825] ; [57.71929825 36.28070175],0
r1,1,0.013535,6.097796,[39 37] ; [65 28],[46.76923077 29.23076923] ; [57.23076923 35.76923077],0
p4,1,0.013569,6.093433,[17 60] ; [37 56],[24.45882353 52.54117647] ; [29.54117647 63.45882353],0
n2,1,0.033021,4.544705,[19 19] ; [26  9],[23.42465753 14.57534247] ; [21.57534247 13.42465753],0
a1,1,0.068059,3.329213,[ 9 68] ; [ 4 90],[ 5.85380117 71.14619883] ; [ 7.14619883 86.85380117],0
b3,1,0.071377,3.251075,[19 29] ; [13 43],[14.76923077 33.23076923] ; [17.23076923 38.76923077],0
b2,1,0.071377,3.251075,[19 29] ; [13 43],[14.76923077 33.23076923] ; [17.23076923 38.76923077],0
v1,1,0.079728,3.070446,[19 57] ; [35 58],[24.28402367 51.71597633] ; [29.71597633 63.28402367],0
a7,1,0.083087,3.003449,[39 37] ; [60 33],[44.52071006 31.47928994] ; [54.47928994 38.52071006],0
d3,1,0.089208,2.888607,[37 39] ; [58 36],[42.47058824 33.52941176] ; [52.52941176 41.47058824],0
p3,1,0.099972,2.705984,[15 61] ; [29 65],[19.67058824 56.32941176] ; [24.32941176 69.67058824],0
v2,1,0.122851,2.380586,[22 52] ; [38 54],[26.74698795 47.25301205] ; [33.25301205 58.74698795],0
