Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,69.134875,[120   1] ; [44 41],[96.33009709 24.66990291] ; [67.66990291 17.33009709],1
d4,1,0.0,66.941612,[120   1] ; [45 40],[96.91747573 24.08252427] ; [68.08252427 16.91747573],1
d2,1,0.0,62.222242,[91 29] ; [17 68],[63.2195122 56.7804878] ; [44.7804878 40.2195122],1
d3,1,0.0,47.791,[102  19] ; [32 53],[78.70873786 42.29126214] ; [55.29126214 29.70873786],1
u1,1,0.0,27.667739,[36 85] ; [ 1 84],[21.73300971 99.26699029] ; [15.26699029 69.73300971],1
a4,1,1e-06,25.05243,[70 51] ; [19 65],[52.53170732 68.46829268] ; [36.46829268 47.53170732],1
a2,1,3e-06,21.596738,[40 81] ; [ 5 80],[26.43203883 94.56796117] ; [18.56796117 66.43203883],1
a3,1,7.4e-05,15.701185,[94 27] ; [43 41],[80.86341463 40.13658537] ; [56.13658537 27.86341463],1
a5,1,7.4e-05,15.695518,[99 22] ; [48 37],[86.34466019 34.65533981] ; [60.65533981 24.34466019],1
p4,1,0.001735,9.811079,[73 48] ; [32 52],[61.97560976 59.02439024] ; [43.02439024 40.97560976],0
s2,1,0.006791,7.327388,[86 35] ; [43 39],[76.89162562 44.10837438] ; [52.10837438 29.89162562],0
a7,1,0.015213,5.891608,[93 28] ; [52 33],[85.16990291 35.83009709] ; [59.83009709 25.16990291],0
s3,1,0.044956,4.02028,[86 34] ; [47 34],[79.40298507 40.59701493] ; [53.59701493 27.40298507],0
s8,1,0.045528,3.998972,[65 55] ; [34 51],[57.95121951 62.04878049] ; [41.04878049 43.95121951],0
s7,1,0.064647,3.413967,[66 48] ; [37 46],[59.60406091 54.39593909] ; [43.39593909 39.60406091],0
n1,1,0.073327,3.206937,[22 19] ; [ 7 16],[18.578125 22.421875] ; [10.421875 12.578125],0
v2,1,0.085142,2.963898,[67 47] ; [37 43],[61.11340206 52.88659794] ; [42.88659794 37.11340206],0
b5,1,0.114714,2.488051,[88 33] ; [53 32],[82.82038835 38.17961165] ; [58.17961165 26.82038835],0
r3,1,0.125793,2.343664,[115   6] ; [76  9],[112.18932039   8.81067961] ; [78.81067961  6.18932039],0
a8,1,0.136807,2.213516,[  8 100] ; [11 67],[11.03225806 96.96774194] ; [ 7.96774194 70.03225806],0
p6,1,0.143436,2.140702,[25 95] ; [11 74],[21.07317073 98.92682927] ; [14.92682927 70.07317073],0
p12,1,0.158462,1.988845,[ 16 105] ; [ 6 79],[ 12.9223301 108.0776699] ; [ 9.0776699 75.9223301],0
p3,1,0.162754,1.948451,[50 71] ; [27 58],[45.22815534 75.77184466] ; [31.77184466 53.22815534],0
p2,1,0.172883,1.857768,[89 32] ; [55 30],[84.58252427 36.41747573] ; [59.41747573 25.58252427],0
b1,1,0.22195,1.491721,[44 77] ; [24 61],[39.94174757 81.05825243] ; [28.05825243 56.94174757],0
u3,1,0.268469,1.224551,[19  8] ; [24 18],[16.82608696 10.17391304] ; [26.17391304 15.82608696],0
r1,1,0.269561,1.218981,[98 22] ; [64 21],[94.82926829 25.17073171] ; [67.17073171 17.82926829],0
n4,1,0.381691,0.765247,[92 29] ; [60 25],[89.2815534 31.7184466] ; [62.7184466 22.2815534],0
b4,1,0.421407,0.646389,[76 45] ; [58 27],[78.70873786 42.29126214] ; [55.29126214 29.70873786],0
n5,1,0.455725,0.556375,[87 34] ; [57 28],[84.58252427 36.41747573] ; [59.41747573 25.58252427],0
a1,1,0.487735,0.48152,[  5 116] ; [ 2 83],[  4.11165049 116.88834951] ; [ 2.88834951 82.11165049],0
a6,1,0.527118,0.399944,[82 39] ; [54 31],[79.88349515 41.11650485] ; [56.11650485 28.88349515],0
p11,1,0.539993,0.375552,[82 39] ; [61 24],[83.99514563 37.00485437] ; [59.00485437 25.99514563],0
v3,1,0.610884,0.25889,[44 69] ; [29 53],[42.3025641 70.6974359] ; [30.6974359 51.3025641],0
s4,1,0.619523,0.246538,[23 95] ; [19 66],[24.4137931 93.5862069] ; [17.5862069 67.4137931],0
p9,1,0.641127,0.217271,[98 21] ; [67 17],[96.72413793 22.27586207] ; [68.27586207 15.72413793],0
v1,1,0.653864,0.201064,[60 54] ; [41 42],[58.44670051 55.55329949] ; [42.55329949 40.44670051],0
p1,1,0.681254,0.168717,[ 12 109] ; [ 7 78],[ 11.16019417 109.83980583] ; [ 7.83980583 77.16019417],0
u2,1,0.715105,0.133231,[17 10] ; [24 17],[16.27941176 10.72058824] ; [24.72058824 16.27941176],0
s1,1,0.725059,0.123697,[  6 115] ; [ 5 77],[  6.55665025 114.44334975] ; [ 4.44334975 77.55665025],0
n6,1,0.75413,0.098093,[102  19] ; [73 12],[102.79126214  18.20873786] ; [72.20873786 12.79126214],0
r2,1,0.832181,0.044904,[113   8] ; [80  5],[113.36407767   7.63592233] ; [79.63592233  5.36407767],0
n2,1,0.871344,0.026228,[30 11] ; [18  6],[30.27692308 10.72307692] ; [17.72307692  6.27692308],0
b2,1,0.884038,0.021273,[28 49] ; [14 26],[27.64102564 49.35897436] ; [14.35897436 25.64102564],0
b3,1,0.884038,0.021273,[28 49] ; [14 26],[27.64102564 49.35897436] ; [14.35897436 25.64102564],0
v4,1,0.900075,0.015767,[113   8] ; [79  6],[112.77669903   8.22330097] ; [79.22330097  5.77669903],0
p8,1,0.91606,0.011109,[29 91] ; [20 65],[28.68292683 91.31707317] ; [20.31707317 64.68292683],0
s5,1,0.932589,0.007155,[40 75] ; [29 53],[40.27918782 74.72081218] ; [28.72081218 53.27918782],0
p5,1,0.965846,0.001833,[ 10 109] ; [ 7 78],[  9.91666667 109.08333333] ; [ 7.08333333 77.91666667],0
r4,1,0.971609,0.001267,[108  13] ; [76  9],[108.0776699  12.9223301] ; [75.9223301  9.0776699],0
p10,1,0.985039,0.000352,[87 33] ; [61 23],[87.05882353 32.94117647] ; [60.94117647 23.05882353],0
n3,1,0.993064,7.6e-05,[29 12] ; [17  7],[29.01538462 11.98461538] ; [16.98461538  7.01538462],0
