Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,23.494022,[12 20] ; [70 14],[22.62068966  9.37931034] ; [59.37931034 24.62068966],1
a3,1,5.7e-05,16.198566,[11 21] ; [62 21],[20.31304348 11.68695652] ; [52.68695652 30.31304348],1
d3,1,8.5e-05,15.447178,[11 21] ; [62 22],[20.13793103 11.86206897] ; [52.86206897 31.13793103],1
d2,1,0.000226,13.605519,[ 5 27] ; [45 39],[13.79310345 18.20689655] ; [36.20689655 47.79310345],1
a4,1,0.020195,5.394952,[ 6 25] ; [36 48],[11.32173913 19.67826087] ; [30.67826087 53.32173913],0
a2,1,0.030213,4.697125,[ 1 31] ; [16 68],[ 4.68965517 27.31034483] ; [12.31034483 71.68965517],0
a6,1,0.03265,4.564041,[17 15] ; [62 22],[21.79310345 10.20689655] ; [57.20689655 26.79310345],0
b2,1,0.04457,4.03484,[ 3 15] ; [22 29],[ 6.52173913 11.47826087] ; [18.47826087 32.52173913],0
b3,1,0.04457,4.03484,[ 3 15] ; [22 29],[ 6.52173913 11.47826087] ; [18.47826087 32.52173913],0
s8,1,0.060782,3.515925,[ 6 26] ; [31 53],[10.20689655 21.79310345] ; [26.79310345 57.20689655],0
r4,1,0.068843,3.310389,[30  2] ; [67 17],[26.75862069  5.24137931] ; [70.24137931 13.75862069],0
v4,1,0.074624,3.178256,[30  1] ; [71 13],[27.22608696  3.77391304] ; [73.77391304 10.22608696],0
a5,1,0.075116,3.167524,[16 16] ; [57 27],[20.13793103 11.86206897] ; [52.86206897 31.13793103],0
b4,1,0.098233,2.734007,[16 16] ; [56 28],[19.86206897 12.13793103] ; [52.13793103 31.86206897],0
n4,1,0.120153,2.415329,[27  5] ; [59 25],[23.72413793  8.27586207] ; [62.27586207 21.72413793],0
a7,1,0.140051,2.177399,[17 15] ; [57 27],[20.4137931 11.5862069] ; [53.5862069 30.4137931],0
p9,1,0.182303,1.778751,[20 12] ; [63 21],[22.89655172  9.10344828] ; [60.10344828 23.89655172],0
n1,1,0.184963,1.757293,[1 5] ; [12 14],[2.4375 3.5625] ; [10.5625 15.4375],0
s6,1,0.234084,1.415874,[16 15] ; [53 30],[18.76315789 12.23684211] ; [50.23684211 32.76315789],0
p1,1,0.238722,1.388122,[ 4 28] ; [ 5 79],[ 2.48275862 29.51724138] ; [ 6.51724138 77.48275862],0
r2,1,0.254659,1.297561,[28  4] ; [77  5],[29.47368421  2.52631579] ; [75.52631579  6.47368421],0
s7,1,0.266931,1.232452,[ 7 22] ; [29 53],[ 9.40540541 19.59459459] ; [26.59459459 55.40540541],0
u2,1,0.279673,1.168681,[ 8 13] ; [12 10],[ 9.76744186 11.23255814] ; [10.23255814 11.76744186],0
p10,1,0.316826,1.002003,[19 12] ; [59 24],[21.21052632  9.78947368] ; [56.78947368 26.21052632],0
r3,1,0.322452,0.978974,[31  1] ; [77  7],[29.79310345  2.20689655] ; [78.20689655  5.79310345],0
r1,1,0.328251,0.955784,[20 11] ; [62 22],[22.10434783  8.89565217] ; [59.89565217 24.10434783],0
v2,1,0.33945,0.912506,[11 18] ; [40 43],[13.20535714 15.79464286] ; [37.79464286 45.20535714],0
p8,1,0.378263,0.776338,[13 18] ; [43 41],[15.09565217 15.90434783] ; [40.90434783 43.09565217],0
p6,1,0.405185,0.692883,[ 7 25] ; [24 57],[ 8.77876106 23.22123894] ; [22.22123894 58.77876106],0
n5,1,0.431588,0.618546,[24  8] ; [56 27],[22.26086957  9.73913043] ; [57.73913043 25.26086957],0
p3,1,0.448708,0.573913,[16 16] ; [35 48],[14.19130435 17.80869565] ; [36.80869565 46.19130435],0
p2,1,0.483489,0.490984,[27  5] ; [66 18],[25.65517241  6.34482759] ; [67.34482759 16.65517241],0
p7,1,0.484293,0.489181,[22 10] ; [50 31],[20.38938053 11.61061947] ; [51.61061947 29.38938053],0
s1,1,0.51041,0.433226,[ 2 29] ; [ 3 80],[ 1.35964912 29.64035088] ; [ 3.64035088 79.35964912],0
p4,1,0.522273,0.409403,[16 16] ; [36 47],[14.46956522 17.53043478] ; [37.53043478 45.46956522],0
n6,1,0.544984,0.366381,[25  7] ; [61 23],[23.72413793  8.27586207] ; [62.27586207 21.72413793],0
b1,1,0.546688,0.363283,[11 21] ; [34 50],[12.4137931 19.5862069] ; [32.5862069 51.4137931],0
v1,1,0.632923,0.228118,[13 16] ; [33 50],[11.91071429 17.08928571] ; [34.08928571 48.91071429],0
u3,1,0.649689,0.206293,[10 11] ; [12 10],[10.74418605 10.25581395] ; [11.25581395 10.74418605],0
v3,1,0.673055,0.178049,[11 20] ; [26 57],[10.06140351 20.93859649] ; [26.93859649 56.06140351],0
b5,1,0.708863,0.139415,[18 14] ; [44 40],[17.10344828 14.89655172] ; [44.89655172 39.10344828],0
n2,1,0.71249,0.135802,[4 2] ; [20  7],[4.36363636 1.63636364] ; [19.63636364  7.36363636],0
a8,1,0.795199,0.067374,[ 3 28] ; [ 9 70],[ 3.38181818 27.61818182] ; [ 8.61818182 70.38181818],0
p12,1,0.837104,0.042271,[ 1 31] ; [ 2 80],[ 0.84210526 31.15789474] ; [ 2.15789474 79.84210526],0
s4,1,0.929911,0.007736,[ 4 28] ; [10 74],[ 3.86206897 28.13793103] ; [10.13793103 73.86206897],0
p11,1,0.936129,0.006422,[23  9] ; [61 23],[23.17241379  8.82758621] ; [60.82758621 23.17241379],0
p5,1,0.980172,0.000618,[ 3 28] ; [ 8 76],[ 2.96521739 28.03478261] ; [ 8.03478261 75.96521739],0
