Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,88.773526,[ 57 198] ; [218 141],[114.21009772 140.78990228] ; [160.78990228 198.21009772],1
v1,1,0.0,42.51637,[109 148] ; [248 113],[148.46116505 108.53883495] ; [208.53883495 152.46116505],1
p10,1,0.000703,11.480966,[202  58] ; [319  44],[217.4317817  42.5682183] ; [303.5682183  59.4317817],1
p9,1,0.003004,8.805329,[210  49] ; [323  38],[222.65645161  36.34354839] ; [310.34354839  50.65645161],0
p3,1,0.00352,8.516269,[126 135] ; [218 145],[143.88461538 117.11538462] ; [200.11538462 162.88461538],0
d1,1,0.004218,8.187424,[147 115] ; [247 120],[164.11446741  97.88553259] ; [229.88553259 137.11446741],0
d2,1,0.004577,8.039608,[119 141] ; [209 156],[136.448 123.552] ; [191.552 173.448],0
a5,1,0.00508,7.850574,[191  71] ; [301  65],[205.2611465  56.7388535] ; [286.7388535  79.2611465],0
d4,1,0.008237,6.981115,[206  54] ; [318  47],[217.984  42.016] ; [306.016  58.984],0
s1,1,0.010461,6.55471,[ 15 243] ; [  7 353],[  9.18446602 248.81553398] ; [ 12.81553398 347.18446602],0
p7,1,0.012217,6.279164,[159 101] ; [252 104],[173.47402597  86.52597403] ; [237.52597403 118.47402597],0
s7,1,0.017518,5.643701,[121 127] ; [204 144],[135.23489933 112.76510067] ; [189.76510067 158.23489933],0
s8,1,0.018313,5.565961,[112 149] ; [190 172],[126.52006421 134.47993579] ; [175.47993579 186.52006421],0
a3,1,0.033396,4.525358,[182  78] ; [283  82],[193.44  66.56] ; [271.56  93.44],0
d3,1,0.039949,4.220042,[171  90] ; [267  98],[182.61661342  78.38338658] ; [255.38338658 109.61661342],0
s4,1,0.053861,3.717002,[ 46 210] ; [ 45 318],[ 37.63489499 218.36510501] ; [ 53.36510501 309.63489499],0
d5,1,0.055017,3.681582,[208  52] ; [314  52],[216.80511182  43.19488818] ; [305.19488818  60.80511182],0
b1,1,0.055953,3.653461,[114 148] ; [132 235],[102.46740859 159.53259141] ; [143.53259141 223.46740859],0
a1,1,0.087958,2.911347,[  8 254] ; [ 22 345],[ 12.49602544 249.50397456] ; [ 17.50397456 349.49602544],0
r1,1,0.096297,2.765833,[220  41] ; [326  41],[226.92038217  34.07961783] ; [319.07961783  47.92038217],0
n6,1,0.098403,2.731241,[230  32] ; [335  30],[236.09250399  25.90749601] ; [328.90749601  36.09250399],0
p12,1,0.102866,2.66053,[ 18 242] ; [ 39 324],[ 23.78812199 236.21187801] ; [ 33.21187801 329.78812199],0
p11,1,0.120299,2.413429,[208  54] ; [309  58],[215.3481717  46.6518283] ; [301.6518283  65.3481717],0
a6,1,0.127366,2.324316,[170  91] ; [258 106],[178.7328  82.2672] ; [249.2672 114.7328],0
u1,1,0.131816,2.270984,[ 47 215] ; [ 84 283],[ 54.56597774 207.43402226] ; [ 76.43402226 290.56597774],0
p8,1,0.149677,2.075541,[136 124] ; [207 149],[144.77272727 115.22727273] ; [198.22727273 157.77272727],0
p4,1,0.153506,2.037059,[162  99] ; [244 117],[170.36334405  90.63665595] ; [235.63665595 125.36334405],0
a7,1,0.186182,1.747577,[185  77] ; [275  90],[192.2169059  69.7830941] ; [267.7830941  97.2169059],0
n3,1,0.200303,1.640166,[38 14] ; [45  9],[40.71698113 11.28301887] ; [42.28301887 11.71698113],0
u4,1,0.233385,1.420112,[  4 258] ; [ 11 356],[  6.24801272 255.75198728] ; [  8.75198728 358.24801272],0
s5,1,0.251721,1.313726,[ 85 167] ; [134 216],[ 91.6744186 160.3255814] ; [127.3255814 222.6744186],0
s2,1,0.333086,0.936862,[132 128] ; [198 164],[137.94212219 122.05787781] ; [192.05787781 169.94212219],0
p6,1,0.340072,0.910159,[103 159] ; [154 203],[108.77867528 153.22132472] ; [148.22132472 208.77867528],0
n2,1,0.344716,0.892814,[40 16] ; [42 11],[42.12844037 13.87155963] ; [39.87155963 13.12844037],0
a2,1,0.345132,0.891274,[ 64 198] ; [102 265],[ 69.14467409 192.85532591] ; [ 96.85532591 270.14467409],0
r3,1,0.363732,0.824967,[254   7] ; [361   6],[255.59713376   5.40286624] ; [359.40286624   7.59713376],0
p2,1,0.368328,0.809298,[220  42] ; [315  49],[223.91373802  38.08626198] ; [311.08626198  52.91373802],0
v4,1,0.396596,0.718623,[256   5] ; [356  11],[254.35031847   6.64968153] ; [357.64968153   9.35031847],0
n5,1,0.433379,0.61375,[221  41] ; [316  49],[224.3923445  37.6076555] ; [312.6076555  52.3923445],0
a8,1,0.459623,0.546812,[ 38 202] ; [ 59 265],[ 41.27659574 198.72340426] ; [ 55.72340426 268.27659574],0
b5,1,0.604534,0.268211,[161 101] ; [218 149],[157.86645469 104.13354531] ; [221.13354531 145.86645469],0
s3,1,0.605279,0.267108,[154 105] ; [206 153],[150.87378641 108.12621359] ; [209.12621359 149.87378641],0
b4,1,0.618912,0.247399,[149 113] ; [216 151],[152.03497615 109.96502385] ; [212.96502385 154.03497615],0
b2,1,0.644529,0.212868,[ 62 102] ; [ 97 145],[64.22660099 99.77339901] ; [ 94.77339901 147.22660099],0
b3,1,0.644529,0.212868,[ 62 102] ; [ 97 145],[64.22660099 99.77339901] ; [ 94.77339901 147.22660099],0
n1,1,0.685918,0.16354,[26 28] ; [23 29],[24.96226415 29.03773585] ; [24.03773585 27.96226415],0
a4,1,0.689103,0.160058,[124 136] ; [180 185],[126.464 133.536] ; [177.536 187.464],0
p5,1,0.693711,0.155098,[ 37 222] ; [ 48 316],[ 35.33707865 223.66292135] ; [ 49.66292135 314.33707865],0
u3,1,0.703409,0.144949,[49 31] ; [49 35],[47.80487805 32.19512195] ; [50.19512195 33.80487805],0
p1,1,0.807314,0.059483,[ 25 235] ; [ 33 332],[ 24.128 235.872] ; [ 33.872 331.128],0
u2,1,0.834411,0.043701,[44 36] ; [47 36],[44.66257669 35.33742331] ; [46.33742331 36.66257669],0
s6,1,0.882194,0.02196,[179  75] ; [251 108],[178.17292007  75.82707993] ; [251.82707993 107.17292007],0
r2,1,0.996225,2.2e-05,[255   5] ; [358   7],[255.008   4.992] ; [357.992   7.008],0
