Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,107.480304,[194  88] ; [ 29 134],[141.31685393 140.68314607] ; [81.68314607 81.31685393],1
s3,1,0.0,91.602872,[199  79] ; [ 40 123],[150.66213152 127.33786848] ; [88.33786848 74.66213152],1
s7,1,0.0,61.481768,[174  98] ; [ 38 117],[135.04449649 136.95550351] ; [76.95550351 78.04449649],1
s8,1,0.0,56.904416,[169 111] ; [ 39 127],[130.58295964 149.41704036] ; [77.41704036 88.58295964],1
s5,1,0.0,31.660622,[115 159] ; [ 26 137],[ 88.40732265 185.59267735] ; [ 52.59267735 110.40732265],1
p4,1,1e-06,24.150976,[198  83] ; [76 86],[173.8013544 107.1986456] ; [100.1986456  61.8013544],1
r4,1,5.5e-05,16.251281,[266  17] ; [136  30],[253.37639198  29.62360802] ; [148.62360802  17.37639198],1
p9,1,5.9e-05,16.122145,[250  29] ; [121  40],[235.24772727  43.75227273] ; [135.75227273  25.24772727],1
p12,1,0.000445,12.331338,[ 37 245] ; [  5 159],[ 26.55605381 255.44394619] ; [ 15.44394619 148.55605381],1
v1,1,0.000628,11.692319,[171 100] ; [76 88],[153.87816092 117.12183908] ; [93.12183908 70.87816092],1
p3,1,0.001316,10.319409,[159 122] ; [66 96],[142.72009029 138.27990971] ; [82.27990971 79.72009029],0
p6,1,0.001658,9.894184,[114 166] ; [ 41 118],[ 98.86104784 181.13895216] ; [ 56.13895216 102.86104784],0
v4,1,0.003758,8.397357,[275   8] ; [150  15],[268.47098214  14.52901786] ; [156.52901786   8.47098214],0
p10,1,0.003876,8.341146,[237  44] ; [119  44],[225.30630631  55.69369369] ; [130.69369369  32.30630631],0
u1,1,0.004001,8.283358,[ 86 197] ; [ 30 136],[ 73.11358575 209.88641425] ; [ 42.88641425 123.11358575],0
p2,1,0.004637,8.01572,[242  39] ; [123  40],[231.00225225  49.99774775] ; [133.99774775  29.00225225],0
n5,1,0.004651,8.010345,[228  54] ; [114  51],[215.75838926  66.24161074] ; [126.24161074  38.75838926],0
b5,1,0.011973,6.31492,[184  99] ; [88 78],[171.43875278 111.56124722] ; [100.56124722  65.43875278],0
a5,1,0.013424,6.112314,[244  39] ; [128  38],[234.46770601  48.53229399] ; [137.53229399  28.46770601],0
r3,1,0.014683,5.954103,[275   8] ; [152  13],[269.734375  13.265625] ; [157.265625   7.734375],0
r1,1,0.024717,5.0436,[245  37] ; [130  35],[236.57718121  45.42281879] ; [138.42281879  26.57718121],0
a8,1,0.033895,4.499975,[ 43 206] ; [ 14 133],[ 35.84090909 213.15909091] ; [ 21.15909091 125.84090909],0
p5,1,0.033912,4.499138,[ 39 240] ; [ 12 152],[ 32.11963883 246.88036117] ; [ 18.88036117 145.11963883],0
u4,1,0.038936,4.263651,[ 14 269] ; [  2 164],[ 10.08463252 272.91536748] ; [  5.91536748 160.08463252],0
a2,1,0.039469,4.240552,[109 174] ; [ 48 118],[ 98.95545657 184.04454343] ; [ 58.04454343 107.95545657],0
a1,1,0.053529,3.727334,[ 21 262] ; [  5 161],[ 16.38752784 266.61247216] ; [  9.61247216 156.38752784],0
n4,1,0.061153,3.505829,[236  46] ; [127  39],[228.49553571  53.50446429] ; [134.50446429  31.49553571],0
n1,1,0.071065,3.258238,[26 31] ; [13 33],[21.58252427 35.41747573] ; [17.41747573 28.58252427],0
u2,1,0.09837,2.73178,[39 16] ; [20 17],[35.27173913 19.72826087] ; [23.72826087 13.27173913],0
n6,1,0.103213,2.655176,[242  38] ; [133  32],[235.95505618  44.04494382] ; [139.04494382  25.95505618],0
v3,1,0.106231,2.609412,[127 140] ; [62 95],[119.01650943 147.98349057] ; [69.98349057 87.01650943],0
p7,1,0.112069,2.524805,[176  95] ; [94 70],[168.20689655 102.79310345] ; [101.79310345  62.20689655],0
v2,1,0.121922,2.392459,[179  93] ; [94 67],[171.49191686 100.50808314] ; [101.50808314  59.49191686],0
d4,1,0.128723,2.307842,[278   2] ; [160   4],[276.21621622   3.78378378] ; [161.78378378   2.21621622],0
