Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,119.064034,[281  40] ; [53 86],[233.07391304  87.92608696] ; [100.92608696  38.07391304],1
n6,1,0.0,43.070668,[287  33] ; [89 50],[262.13507625  57.86492375] ; [113.86492375  25.13507625],1
p10,1,0.0,26.880367,[261  55] ; [82 55],[239.26710817  76.73289183] ; [103.73289183  33.26710817],1
p9,1,4e-06,21.450073,[268  46] ; [90 46],[249.80444444  64.19555556] ; [108.19555556  27.80444444],1
a8,1,6.5e-05,15.963223,[ 47 244] ; [  3 124],[ 34.80861244 256.19138756] ; [ 15.19138756 111.80861244],1
v1,1,7.8e-05,15.595452,[167 148] ; [45 92],[147.74336283 167.25663717] ; [64.25663717 72.74336283],1
p4,1,0.000177,14.057005,[189 130] ; [55 82],[170.69298246 148.30701754] ; [73.30701754 63.69298246],1
p11,1,0.000291,13.128818,[264  57] ; [93 46],[249.12391304  71.87608696] ; [107.87608696  31.12391304],1
s6,1,0.001674,9.876769,[185 128] ; [59 78],[169.71555556 143.28444444] ; [74.28444444 62.71555556],0
p2,1,0.001837,9.705231,[273  47] ; [100  37],[261.18161926  58.81838074] ; [111.81838074  25.18161926],0
a2,1,0.003322,8.621701,[ 78 243] ; [ 17 122],[ 66.29347826 254.70652174] ; [ 28.70652174 110.29347826],0
u1,1,0.00761,7.123066,[ 53 268] ; [ 10 129],[ 43.96304348 277.03695652] ; [ 19.03695652 119.96304348],0
p3,1,0.010191,6.601196,[150 169] ; [47 91],[137.51203501 181.48796499] ; [59.48796499 78.51203501],0
a4,1,0.015994,5.803578,[146 172] ; [47 92],[134.297593 183.702407] ; [58.702407 80.297593],0
p7,1,0.025176,5.01174,[195 116] ; [71 67],[184.24498886 126.75501114] ; [81.75501114 56.24498886],0
p5,1,0.026385,4.930639,[ 31 288] ; [  5 133],[ 25.12910284 293.87089716] ; [ 10.87089716 127.12910284],0
v4,1,0.046437,3.965684,[313   7] ; [130   8],[309.51965066  10.48034934] ; [133.48034934   4.51965066],0
v3,1,0.056346,3.641789,[113 198] ; [35 95],[104.37188209 206.62811791] ; [43.62811791 86.37188209],0
a5,1,0.06617,3.375572,[228  92] ; [87 52],[219.60784314 100.39215686] ; [95.39215686 43.60784314],0
a6,1,0.084099,2.983856,[230  89] ; [89 50],[222.18558952  96.81441048] ; [96.81441048 42.18558952],0
d2,1,0.090916,2.858085,[139 179] ; [49 90],[130.81838074 187.18161926] ; [57.18161926 81.81838074],0
p8,1,0.104672,2.632876,[159 155] ; [58 79],[151.08203991 162.91796009] ; [65.91796009 71.08203991],0
n1,1,0.116663,2.461557,[25 36] ; [10 29],[21.35 39.65] ; [13.65 25.35],0
p6,1,0.12217,2.389274,[ 98 217] ; [ 32 102],[ 91.20267261 223.79732739] ; [38.79732739 95.20267261],0
