Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.1e-05,17.362434,[2 2] ; [91  3],[3.79591837 0.20408163] ; [89.20408163  4.79591837],1
r2,1,0.001934,9.611227,[2 2] ; [87  6],[3.67010309 0.32989691] ; [85.32989691  7.67010309],0
p3,1,0.008148,7.000622,[1 3] ; [75 18],[3.13402062 0.86597938] ; [72.86597938 20.13402062],0
a7,1,0.04921,3.868179,[1 3] ; [67 27],[2.7755102 1.2244898] ; [65.2244898 28.7755102],0
d3,1,0.067996,3.33074,[1 3] ; [64 29],[2.68041237 1.31958763] ; [62.31958763 30.68041237],0
n6,1,0.110646,2.544965,[3 1] ; [88  5],[3.75257732 0.24742268] ; [87.24742268  5.75257732],0
a6,1,0.133865,2.247102,[1 3] ; [58 35],[2.43298969 1.56701031] ; [56.56701031 36.43298969],0
d1,1,0.141908,2.157147,[1 3] ; [58 36],[2.40816327 1.59183673] ; [56.59183673 37.40816327],0
p8,1,0.155043,2.021921,[2 2] ; [75 19],[3.14285714 0.85714286] ; [73.85714286 20.14285714],0
s2,1,0.169789,1.884804,[1 3] ; [56 38],[2.32653061 1.67346939] ; [54.67346939 39.32653061],0
v3,1,0.173364,1.853615,[1 3] ; [54 37],[2.31578947 1.68421053] ; [52.68421053 38.31578947],0
b5,1,0.233365,1.420233,[3 1] ; [42 52],[1.83673469 2.16326531] ; [43.16326531 50.83673469],0
s7,1,0.375311,0.786004,[2 2] ; [63 26],[2.79569892 1.20430108] ; [62.20430108 26.79569892],0
p4,1,0.385078,0.754429,[3 1] ; [82 10],[3.54166667 0.45833333] ; [81.45833333 10.54166667],0
v1,1,0.41804,0.655819,[2 2] ; [63 28],[2.73684211 1.26315789] ; [62.26315789 28.73684211],0
n5,1,0.426845,0.631391,[3 1] ; [83 11],[3.51020408 0.48979592] ; [82.48979592 11.51020408],0
s5,1,0.469456,0.523256,[2 2] ; [58 28],[2.66666667 1.33333333] ; [57.33333333 28.66666667],0
b4,1,0.485802,0.485811,[3 1] ; [54 40],[2.32653061 1.67346939] ; [54.67346939 39.32653061],0
a4,1,0.511082,0.431851,[1 3] ; [39 55],[1.63265306 2.36734694] ; [38.36734694 55.63265306],0
p11,1,0.531797,0.390957,[3 1] ; [81 13],[3.42857143 0.57142857] ; [80.57142857 13.42857143],0
b1,1,0.537044,0.381046,[1 3] ; [38 56],[1.59183673 2.40816327] ; [37.40816327 56.59183673],0
b2,1,0.538596,0.378147,[2 1] ; [33 35],[1.47887324 1.52112676] ; [33.52112676 34.47887324],0
b3,1,0.538596,0.378147,[2 1] ; [33 35],[1.47887324 1.52112676] ; [33.52112676 34.47887324],0
s6,1,0.569598,0.323356,[3 1] ; [76 13],[3.39784946 0.60215054] ; [75.60215054 13.39784946],0
s3,1,0.605983,0.266066,[2 2] ; [59 35],[2.48979592 1.51020408] ; [58.51020408 35.48979592],0
a2,1,0.631785,0.229648,[1 3] ; [15 79],[0.65306122 3.34693878] ; [15.34693878 78.65306122],0
s8,1,0.650588,0.20516,[2 2] ; [57 36],[2.43298969 1.56701031] ; [56.56701031 36.43298969],0
a8,1,0.656074,0.198328,[1 3] ; [14 71],[0.6741573 3.3258427] ; [14.3258427 70.6741573],0
v2,1,0.743854,0.106768,[2 2] ; [53 38],[2.31578947 1.68421053] ; [52.68421053 38.31578947],0
r1,1,0.771891,0.084043,[3 1] ; [76 18],[3.2244898 0.7755102] ; [75.7755102 18.2244898],0
d5,1,0.868027,0.027611,[3 1] ; [73 20],[3.13402062 0.86597938] ; [72.86597938 20.13402062],0
p6,1,0.868558,0.027387,[2 1] ; [57 35],[1.86315789 1.13684211] ; [57.13684211 34.86315789],0
p12,1,0.933697,0.006921,[1 3] ; [25 68],[1.07216495 2.92783505] ; [24.92783505 68.07216495],0
a3,1,0.941207,0.005439,[3 1] ; [72 22],[3.06122449 0.93877551] ; [71.93877551 22.06122449],0
a5,1,0.980932,0.000571,[3 1] ; [70 24],[2.97959184 1.02040816] ; [70.02040816 23.97959184],0
