Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.842559,[ 70 101] ; [366 105],[116.13084112  54.86915888] ; [319.86915888 151.13084112],1
d3,1,0.0,70.014044,[74 97] ; [367 104],[117.46261682  53.53738318] ; [323.53738318 147.46261682],1
a2,1,1e-06,24.532726,[ 16 155] ; [132 340],[ 39.3592535 131.6407465] ; [108.6407465 363.3592535],1
u1,1,2e-06,22.17187,[  9 162] ; [ 99 373],[ 28.72161742 142.27838258] ; [ 79.27838258 392.72161742],1
r4,1,6e-06,20.640204,[138  33] ; [439  33],[153.44790047  17.55209953] ; [423.55209953  48.44790047],1
u3,1,0.000108,14.984743,[15 34] ; [83 49],[26.53038674 22.46961326] ; [71.46961326 60.53038674],1
d5,1,0.000147,14.406525,[122  48] ; [401  71],[138.48909657  31.51090343] ; [384.51090343  87.48909657],1
r1,1,0.000211,13.726659,[122  49] ; [394  73],[138.30094044  32.69905956] ; [377.69905956  89.30094044],1
r3,1,0.000268,13.278779,[156  15] ; [458  11],[164.053125   6.946875] ; [449.946875  19.053125],1
d1,1,0.000746,11.370117,[80 91] ; [291 181],[98.66407465 72.33592535] ; [272.33592535 199.66407465],1
r2,1,0.001172,10.533915,[149  19] ; [446  20],[157.66561514  10.33438486] ; [437.33438486  28.66561514],0
d4,1,0.00511,7.84003,[127  42] ; [400  72],[138.94383775  30.05616225] ; [388.05616225  83.94383775],0
b1,1,0.010333,6.576521,[78 93] ; [163 309],[ 64.09175739 106.90824261] ; [176.90824261 295.09175739],0
v4,1,0.014726,5.948994,[156  13] ; [453  15],[161.57142857   7.42857143] ; [447.42857143  20.57142857],0
b5,1,0.014777,5.94288,[89 82] ; [296 176],[102.38724728  68.61275272] ; [282.61275272 189.38724728],0
p4,1,0.025602,4.982716,[94 76] ; [306 165],[106.08424337  63.91575663] ; [293.91575663 177.08424337],0
a5,1,0.04144,4.15795,[116  55] ; [358 114],[126.05598756  44.94401244] ; [347.94401244 124.05598756],0
v2,1,0.068302,3.323355,[88 78] ; [277 176],[97.88368336 68.11631664] ; [267.11631664 185.88368336],0
p8,1,0.071179,3.255624,[84 85] ; [268 196],[93.9778831 75.0221169] ; [258.0221169 205.9778831],0
p10,1,0.095978,2.771144,[133  36] ; [393  73],[139.99055118  29.00944882] ; [386.00944882  79.99055118],0
n5,1,0.100564,2.696577,[135  35] ; [341 126],[127.03296703  42.96703297] ; [348.96703297 118.03296703],0
b3,1,0.11867,2.434793,[52 61] ; [105 175],[45.14249364 67.85750636] ; [111.85750636 168.14249364],0
