Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.056807,3.628234,[7 8] ; [40 15],[10.07142857  4.92857143] ; [36.92857143 18.07142857],0
a6,1,0.064051,3.429253,[7 9] ; [38 17],[10.14084507  5.85915493] ; [34.85915493 20.14084507],0
s8,1,0.081145,3.041819,[7 9] ; [12 43],[ 4.28169014 11.71830986] ; [14.71830986 40.28169014],0
n1,1,0.111219,2.536813,[3 2] ; [ 3 11],[1.57894737 3.42105263] ; [4.42105263 9.57894737],0
s7,1,0.117819,2.44608,[8 8] ; [15 37],[ 5.41176471 10.58823529] ; [17.58823529 34.41176471],0
s3,1,0.130881,2.282022,[9 7] ; [19 35],[6.4 9.6] ; [21.6 32.4],0
p10,1,0.158156,1.991765,[7 9] ; [14 41],[ 4.73239437 11.26760563] ; [16.26760563 38.73239437],0
d2,1,0.166889,1.91067,[9 6] ; [22 33],[6.64285714 8.35714286] ; [24.35714286 30.64285714],0
a4,1,0.209686,1.573595,[7 9] ; [15 40],[ 4.95774648 11.04225352] ; [17.04225352 37.95774648],0
r1,1,0.222944,1.485319,[14  2] ; [40 15],[12.16901408  3.83098592] ; [41.83098592 13.16901408],0
s2,1,0.225578,1.468531,[8 8] ; [18 36],[ 5.94285714 10.05714286] ; [20.05714286 33.94285714],0
s6,1,0.230019,1.440747,[10  6] ; [25 30],[7.88732394 8.11267606] ; [27.11267606 27.88732394],0
d5,1,0.275022,1.191524,[14  2] ; [41 14],[12.3943662  3.6056338] ; [42.6056338 12.3943662],0
u3,1,0.326109,0.964286,[2 5] ; [10 10],[3.11111111 3.88888889] ; [ 8.88888889 11.11111111],0
p1,1,0.332324,0.939821,[ 2 14] ; [ 3 52],[ 1.12676056 14.87323944] ; [ 3.87323944 51.12676056],0
p3,1,0.37297,0.793747,[ 4 12] ; [20 34],[ 5.48571429 10.51428571] ; [18.51428571 35.48571429],0
b5,1,0.397306,0.716465,[8 8] ; [34 21],[9.46478873 6.53521127] ; [32.53521127 22.46478873],0
u1,1,0.40671,0.688398,[ 3 13] ; [ 6 49],[ 2.02816901 13.97183099] ; [ 6.97183099 48.02816901],0
d1,1,0.413265,0.669389,[10  6] ; [28 27],[8.56338028 7.43661972] ; [29.43661972 25.56338028],0
b3,1,0.420153,0.649888,[ 3 10] ; [11 20],[4.13636364 8.86363636] ; [ 9.86363636 21.13636364],0
b2,1,0.420153,0.649888,[ 3 10] ; [11 20],[4.13636364 8.86363636] ; [ 9.86363636 21.13636364],0
b4,1,0.522048,0.409846,[10  6] ; [39 16],[11.04225352  4.95774648] ; [37.95774648 17.04225352],0
p8,1,0.525718,0.402662,[ 5 11] ; [22 33],[6.08450704 9.91549296] ; [20.91549296 34.08450704],0
n6,1,0.556341,0.346079,[12  4] ; [37 18],[11.04225352  4.95774648] ; [37.95774648 17.04225352],0
b1,1,0.572316,0.318823,[10  6] ; [30 25],[9.01408451 6.98591549] ; [30.98591549 24.01408451],0
a3,1,0.59219,0.286937,[9 7] ; [35 20],[9.91549296 6.08450704] ; [34.08450704 20.91549296],0
n2,1,0.636982,0.222711,[3 2] ; [10  4],[3.42105263 1.57894737] ; [9.57894737 4.42105263],0
d4,1,0.658743,0.195054,[13  2] ; [45 10],[12.42857143  2.57142857] ; [45.57142857  9.42857143],0
p2,1,0.661858,0.191275,[10  6] ; [31 24],[9.23943662 6.76056338] ; [31.76056338 23.23943662],0
p4,1,0.695205,0.153509,[8 8] ; [24 30],[7.31428571 8.68571429] ; [24.68571429 29.31428571],0
a8,1,0.699868,0.148609,[ 1 13] ; [ 5 42],[ 1.37704918 12.62295082] ; [ 4.62295082 42.37704918],0
p11,1,0.706622,0.141674,[9 7] ; [28 27],[8.33802817 7.66197183] ; [28.66197183 26.33802817],0
s4,1,0.719161,0.129298,[ 1 15] ; [ 5 50],[ 1.35211268 14.64788732] ; [ 4.64788732 50.35211268],0
d3,1,0.722434,0.126173,[10  6] ; [37 18],[10.5915493  5.4084507] ; [36.4084507 18.5915493],0
n3,1,0.786648,0.07326,[3 2] ; [10  5],[3.25 1.75] ; [9.75 5.25],0
n4,1,0.806253,0.060154,[11  5] ; [36 19],[10.5915493  5.4084507] ; [36.4084507 18.5915493],0
p7,1,0.819304,0.052185,[8 7] ; [27 27],[7.60869565 7.39130435] ; [27.39130435 26.60869565],0
a2,1,0.82262,0.050255,[ 3 13] ; [ 9 46],[ 2.70422535 13.29577465] ; [ 9.29577465 45.70422535],0
r4,1,0.856577,0.032665,[12  4] ; [40 15],[11.71830986  4.28169014] ; [40.28169014 14.71830986],0
a5,1,0.857079,0.032434,[10  6] ; [33 22],[9.69014085 6.30985915] ; [33.30985915 21.69014085],0
s1,1,0.90333,0.014752,[ 1 15] ; [ 3 52],[ 0.90140845 15.09859155] ; [ 3.09859155 51.90140845],0
u2,1,0.910443,0.012652,[3 3] ; [10  9],[3.12 2.88] ; [9.88 9.12],0
v3,1,0.913961,0.011673,[7 9] ; [24 29],[7.1884058 8.8115942] ; [23.8115942 29.1884058],0
v1,1,0.948957,0.004098,[8 8] ; [27 28],[7.88732394 8.11267606] ; [27.11267606 27.88732394],0
n5,1,0.948957,0.004098,[8 8] ; [27 28],[7.88732394 8.11267606] ; [27.11267606 27.88732394],0
p6,1,0.949113,0.004073,[ 3 12] ; [11 42],[ 3.08823529 11.91176471] ; [10.91176471 42.08823529],0
v4,1,0.980813,0.000578,[14  2] ; [48  7],[13.97183099  2.02816901] ; [48.02816901  6.97183099],0
