Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.005247,7.792208,[ 4 18] ; [16 12],[ 8.8 13.2] ; [11.2 16.8],0
r4,1,0.0083,6.967636,[ 2 20] ; [12 16],[ 6.16 15.84] ; [ 7.84 20.16],0
d5,1,0.014585,5.965909,[ 9 13] ; [21  7],[13.2  8.8] ; [16.8 11.2],0
a8,1,0.015451,5.864277,[ 6 15] ; [ 1 26],[ 3.0625 17.9375] ; [ 3.9375 23.0625],0
v2,1,0.031753,4.611765,[ 3 18] ; [12 16],[ 6.42857143 14.57142857] ; [ 8.57142857 19.42857143],0
d2,1,0.055564,3.665082,[ 7 15] ; [16 11],[10.32653061 11.67346939] ; [12.67346939 14.32653061],0
d3,1,0.061448,3.497857,[ 6 16] ; [15 13],[ 9.24 12.76] ; [11.76 16.24],0
r3,1,0.062749,3.463203,[10 12] ; [20  8],[13.2  8.8] ; [16.8 11.2],0
b5,1,0.0997,2.710333,[13  9] ; [10 18],[10.12 11.88] ; [12.88 15.12],0
r1,1,0.103451,2.651515,[ 6 16] ; [14 14],[ 8.8 13.2] ; [11.2 16.8],0
b3,1,0.136037,2.222222,[ 4 11] ; [8 7],[6. 9.] ; [6. 9.],0
b2,1,0.136037,2.222222,[ 4 11] ; [8 7],[6. 9.] ; [6. 9.],0
d4,1,0.231277,1.432988,[13  9] ; [21  7],[14.96  7.04] ; [19.04  8.96],0
s3,1,0.243345,1.361111,[ 7 14] ; [14 14],[ 9. 12.] ; [12. 16.],0
a1,1,0.254451,1.298701,[ 1 21] ; [ 4 24],[ 2.2 19.8] ; [ 2.8 25.2],0
s5,1,0.288379,1.127173,[ 3 19] ; [ 7 20],[ 4.48979592 17.51020408] ; [ 5.51020408 21.48979592],0
v3,1,0.348226,0.87991,[ 2 20] ; [ 5 22],[ 3.14285714 18.85714286] ; [ 3.85714286 23.14285714],0
b4,1,0.373405,0.7923,[16  6] ; [17 11],[14.52  7.48] ; [18.48  9.52],0
p3,1,0.393177,0.729095,[ 4 18] ; [ 8 20],[ 5.28 16.72] ; [ 6.72 21.28],0
a2,1,0.414636,0.665469,[ 2 20] ; [ 1 27],[ 1.32 20.68] ; [ 1.68 26.32],0
p1,1,0.450017,0.570609,[ 4 18] ; [ 3 25],[ 3.08 18.92] ; [ 3.92 24.08],0
n3,1,0.456057,0.555556,[4 4] ; [4 8],[3.2 4.8] ; [4.8 7.2],0
s6,1,0.468475,0.525571,[ 6 16] ; [10 17],[ 7.18367347 14.81632653] ; [ 8.81632653 18.18367347],0
s2,1,0.563455,0.333757,[ 4 18] ; [ 7 21],[ 4.84 17.16] ; [ 6.16 21.84],0
a5,1,0.568811,0.324675,[12 10] ; [13 15],[11. 11.] ; [14. 14.],0
p2,1,0.584281,0.299365,[ 9 13] ; [ 9 18],[ 8.08163265 13.91836735] ; [ 9.91836735 17.08163265],0
p7,1,0.594032,0.284091,[ 7 15] ; [ 7 21],[ 6.16 15.84] ; [ 7.84 20.16],0
a4,1,0.647061,0.209626,[ 6 16] ; [ 9 18],[ 6.73469388 15.26530612] ; [ 8.26530612 18.73469388],0
n6,1,0.65591,0.19853,[10 12] ; [14 13],[10.7755102 11.2244898] ; [13.2244898 13.7755102],0
a3,1,0.679988,0.170139,[10 11] ; [15 13],[10.71428571 10.28571429] ; [14.28571429 13.71428571],0
a6,1,0.696325,0.152323,[ 9 13] ; [13 15],[ 9.68 12.32] ; [12.32 15.68],0
s7,1,0.707447,0.14084,[ 3 17] ; [ 5 21],[ 3.47826087 16.52173913] ; [ 4.52173913 21.47826087],0
s8,1,0.709131,0.139147,[ 4 18] ; [ 4 24],[ 3.52 18.48] ; [ 4.48 23.52],0
p9,1,0.740157,0.109989,[10 11] ; [12 16],[ 9.42857143 11.57142857] ; [12.57142857 15.42857143],0
u2,1,0.748233,0.103022,[3 9] ; [4 9],[3.36 8.64] ; [3.64 9.36],0
p11,1,0.749465,0.101981,[10 12] ; [14 14],[10.56 11.44] ; [13.44 14.56],0
p5,1,0.763238,0.090741,[ 2 19] ; [ 2 26],[ 1.71428571 19.28571429] ; [ 2.28571429 25.71428571],0
p8,1,0.788188,0.07218,[ 4 17] ; [ 6 21],[ 4.375 16.625] ; [ 5.625 21.375],0
s1,1,0.801011,0.063523,[ 2 20] ; [ 2 26],[ 1.76 20.24] ; [ 2.24 25.76],0
b1,1,0.801881,0.062958,[11 11] ; [15 13],[11.44 10.56] ; [14.56 13.44],0
p4,1,0.803606,0.061843,[ 7 15] ; [ 8 20],[ 6.6 15.4] ; [ 8.4 19.6],0
s4,1,0.849361,0.036075,[ 2 20] ; [ 3 25],[ 2.2 19.8] ; [ 2.8 25.2],0
u1,1,0.861499,0.030438,[ 1 21] ; [ 1 27],[ 0.88 21.12] ; [ 1.12 26.88],0
n1,1,0.863926,0.029371,[4 4] ; [6 7],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
p10,1,0.932548,0.007164,[ 8 13] ; [11 17],[ 8.14285714 12.85714286] ; [10.85714286 17.14285714],0
a7,1,0.945311,0.004705,[10 12] ; [13 15],[10.12 11.88] ; [12.88 15.12],0
p6,1,0.958908,0.002655,[ 3 18] ; [ 4 23],[ 3.0625 17.9375] ; [ 3.9375 23.0625],0
n5,1,0.962128,0.002255,[14  8] ; [18 10],[14.08  7.92] ; [17.92 10.08],0
n4,1,0.962128,0.002255,[14  8] ; [18 10],[14.08  7.92] ; [17.92 10.08],0
n2,1,0.964854,0.001942,[3 5] ; [5 8],[3.04761905 4.95238095] ; [4.95238095 8.04761905],0
