Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,28.685887,[217  42] ; [15 19],[205.07849829  53.92150171] ; [26.92150171  7.07849829],1
s2,1,4e-06,21.223231,[213  47] ; [16 18],[202.5170068  57.4829932] ; [26.4829932  7.5170068],1
r3,1,0.000843,11.144581,[254   7] ; [29  5],[250.38305085  10.61694915] ; [32.61694915  1.38305085],1
s5,1,0.001426,10.171778,[130 121] ; [ 7 25],[121.50883392 129.49116608] ; [15.49116608 16.50883392],0
r1,1,0.003328,8.618315,[226  34] ; [23 11],[220.20408163  39.79591837] ; [28.79591837  5.20408163],0
d5,1,0.005622,7.667731,[224  36] ; [23 11],[218.43537415  41.56462585] ; [28.56462585  5.43537415],0
r4,1,0.022756,5.187042,[244  17] ; [28  6],[240.65084746  20.34915254] ; [31.34915254  2.65084746],0
s4,1,0.073275,3.208088,[ 57 202] ; [ 3 31],[ 53.03754266 205.96245734] ; [ 6.96245734 27.03754266],0
d1,1,0.093922,2.80583,[176  85] ; [18 16],[171.64067797  89.35932203] ; [22.35932203 11.64067797],0
b3,1,0.112814,2.514352,[ 80 106] ; [16 11],[ 83.83098592 102.16901408] ; [12.16901408 14.83098592],0
b2,1,0.112814,2.514352,[ 80 106] ; [16 11],[ 83.83098592 102.16901408] ; [12.16901408 14.83098592],0
a5,1,0.128284,2.313151,[213  48] ; [24 10],[209.68474576  51.31525424] ; [27.31525424  6.68474576],0
a2,1,0.148185,2.090837,[ 77 184] ; [ 6 28],[ 73.43389831 187.56610169] ; [ 9.56610169 24.43389831],0
v1,1,0.198568,1.652878,[162  90] ; [18 16],[158.6013986  93.3986014] ; [21.3986014 12.6013986],0
n4,1,0.205687,1.601525,[220  39] ; [26  8],[217.45392491  41.54607509] ; [28.54607509  5.45392491],0
p10,1,0.245634,1.347963,[230  28] ; [28  6],[227.95890411  30.04109589] ; [30.04109589  3.95890411],0
p12,1,0.267873,1.227609,[ 32 227] ; [ 2 32],[ 30.05460751 228.94539249] ; [ 3.94539249 30.05460751],0
p6,1,0.274246,1.195383,[122 135] ; [19 14],[124.95517241 132.04482759] ; [16.04482759 16.95517241],0
b1,1,0.274854,1.19236,[110 151] ; [11 23],[107.05423729 153.94576271] ; [13.94576271 20.05423729],0
d2,1,0.306902,1.043962,[147 114] ; [16 18],[144.21355932 116.78644068] ; [18.78644068 15.21355932],0
n3,1,0.341614,0.904364,[41 19] ; [6 1],[42.08955224 17.91044776] ; [4.91044776 2.08955224],0
p9,1,0.362763,0.828305,[241  19] ; [30  4],[239.65986395  20.34013605] ; [31.34013605  2.65986395],0
r2,1,0.38231,0.763261,[249   8] ; [31  2],[248.13793103   8.86206897] ; [31.86206897  1.13793103],0
b5,1,0.395801,0.721046,[158 103] ; [18 16],[155.71525424 105.28474576] ; [20.28474576 13.71525424],0
p2,1,0.398966,0.711442,[221  39] ; [27  7],[219.31972789  40.68027211] ; [28.68027211  5.31972789],0
a1,1,0.413055,0.669991,[ 17 244] ; [ 1 33],[ 15.92542373 245.07457627] ; [ 2.07457627 31.92542373],0
v3,1,0.41533,0.663492,[122 129] ; [18 14],[124.16961131 126.83038869] ; [15.83038869 16.16961131],0
u3,1,0.451873,0.565951,[34 11] ; [3 2],[33.3 11.7] ; [3.7 1.3],0
p11,1,0.472351,0.516471,[213  48] ; [26  8],[211.45423729  49.54576271] ; [27.54576271  6.45423729],0
n5,1,0.474647,0.511138,[219  41] ; [27  7],[217.55102041  42.44897959] ; [28.44897959  5.55102041],0
n1,1,0.482717,0.492719,[31 29] ; [4 2],[31.81818182 28.18181818] ; [3.18181818 2.81818182],0
p4,1,0.489384,0.477881,[176  84] ; [21 13],[174.21768707  85.78231293] ; [22.78231293 11.21768707],0
a6,1,0.489384,0.477881,[176  84] ; [21 13],[174.21768707  85.78231293] ; [22.78231293 11.21768707],0
p7,1,0.505827,0.442689,[182  70] ; [22 11],[180.37894737  71.62105263] ; [23.62105263  9.37894737],0
d4,1,0.50764,0.438929,[225  35] ; [28  6],[223.7414966  36.2585034] ; [29.2585034  4.7414966],0
n2,1,0.529226,0.395877,[45 15] ; [6 1],[45.67164179 14.32835821] ; [5.32835821 1.67164179],0
v4,1,0.551918,0.353892,[256   4] ; [33  1],[255.57823129   4.42176871] ; [33.42176871  0.57823129],0
p3,1,0.574792,0.31473,[148 113] ; [21 13],[149.5220339 111.4779661] ; [19.4779661 14.5220339],0
u2,1,0.586893,0.295223,[30 14] ; [4 1],[30.53061224 13.46938776] ; [3.46938776 1.53061224],0
a8,1,0.625137,0.238714,[ 39 198] ; [ 6 24],[ 39.94382022 197.05617978] ; [ 5.05617978 24.94382022],0
p5,1,0.644414,0.213016,[ 49 209] ; [ 5 27],[ 48.04137931 209.95862069] ; [ 5.95862069 26.04137931],0
s1,1,0.649525,0.2065,[ 12 246] ; [ 1 33],[ 11.48630137 246.51369863] ; [ 1.51369863 32.48630137],0
d3,1,0.662438,0.190576,[186  75] ; [23 11],[184.91186441  76.08813559] ; [24.08813559  9.91186441],0
a7,1,0.678722,0.171569,[175  86] ; [24 10],[176.06440678  84.93559322] ; [22.93559322 11.06440678],0
n6,1,0.698198,0.150353,[234  25] ; [30  4],[233.36518771  25.63481229] ; [30.63481229  3.36518771],0
u1,1,0.716548,0.131824,[ 69 192] ; [ 8 26],[ 68.12542373 192.87457627] ; [ 8.87457627 25.12542373],0
a3,1,0.744251,0.106425,[216  44] ; [29  5],[216.66666667  43.33333333] ; [28.33333333  5.66666667],0
b4,1,0.773059,0.08316,[145 116] ; [18 16],[144.21355932 116.78644068] ; [18.78644068 15.21355932],0
p8,1,0.796757,0.06633,[149 107] ; [19 15],[148.30344828 107.69655172] ; [19.69655172 14.30344828],0
v2,1,0.815446,0.054478,[158  94] ; [20 13],[157.38947368  94.61052632] ; [20.61052632 12.38947368],0
a4,1,0.827727,0.047357,[128 133] ; [16 18],[127.40338983 133.59661017] ; [16.59661017 17.40338983],0
p1,1,0.921565,0.009695,[ 29 230] ; [ 4 30],[ 29.17064846 229.82935154] ; [ 3.82935154 30.17064846],0
