Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,133.21359,[ 4 42] ; [247  37],[34.98787879 11.01212121] ; [216.01212121  67.98787879],1
v4,1,0.0,44.176317,[25 21] ; [256  25],[39.52905199  6.47094801] ; [241.47094801  39.52905199],1
p11,1,0.0,43.353843,[14 32] ; [221  63],[32.75757576 13.24242424] ; [202.24242424  81.75757576],1
p2,1,0.0,36.013084,[18 28] ; [228  55],[34.39513678 11.60486322] ; [211.60486322  71.39513678],1
n6,1,0.0,27.758431,[19 26] ; [225  59],[33.37386018 11.62613982] ; [210.62613982  73.37386018],1
p9,1,0.0,26.473425,[16 26] ; [215  66],[30.0371517 11.9628483] ; [200.9628483  80.0371517],1
r2,1,1e-06,24.935525,[28 17] ; [251  28],[38.75  6.25] ; [240.25  38.75],1
r1,1,2e-06,22.711648,[18 28] ; [209  73],[31.83536585 14.16463415] ; [195.16463415  86.83536585],1
p10,1,1.5e-05,18.783558,[17 28] ; [198  82],[29.76923077 15.23076923] ; [185.23076923  94.76923077],1
a1,1,7.7e-05,15.640454,[ 6 40] ; [  5 279],[ 1.53333333 44.46666667] ; [  9.46666667 274.53333333],1
v2,1,0.000154,14.319695,[ 5 40] ; [111 164],[16.3125 28.6875] ; [ 99.6875 175.3125],1
b1,1,0.000363,12.71317,[30 16] ; [106 178],[18.95757576 27.04242424] ; [117.04242424 166.95757576],1
s6,1,0.000669,11.573835,[ 8 37] ; [125 155],[18.41538462 26.58461538] ; [114.58461538 165.41538462],1
a7,1,0.000728,11.416454,[20 26] ; [196  88],[30.10909091 15.89090909] ; [185.89090909  98.10909091],1
a6,1,0.001538,10.032111,[20 26] ; [192  92],[29.55151515 16.44848485] ; [182.44848485 101.55151515],0
d5,1,0.001696,9.852074,[25 21] ; [217  67],[33.73333333 12.26666667] ; [208.26666667  75.73333333],0
p4,1,0.001952,9.594457,[11 35] ; [137 146],[20.69300912 25.30699088] ; [127.30699088 155.69300912],0
p8,1,0.002071,9.485377,[10 34] ; [134 148],[19.43558282 24.56441718] ; [124.56441718 157.43558282],0
p6,1,0.003567,8.491972,[ 3 42] ; [ 74 204],[10.72755418 34.27244582] ; [ 66.27244582 211.72755418],0
