Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,24.637928,[135  11] ; [19 13],[126.31460674  19.68539326] ; [27.68539326  4.31460674],1
n5,1,1e-06,24.527386,[125  20] ; [15 17],[114.68926554  30.31073446] ; [25.31073446  6.68926554],1
a5,1,8.6e-05,15.421915,[109  37] ; [13 20],[99.50837989 46.49162011] ; [22.49162011 10.50837989],1
v3,1,0.000106,15.024073,[66 76] ; [ 3 29],[56.31034483 85.68965517] ; [12.68965517 19.31034483],1
d1,1,0.000182,14.006617,[96 50] ; [10 23],[86.45810056 59.54189944] ; [19.54189944 13.45810056],1
p3,1,0.003979,8.293479,[93 53] ; [12 21],[85.6424581 60.3575419] ; [19.3575419 13.6424581],0
p4,1,0.004428,8.099392,[118  28] ; [19 14],[111.74301676  34.25698324] ; [25.25698324  7.74301676],0
s7,1,0.004603,8.02934,[75 62] ; [ 9 24],[67.69411765 69.30588235] ; [16.30588235 16.69411765],0
v1,1,0.005073,7.853179,[88 55] ; [11 21],[80.89714286 62.10285714] ; [18.10285714 13.89714286],0
b4,1,0.007753,7.089605,[86 60] ; [11 22],[79.11731844 66.88268156] ; [17.88268156 15.11731844],0
a3,1,0.007834,7.07113,[105  40] ; [16 17],[98.56741573 46.43258427] ; [22.43258427 10.56741573],0
r4,1,0.008321,6.962957,[134  12] ; [25  8],[129.68715084  16.31284916] ; [29.31284916  3.68715084],0
d2,1,0.008983,6.826275,[81 65] ; [10 23],[74.22346369 71.77653631] ; [16.77653631 16.22346369],0
d5,1,0.010092,6.618662,[121  25] ; [20 12],[115.65168539  30.34831461] ; [25.34831461  6.65168539],0
p2,1,0.011033,6.460029,[136  10] ; [26  7],[132.13407821  13.86592179] ; [29.86592179  3.13407821],0
r3,1,0.018496,5.548518,[142   4] ; [29  4],[139.47486034   6.52513966] ; [31.52513966  1.47486034],0
d4,1,0.020063,5.406375,[123  23] ; [22 11],[118.26815642  27.73184358] ; [26.73184358  6.26815642],0
s4,1,0.031105,4.647175,[ 12 132] ; [ 7 26],[ 15.45762712 128.54237288] ; [ 3.54237288 29.45762712],0
s8,1,0.034102,4.489586,[74 72] ; [10 23],[68.51396648 77.48603352] ; [15.48603352 17.51396648],0
s6,1,0.037984,4.305738,[97 49] ; [15 17],[91.86516854 54.13483146] ; [20.13483146 11.86516854],0
r1,1,0.046694,3.956392,[120  26] ; [22 11],[115.82122905  30.17877095] ; [26.17877095  6.82122905],0
b5,1,0.062546,3.468549,[90 56] ; [26  7],[94.61452514 51.38547486] ; [21.38547486 11.61452514],0
p10,1,0.068942,3.308025,[116  27] ; [22 11],[112.125  30.875] ; [25.875  7.125],0
r2,1,0.076269,3.142663,[137   6] ; [29  4],[134.875   8.125] ; [31.125  1.875],0
p9,1,0.082474,3.015463,[127  18] ; [25  8],[123.82022472  21.17977528] ; [28.17977528  4.82022472],0
