Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,50.857333,[74 71] ; [ 22 142],[45.04854369 99.95145631] ; [ 50.95145631 113.04854369],1
r1,1,1e-06,24.442,[121  29] ; [91 76],[100.31545741  49.68454259] ; [111.68454259  55.31545741],1
p11,1,1e-06,24.214187,[124  26] ; [96 72],[103.77358491  46.22641509] ; [116.22641509  51.77358491],1
v1,1,2e-06,23.116842,[79 68] ; [ 45 121],[58.23642173 88.76357827] ; [ 65.76357827 100.23642173],1
r3,1,3e-06,22.032969,[142   7] ; [128  39],[127.31012658  21.68987342] ; [142.68987342  24.31012658],1
r4,1,1.5e-05,18.771949,[129  21] ; [109  59],[112.26415094  37.73584906] ; [125.73584906  42.26415094],1
p7,1,0.000151,14.362883,[92 57] ; [67 99],[75.20952381 73.79047619] ; [83.79047619 82.20952381],1
d1,1,0.000225,13.605922,[90 60] ; [ 66 102],[73.58490566 76.41509434] ; [82.41509434 85.58490566],1
s8,1,0.000342,12.823671,[ 38 112] ; [ 17 151],[ 25.94339623 124.05660377] ; [ 29.05660377 138.94339623],1
v4,1,0.000431,12.39437,[140  10] ; [133  34],[129.17981073  20.82018927] ; [143.82018927  23.17981073],1
p10,1,0.00091,11.00203,[109  39] ; [93 74],[94.90793651 53.09206349] ; [107.09206349  59.90793651],1
p8,1,0.000954,10.914432,[75 73] ; [ 54 113],[60.60952381 87.39047619] ; [68.39047619 98.60952381],1
a5,1,0.001369,10.246807,[109  41] ; [93 75],[95.28301887 54.71698113] ; [106.71698113  61.28301887],0
d4,1,0.00184,9.702499,[123  26] ; [113  55],[110.92744479  38.07255521] ; [125.07255521  42.92744479],0
n6,1,0.002426,9.195792,[120  30] ; [108  59],[107.88643533  42.11356467] ; [120.11356467  46.88643533],0
n4,1,0.003236,8.669459,[115  35] ; [103  65],[102.83018868  47.16981132] ; [115.16981132  52.83018868],0
r2,1,0.004077,8.249068,[137  10] ; [136  29],[128.625  18.375] ; [144.375  20.625],0
p2,1,0.004298,8.153292,[119  30] ; [110  58],[107.63722397  41.36277603] ; [121.36277603  46.63722397],0
a3,1,0.004411,8.106217,[111  39] ; [97 68],[99.04761905 50.95238095] ; [108.95238095  56.04761905],0
d5,1,0.005956,7.563547,[118  32] ; [108  59],[106.94006309  43.05993691] ; [119.05993691  47.94006309],0
p3,1,0.007118,7.242995,[66 82] ; [ 50 117],[54.5015873 93.4984127] ; [ 61.4984127 105.5015873],0
p9,1,0.008201,6.989149,[111  37] ; [100  64],[100.08974359  47.91025641] ; [110.91025641  53.08974359],0
p4,1,0.020872,5.337434,[69 78] ; [ 57 110],[58.98726115 88.01273885] ; [67.01273885 99.98726115],0
d3,1,0.022906,5.175588,[101  49] ; [91 75],[91.13924051 58.86075949] ; [100.86075949  65.13924051],0
n3,1,0.025203,5.009892,[28  7] ; [32 24],[23.07692308 11.92307692] ; [36.92307692 19.07692308],0
a6,1,0.065549,3.391096,[105  45] ; [101  67],[97.16981132 52.83018868] ; [108.83018868  59.16981132],0
a4,1,0.089865,2.876789,[67 83] ; [ 59 108],[59.6214511 90.3785489] ; [ 66.3785489 100.6214511],0
a7,1,0.099946,2.706399,[105  44] ; [103  64],[98.07594937 50.92405063] ; [109.92405063  57.07594937],0
p6,1,0.133127,2.255651,[ 41 104] ; [ 35 132],[ 35.32051282 109.67948718] ; [ 40.67948718 126.32051282],0
s5,1,0.141731,2.15906,[ 19 127] ; [ 13 151],[ 15.07096774 130.92903226] ; [ 16.92903226 147.07096774],0
u1,1,0.149752,2.074772,[ 20 130] ; [ 14 154],[ 16.03773585 133.96226415] ; [ 17.96226415 150.03773585],0
b5,1,0.15085,2.06364,[80 70] ; [103  65],[86.32075472 63.67924528] ; [96.67924528 71.32075472],0
s7,1,0.210737,1.566356,[ 34 106] ; [ 29 129],[ 29.59731544 110.40268456] ; [ 33.40268456 124.59731544],0
a2,1,0.227933,1.453714,[ 29 121] ; [ 24 144],[ 25. 125.] ; [ 28. 140.],0
s2,1,0.236525,1.401186,[ 31 118] ; [ 26 140],[ 26.96190476 122.03809524] ; [ 30.03809524 135.96190476],0
d2,1,0.236807,1.3995,[70 79] ; [67 99],[64.8031746 84.1968254] ; [72.1968254 93.8031746],0
s4,1,0.295813,1.092974,[ 11 139] ; [ 18 150],[ 13.67924528 136.32075472] ; [ 15.32075472 152.67924528],0
s1,1,0.323071,0.976473,[  4 145] ; [  8 158],[  5.67619048 143.32380952] ; [  6.32380952 159.67619048],0
p12,1,0.333643,0.934706,[  4 145] ; [  2 165],[  2.82911392 146.17088608] ; [  3.17088608 163.82911392],0
u2,1,0.400078,0.708091,[15 23] ; [34 37],[17.08256881 20.91743119] ; [31.91743119 39.08256881],0
n2,1,0.424826,0.636926,[23 11] ; [35 24],[21.20430108 12.79569892] ; [36.79569892 22.20430108],0
a1,1,0.426563,0.632164,[  6 144] ; [ 10 158],[  7.54716981 142.45283019] ; [  8.45283019 159.54716981],0
n5,1,0.459739,0.546529,[97 52] ; [102  65],[93.83227848 55.16772152] ; [105.16772152  61.83227848],0
n1,1,0.477932,0.503579,[ 9 24] ; [20 38],[10.51648352 22.48351648] ; [18.48351648 39.51648352],0
b4,1,0.570415,0.321988,[86 64] ; [91 77],[83.49056604 66.50943396] ; [93.50943396 74.49056604],0
b2,1,0.642673,0.215264,[37 54] ; [37 62],[35.44210526 55.55789474] ; [38.55789474 60.44210526],0
b3,1,0.642673,0.215264,[37 54] ; [37 62],[35.44210526 55.55789474] ; [38.55789474 60.44210526],0
b1,1,0.672278,0.178949,[59 91] ; [70 98],[60.8490566 89.1509434] ; [68.1509434 99.8490566],0
p1,1,0.729137,0.119906,[ 11 139] ; [ 14 153],[ 11.829653 138.170347] ; [ 13.170347 153.829653],0
a8,1,0.750762,0.100892,[ 14 121] ; [ 18 138],[ 14.84536082 120.15463918] ; [ 17.15463918 138.84536082],0
u3,1,0.789172,0.071495,[16 23] ; [31 40],[16.66363636 22.33636364] ; [30.33636364 40.66363636],0
s3,1,0.856473,0.032713,[ 39 109] ; [ 42 123],[ 38.30031949 109.69968051] ; [ 42.69968051 122.30031949],0
