Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.5e-05,18.777809,[19 16] ; [ 4 39],[10.32051282 24.67948718] ; [12.67948718 30.32051282],1
p2,1,4.2e-05,16.768889,[28  7] ; [14 28],[19.09090909 15.90909091] ; [22.90909091 19.09090909],1
p7,1,5.7e-05,16.192908,[22 13] ; [ 7 33],[13.53333333 21.46666667] ; [15.46666667 24.53333333],1
p3,1,0.000414,12.467152,[20 16] ; [ 7 34],[12.62337662 23.37662338] ; [14.37662338 26.62337662],1
p6,1,0.000729,11.412583,[15 20] ; [ 4 38],[ 8.63636364 26.36363636] ; [10.36363636 31.63636364],1
p11,1,0.003049,8.778078,[27  9] ; [18 25],[20.50632911 15.49367089] ; [24.49367089 18.50632911],0
n6,1,0.015663,5.84037,[27  7] ; [21 19],[22.05405405 11.94594595] ; [25.94594595 14.05405405],0
s6,1,0.01671,5.726536,[19 14] ; [13 30],[13.89473684 19.10526316] ; [18.10526316 24.89473684],0
s8,1,0.017643,5.631231,[13 22] ; [ 6 37],[ 8.52564103 26.47435897] ; [10.47435897 32.52564103],0
s2,1,0.021569,5.280243,[16 17] ; [10 33],[11.28947368 21.71052632] ; [14.71052632 28.28947368],0
p9,1,0.044408,4.040985,[27  8] ; [22 18],[22.86666667 12.13333333] ; [26.13333333 13.86666667],0
a1,1,0.049314,3.864635,[ 2 34] ; [ 9 34],[ 5.01265823 30.98734177] ; [ 5.98734177 37.01265823],0
b4,1,0.088299,2.90512,[14 22] ; [25 18],[17.7721519 18.2278481] ; [21.2278481 21.7721519],0
p5,1,0.094695,2.792687,[ 7 28] ; [ 3 39],[ 4.54545455 30.45454545] ; [ 5.45454545 36.54545455],0
a8,1,0.112661,2.516488,[ 1 30] ; [ 6 36],[ 2.97260274 28.02739726] ; [ 4.02739726 37.97260274],0
r2,1,0.171157,1.872782,[17 16] ; [25 12],[19.8 13.2] ; [22.2 14.8],0
