Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.639307,[80 29] ; [ 4 21],[68.32835821 40.67164179] ; [15.67164179  9.32835821],1
v4,1,1.9e-05,18.282129,[89 20] ; [10 15],[80.52985075 28.47014925] ; [18.47014925  6.52985075],1
r1,1,0.000486,12.170433,[72 37] ; [ 7 18],[64.26119403 44.73880597] ; [14.73880597 10.26119403],1
r3,1,0.001669,9.881751,[86 23] ; [12 13],[79.71641791 29.28358209] ; [18.28358209  6.71641791],0
a8,1,0.007462,7.158346,[  5 101] ; [ 5 19],[ 8.15384615 97.84615385] ; [ 1.84615385 22.15384615],0
b1,1,0.015682,5.838172,[45 64] ; [17  8],[50.43283582 58.56716418] ; [11.56716418 13.43283582],0
n6,1,0.028397,4.803817,[69 39] ; [10 15],[64.15037594 43.84962406] ; [14.84962406 10.15037594],0
d3,1,0.041423,4.158642,[59 49] ; [ 8 17],[54.40601504 53.59398496] ; [12.59398496 12.40601504],0
d1,1,0.054741,3.689952,[49 60] ; [ 6 19],[44.73880597 64.26119403] ; [10.26119403 14.73880597],0
s5,1,0.061865,3.486669,[20 83] ; [ 1 24],[16.8984375 86.1015625] ; [ 4.1015625 20.8984375],0
p9,1,0.104158,2.640691,[52 54] ; [ 7 16],[48.48062016 57.51937984] ; [10.51937984 12.48062016],0
u3,1,0.107532,2.590116,[22 21] ; [3 9],[19.54545455 23.45454545] ; [5.45454545 6.54545455],0
v3,1,0.112539,2.518197,[33 70] ; [ 4 21],[29.7734375 73.2265625] ; [ 7.2265625 17.7734375],0
p11,1,0.11263,2.516923,[54 55] ; [ 8 17],[50.43283582 58.56716418] ; [11.56716418 13.43283582],0
p10,1,0.116784,2.45993,[50 57] ; [ 7 17],[46.55725191 60.44274809] ; [10.44274809 13.55725191],0
n4,1,0.131145,2.278903,[66 43] ; [11 14],[62.63432836 46.36567164] ; [14.36567164 10.63432836],0
n2,1,0.137743,2.202993,[30 16] ; [3 5],[28.11111111 17.88888889] ; [4.88888889 3.11111111],0
p6,1,0.204506,1.609899,[15 93] ; [ 1 22],[13.19083969 94.80916031] ; [ 2.80916031 20.19083969],0
p3,1,0.205227,1.604781,[32 77] ; [ 4 20],[29.5037594 79.4962406] ; [ 6.4962406 17.5037594],0
s4,1,0.229803,1.442078,[19 88] ; [ 2 23],[17.02272727 89.97727273] ; [ 3.97727273 21.02272727],0
n3,1,0.281363,1.160493,[25 18] ; [3 5],[23.60784314 19.39215686] ; [4.39215686 3.60784314],0
v2,1,0.293209,1.10483,[44 60] ; [ 7 16],[41.76377953 62.23622047] ; [ 9.23622047 13.76377953],0
a7,1,0.295584,1.094013,[69 40] ; [13 12],[66.70149254 42.29850746] ; [15.29850746  9.70149254],0
s2,1,0.320756,0.985863,[32 75] ; [ 5 20],[29.99242424 77.00757576] ; [ 7.00757576 17.99242424],0
u1,1,0.336014,0.925579,[11 98] ; [ 1 24],[ 9.76119403 99.23880597] ; [ 2.23880597 22.76119403],0
s7,1,0.337972,0.918109,[18 86] ; [ 2 20],[16.50793651 87.49206349] ; [ 3.49206349 18.50793651],0
a6,1,0.3478,0.881469,[63 45] ; [12 13],[60.90225564 47.09774436] ; [14.09774436 10.90225564],0
d2,1,0.382023,0.764181,[44 62] ; [ 8 17],[42.07633588 63.92366412] ; [ 9.92366412 15.07633588],0
b2,1,0.386531,0.749827,[23 33] ; [ 5 12],[21.47945205 34.52054795] ; [ 6.52054795 10.47945205],0
b3,1,0.386531,0.749827,[23 33] ; [ 5 12],[21.47945205 34.52054795] ; [ 6.52054795 10.47945205],0
p8,1,0.395278,0.722643,[27 82] ; [ 4 20],[25.40601504 83.59398496] ; [ 5.59398496 18.40601504],0
d5,1,0.453934,0.560809,[65 43] ; [13 12],[63.33834586 44.66165414] ; [14.66165414 10.33834586],0
p5,1,0.45685,0.553602,[  5 104] ; [ 2 22],[  5.73684211 103.26315789] ; [ 1.26315789 22.73684211],0
u2,1,0.459181,0.54789,[16 26] ; [6 6],[17.11111111 24.88888889] ; [4.88888889 7.11111111],0
b4,1,0.485809,0.485795,[57 52] ; [15 10],[58.56716418 50.43283582] ; [13.43283582 11.56716418],0
a4,1,0.500928,0.45297,[42 65] ; [ 8 17],[40.53030303 66.46969697] ; [ 9.46969697 15.53030303],0
p4,1,0.521353,0.411215,[28 79] ; [ 5 20],[26.75 80.25] ; [ 6.25 18.75],0
a3,1,0.530164,0.394077,[66 42] ; [13 11],[64.63636364 43.36363636] ; [14.36363636  9.63636364],0
v1,1,0.5333,0.388099,[33 76] ; [ 6 19],[31.7238806 77.2761194] ; [ 7.2761194 17.7238806],0
b5,1,0.538705,0.377945,[58 51] ; [15 10],[59.38059701 49.61940299] ; [13.61940299 11.38059701],0
n5,1,0.5464,0.363807,[62 46] ; [16  9],[63.33834586 44.66165414] ; [14.66165414 10.33834586],0
s6,1,0.577548,0.310216,[41 67] ; [ 8 17],[39.78947368 68.21052632] ; [ 9.21052632 15.78947368],0
d4,1,0.597683,0.278504,[75 33] ; [16  9],[73.89473684 34.10526316] ; [17.10526316  7.89473684],0
a2,1,0.649021,0.207136,[17 92] ; [ 3 22],[16.26865672 92.73134328] ; [ 3.73134328 21.26865672],0
a5,1,0.6575,0.196575,[62 47] ; [13 12],[61.00746269 47.99253731] ; [13.99253731 11.00746269],0
p1,1,0.666816,0.185349,[10 99] ; [ 3 22],[10.57462687 98.42537313] ; [ 2.42537313 22.57462687],0
a1,1,0.778456,0.079147,[11 98] ; [ 3 22],[11.3880597 97.6119403] ; [ 2.6119403 22.3880597],0
n1,1,0.802764,0.062386,[19 26] ; [3 5],[18.67924528 26.32075472] ; [3.32075472 4.67924528],0
p12,1,0.937364,0.006175,[  4 105] ; [ 1 24],[  4.06716418 104.93283582] ; [ 0.93283582 24.06716418],0
s3,1,0.953114,0.003457,[36 70] ; [ 8 16],[35.87692308 70.12307692] ; [ 8.12307692 15.87692308],0
p7,1,0.975939,0.00091,[30 76] ; [ 7 18],[29.9389313 76.0610687] ; [ 7.0610687 17.9389313],0
s1,1,0.983545,0.000425,[13 94] ; [ 3 22],[12.96969697 94.03030303] ; [ 3.03030303 21.96969697],0
