Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.3e-05,16.729187,[4 4] ; [82  5],[7.24210526 0.75789474] ; [78.75789474  8.24210526],1
r4,1,0.000652,11.61996,[5 3] ; [83  4],[7.41052632 0.58947368] ; [80.58947368  6.41052632],1
n5,1,0.004676,8.000785,[5 3] ; [81  6],[7.24210526 0.75789474] ; [78.75789474  8.24210526],0
s2,1,0.005755,7.62543,[1 7] ; [54 32],[4.68085106 3.31914894] ; [50.31914894 35.68085106],0
b5,1,0.017522,5.643279,[7 1] ; [38 49],[3.78947368 4.21052632] ; [41.21052632 45.78947368],0
r3,1,0.024318,5.071794,[6 2] ; [82  4],[7.4893617 0.5106383] ; [80.5106383  5.4893617],0
p8,1,0.028281,4.810836,[4 4] ; [71 15],[6.38297872 1.61702128] ; [68.61702128 17.38297872],0
v4,1,0.033547,4.517631,[7 1] ; [85  1],[7.82978723 0.17021277] ; [84.17021277  1.82978723],0
p6,1,0.046364,3.968325,[2 5] ; [57 29],[4.44086022 2.55913978] ; [54.55913978 31.44086022],0
r1,1,0.057696,3.602413,[5 3] ; [76 11],[6.82105263 1.17894737] ; [74.17894737 12.82105263],0
p3,1,0.060016,3.536952,[4 4] ; [69 18],[6.14736842 1.85263158] ; [66.85263158 20.14736842],0
b1,1,0.066898,3.357538,[6 2] ; [36 51],[3.53684211 4.46315789] ; [38.46315789 48.53684211],0
s5,1,0.080188,3.061084,[3 5] ; [54 25],[5.24137931 2.75862069] ; [51.75862069 27.24137931],0
s3,1,0.094817,2.790622,[3 5] ; [57 28],[5.16129032 2.83870968] ; [54.83870968 30.16129032],0
b4,1,0.097094,2.752634,[7 1] ; [50 37],[4.8 3.2] ; [52.2 34.8],0
s6,1,0.106605,2.603836,[5 3] ; [68 12],[6.63636364 1.36363636] ; [66.36363636 13.63636364],0
s7,1,0.123847,2.36798,[4 4] ; [61 20],[5.84269663 2.15730337] ; [59.15730337 21.84269663],0
a2,1,0.195984,1.672055,[3 5] ; [16 71],[1.6 6.4] ; [17.4 69.6],0
d3,1,0.22508,1.471688,[7 1] ; [58 29],[5.47368421 2.52631579] ; [59.52631579 27.47368421],0
v3,1,0.228403,1.45078,[3 5] ; [50 34],[4.60869565 3.39130435] ; [48.39130435 35.60869565],0
p4,1,0.278331,1.175222,[6 2] ; [76 10],[6.9787234 1.0212766] ; [75.0212766 10.9787234],0
a3,1,0.314958,1.009769,[5 3] ; [68 19],[6.14736842 1.85263158] ; [66.85263158 20.14736842],0
p11,1,0.455329,0.557352,[6 2] ; [74 13],[6.73684211 1.26315789] ; [73.26315789 13.73684211],0
a6,1,0.460812,0.543921,[4 4] ; [55 32],[4.96842105 3.03157895] ; [54.03157895 32.96842105],0
a7,1,0.501813,0.451101,[5 3] ; [64 23],[5.81052632 2.18947368] ; [63.18947368 23.81052632],0
d5,1,0.535227,0.384459,[7 1] ; [68 19],[6.31578947 1.68421053] ; [68.68421053 18.31578947],0
p7,1,0.665092,0.187397,[6 1] ; [67 18],[5.55434783 1.44565217] ; [67.44565217 17.55434783],0
p10,1,0.672468,0.178728,[7 1] ; [79  7],[7.31914894 0.68085106] ; [78.68085106  7.31914894],0
v1,1,0.703289,0.145073,[5 3] ; [58 26],[5.47826087 2.52173913] ; [57.52173913 26.47826087],0
u1,1,0.711791,0.136494,[2 6] ; [17 70],[1.6 6.4] ; [17.4 69.6],0
v2,1,0.721115,0.127427,[5 3] ; [47 37],[4.52173913 3.47826087] ; [47.47826087 36.52173913],0
d4,1,0.731656,0.117597,[7 1] ; [72 15],[6.65263158 1.34736842] ; [72.34736842 14.65263158],0
p2,1,0.74493,0.105841,[6 1] ; [78  9],[6.25531915 0.74468085] ; [77.74468085  9.25531915],0
a4,1,0.778503,0.079113,[4 4] ; [39 48],[3.62105263 4.37894737] ; [39.37894737 47.62105263],0
b2,1,0.843832,0.038807,[3 4] ; [29 33],[3.24637681 3.75362319] ; [28.75362319 33.24637681],0
b3,1,0.843832,0.038807,[3 4] ; [29 33],[3.24637681 3.75362319] ; [28.75362319 33.24637681],0
n3,1,0.8908,0.018849,[2 1] ; [10  6],[1.89473684 1.10526316] ; [10.10526316  5.89473684],0
a5,1,0.897305,0.016658,[6 2] ; [67 20],[6.14736842 1.85263158] ; [66.85263158 20.14736842],0
s4,1,0.899619,0.015912,[1 7] ; [12 73],[1.11827957 6.88172043] ; [11.88172043 73.11827957],0
d2,1,0.9256,0.00872,[4 4] ; [45 42],[4.12631579 3.87368421] ; [44.87368421 42.12631579],0
s8,1,0.953909,0.003341,[5 3] ; [54 31],[5.07526882 2.92473118] ; [53.92473118 31.07526882],0
d1,1,0.980813,0.000578,[5 3] ; [54 33],[4.96842105 3.03157895] ; [54.03157895 32.96842105],0
n1,1,1.0,0.0,[2 1] ; [10  5],[2. 1.] ; [10.  5.],0
