Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,8.6e-05,15.411644,[ 5 23] ; [19  8],[12.21818182 15.78181818] ; [11.78181818 15.21818182],1
b4,1,0.003264,8.653895,[ 9 19] ; [20  8],[14.5 13.5] ; [14.5 13.5],0
v3,1,0.007371,7.18022,[ 1 27] ; [ 8 18],[ 4.66666667 23.33333333] ; [ 4.33333333 21.66666667],0
p9,1,0.026721,4.908766,[18 10] ; [25  3],[21.5  6.5] ; [21.5  6.5],0
a7,1,0.061764,3.489382,[16 11] ; [23  5],[19.14545455  7.85454545] ; [19.85454545  8.14545455],0
n6,1,0.072585,3.223581,[15 13] ; [20  6],[18.14814815  9.85185185] ; [16.85185185  9.14814815],0
r1,1,0.100652,2.695187,[14 14] ; [20  8],[17. 11.] ; [17. 11.],0
a6,1,0.105193,2.625,[13 15] ; [19  9],[16. 12.] ; [16. 12.],0
b1,1,0.108809,2.571429,[17 11] ; [11 17],[14. 14.] ; [14. 14.],0
d5,1,0.110341,2.549328,[17 10] ; [23  5],[19.63636364  7.36363636] ; [20.36363636  7.63636364],0
d4,1,0.113524,2.504472,[19  9] ; [24  4],[21.5  6.5] ; [21.5  6.5],0
p10,1,0.131355,2.276423,[18 10] ; [23  5],[20.5  7.5] ; [20.5  7.5],0
p4,1,0.158188,1.991465,[16 12] ; [21  7],[18.5  9.5] ; [18.5  9.5],0
p5,1,0.159763,1.976471,[ 1 27] ; [ 4 24],[ 2.5 25.5] ; [ 2.5 25.5],0
p12,1,0.159763,1.976471,[ 1 27] ; [ 4 24],[ 2.5 25.5] ; [ 2.5 25.5],0
d1,1,0.178934,1.806452,[10 18] ; [15 13],[12.5 15.5] ; [12.5 15.5],0
a3,1,0.178934,1.806452,[13 15] ; [18 10],[15.5 12.5] ; [15.5 12.5],0
n5,1,0.225796,1.467152,[ 9 19] ; [13 14],[11.2 16.8] ; [10.8 16.2],0
p11,1,0.236724,1.4,[18 10] ; [22  6],[20.  8.] ; [20.  8.],0
a4,1,0.27375,1.197861,[ 9 19] ; [13 15],[11. 17.] ; [11. 17.],0
u2,1,0.275234,1.190476,[12  3] ; [6 4],[10.8  4.2] ; [7.2 2.8],0
n3,1,0.285049,1.142857,[10  4] ; [5 5],[8.75 5.25] ; [6.25 3.75],0
d3,1,0.287228,1.132567,[16 10] ; [21  7],[17.81481481  8.18518519] ; [19.18518519  8.81481481],0
v4,1,0.299387,1.076923,[25  3] ; [27  1],[26.  2.] ; [26.  2.],0
r4,1,0.312951,1.018182,[21  7] ; [24  4],[22.5  5.5] ; [22.5  5.5],0
n1,1,0.327187,0.96,[7 7] ; [3 7],[5.83333333 8.16666667] ; [4.16666667 5.83333333],0
n2,1,0.35002,0.873383,[12  2] ; [7 3],[11.08333333  2.91666667] ; [7.91666667 2.08333333],0
b5,1,0.383272,0.760181,[18 10] ; [21  7],[19.5  8.5] ; [19.5  8.5],0
r2,1,0.387534,0.746667,[24  4] ; [26  2],[25.  3.] ; [25.  3.],0
s6,1,0.392615,0.730827,[16 11] ; [19  8],[17.5  9.5] ; [17.5  9.5],0
s2,1,0.41514,0.664032,[15 13] ; [18 10],[16.5 11.5] ; [16.5 11.5],0
s3,1,0.422382,0.643678,[12 16] ; [15 13],[13.5 14.5] ; [13.5 14.5],0
p8,1,0.567144,0.327485,[18 10] ; [20  8],[19.  9.] ; [19.  9.],0
a5,1,0.592034,0.287179,[14 14] ; [16 12],[15. 13.] ; [15. 13.],0
p3,1,0.59298,0.285714,[13 15] ; [15 13],[14. 14.] ; [14. 14.],0
b3,1,0.619304,0.246847,[7 9] ; [ 6 11],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
b2,1,0.619304,0.246847,[7 9] ; [ 6 11],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
p1,1,0.648278,0.208077,[ 3 25] ; [ 4 23],[ 3.56363636 24.43636364] ; [ 3.43636364 23.56363636],0
s5,1,0.694925,0.153806,[10 17] ; [11 15],[10.69811321 16.30188679] ; [10.30188679 15.69811321],0
a8,1,0.735762,0.113887,[ 3 25] ; [ 2 23],[ 2.64150943 25.35849057] ; [ 2.35849057 22.64150943],0
p2,1,0.751615,0.100179,[22  6] ; [21  7],[21.5  6.5] ; [21.5  6.5],0
s4,1,0.782528,0.07619,[11 17] ; [10 18],[10.5 17.5] ; [10.5 17.5],0
s7,1,0.788077,0.072258,[12 16] ; [13 15],[12.5 15.5] ; [12.5 15.5],0
s8,1,0.87361,0.025305,[11 16] ; [12 16],[11.29090909 15.70909091] ; [11.70909091 16.29090909],0
a1,1,1.0,0.0,[ 2 26] ; [ 2 26],[ 2. 26.] ; [ 2. 26.],0
p7,1,1.0,0.0,[23  4] ; [23  4],[23.  4.] ; [23.  4.],0
d2,1,1.0,0.0,[10 18] ; [10 18],[10. 18.] ; [10. 18.],0
s1,1,1.0,0.0,[ 1 27] ; [ 1 27],[ 1. 27.] ; [ 1. 27.],0
r3,1,1.0,0.0,[26  2] ; [26  2],[26.  2.] ; [26.  2.],0
u3,1,1.0,0.0,[9 6] ; [6 4],[9. 6.] ; [6. 4.],0
