Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.000193,13.899889,[ 6 86] ; [142 459],[19.64790765 72.35209235] ; [128.35209235 472.64790765],1
a2,1,0.000206,13.778953,[10 82] ; [176 425],[24.69264069 67.30735931] ; [161.30735931 439.69264069],1
r2,1,0.000931,10.959151,[85  6] ; [590   8],[89.1509434  1.8490566] ; [585.8490566  12.1509434],1
a5,1,0.001148,10.571736,[59 33] ; [477 124],[71.15728716 20.84271284] ; [464.84271284 136.15728716],0
d1,1,0.004315,8.146289,[53 39] ; [434 167],[64.65223665 27.34776335] ; [422.34776335 178.65223665],0
a6,1,0.012747,6.203927,[54 38] ; [429 171],[64.21387283 27.78612717] ; [418.78612717 181.21387283],0
s7,1,0.025655,4.979118,[34 53] ; [298 276],[43.69742814 43.30257186] ; [288.30257186 285.69742814],0
a4,1,0.033975,4.495941,[36 56] ; [306 294],[45.46820809 46.53179191] ; [296.53179191 303.46820809],0
d2,1,0.03951,4.238811,[40 51] ; [333 267],[49.12156295 41.87843705] ; [323.87843705 276.12156295],0
v2,1,0.040422,4.200089,[44 45] ; [352 226],[52.83958021 36.16041979] ; [343.16041979 234.83958021],0
s8,1,0.042006,4.134969,[34 58] ; [288 308],[43.05813953 48.94186047] ; [278.94186047 317.05813953],0
a3,1,0.055471,3.667856,[62 30] ; [459 140],[69.36613603 22.63386397] ; [451.63386397 147.36613603],0
n5,1,0.061597,3.493847,[61 31] ; [449 146],[68.29694323 23.70305677] ; [441.70305677 153.29694323],0
d5,1,0.067509,3.342583,[76 16] ; [536  65],[81.24675325 10.75324675] ; [530.75324675  70.24675325],0
p7,1,0.068552,3.317347,[51 39] ; [387 195],[58.66071429 31.33928571] ; [379.33928571 202.66071429],0
p2,1,0.078527,3.095137,[72 20] ; [509  87],[77.69186047 14.30813953] ; [503.30813953  92.69186047],0
b4,1,0.080577,3.053217,[63 29] ; [354 247],[55.35930736 36.64069264] ; [361.64069264 239.35930736],0
a1,1,0.086446,2.939336,[ 8 84] ; [ 27 574],[ 4.64646465 87.35353535] ; [ 30.35353535 570.64646465],0
