Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.566423,[62  9] ; [88 72],[46.1038961 24.8961039] ; [103.8961039  56.1038961],1
s2,1,0.000124,14.734693,[50 22] ; [68 93],[36.46351931 35.53648069] ; [81.53648069 79.46351931],1
s7,1,0.000145,14.436647,[44 28] ; [ 52 100],[30.85714286 41.14285714] ; [65.14285714 86.85714286],1
s8,1,0.000263,13.3137,[43 30] ; [ 54 107],[30.26068376 42.73931624] ; [66.73931624 94.26068376],1
s3,1,0.00199,9.559127,[51 19] ; [81 78],[40.34934498 29.65065502] ; [91.65065502 67.34934498],0
b5,1,0.002122,9.440524,[33 40] ; [107  54],[43.67521368 29.32478632] ; [96.32478632 64.67521368],0
s4,1,0.002997,8.809057,[18 54] ; [ 16 143],[10.5974026 61.4025974] ; [ 23.4025974 135.5974026],0
p12,1,0.006506,7.404511,[ 6 67] ; [  2 159],[ 2.4957265 70.5042735] ; [  5.5042735 155.4957265],0
n4,1,0.010587,6.533362,[60 12] ; [108  53],[51.91416309 20.08583691] ; [116.08583691  44.91416309],0
n6,1,0.010803,6.497487,[64  7] ; [121  39],[56.86147186 14.13852814] ; [128.13852814  31.86147186],0
v1,1,0.010966,6.470867,[43 28] ; [67 91],[34.10480349 36.89519651] ; [75.89519651 82.10480349],0
p1,1,0.016081,5.793964,[ 7 65] ; [  4 157],[ 3.39914163 68.60085837] ; [  7.60085837 153.39914163],0
p5,1,0.01625,5.775573,[ 8 65] ; [  5 154],[ 4.09051724 68.90948276] ; [  8.90948276 150.09051724],0
u2,1,0.022808,5.183052,[ 7 14] ; [32 19],[11.375  9.625] ; [27.625 23.375],0
p9,1,0.048568,3.890236,[63  9] ; [122  38],[57.4137931 14.5862069] ; [127.5862069  32.4137931],0
n5,1,0.061595,3.493904,[57 14] ; [110  51],[51.10775862 19.89224138] ; [115.89224138  45.10775862],0
a6,1,0.09233,2.83327,[39 34] ; [104  56],[44.80257511 28.19742489] ; [98.19742489 61.80257511],0
p10,1,0.098069,2.736672,[61 11] ; [120  40],[56.17241379 15.82758621] ; [124.82758621  35.17241379],0
a5,1,0.098815,2.724558,[53 20] ; [99 62],[47.41880342 25.58119658] ; [104.58119658  56.41880342],0
v4,1,0.113038,2.511225,[69  1] ; [149  10],[66.63755459  3.36244541] ; [151.36244541   7.63755459],0
r2,1,0.141053,2.166431,[67  3] ; [142  16],[64.16666667  5.83333333] ; [144.83333333  13.16666667],0
b3,1,0.149101,2.08142,[18 29] ; [24 67],[14.30434783 32.69565217] ; [27.69565217 63.30434783],0
b2,1,0.149101,2.08142,[18 29] ; [24 67],[14.30434783 32.69565217] ; [27.69565217 63.30434783],0
n1,1,0.154125,2.030941,[10 13] ; [11 31],[ 7.43076923 15.56923077] ; [13.56923077 28.43076923],0
r1,1,0.187123,1.740121,[60 11] ; [123  37],[56.24675325 14.75324675] ; [126.75324675  33.24675325],0
r4,1,0.26627,1.23586,[66  7] ; [137  24],[63.32905983  9.67094017] ; [139.67094017  21.32905983],0
