Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000278,13.210134,[68  9] ; [27 18],[59.95901639 17.04098361] ; [35.04098361  9.95901639],1
n2,1,0.005492,7.709931,[23  7] ; [ 8 13],[18.23529412 11.76470588] ; [12.76470588  8.23529412],0
r3,1,0.007103,7.246665,[65 11] ; [29 16],[59.04132231 16.95867769] ; [34.95867769 10.04132231],0
r4,1,0.029604,4.732121,[56 21] ; [24 21],[50.49180328 26.50819672] ; [29.50819672 15.49180328],0
p11,1,0.030491,4.681388,[43 34] ; [16 29],[37.23770492 39.76229508] ; [21.76229508 23.23770492],0
d4,1,0.032429,4.575692,[58 18] ; [26 19],[52.76033058 23.23966942] ; [31.23966942 13.76033058],0
n5,1,0.054118,3.709047,[43 34] ; [17 28],[37.86885246 39.13114754] ; [22.13114754 22.86885246],0
s8,1,0.090959,2.857319,[13 61] ; [ 3 42],[ 9.94957983 64.05042017] ; [ 6.05042017 38.94957983],0
s7,1,0.099878,2.707494,[13 58] ; [ 3 39],[10.05309735 60.94690265] ; [ 5.94690265 36.05309735],0
s2,1,0.116102,2.469136,[10 65] ; [ 2 43],[ 7.5 67.5] ; [ 4.5 40.5],0
u1,1,0.126329,2.33704,[10 67] ; [ 2 43],[ 7.57377049 69.42622951] ; [ 4.42622951 40.57377049],0
d1,1,0.168646,1.894935,[39 38] ; [17 28],[35.3442623 41.6557377] ; [20.6557377 24.3442623],0
p7,1,0.173168,1.855299,[28 49] ; [11 34],[24.6147541 52.3852459] ; [14.3852459 30.6147541],0
d3,1,0.191445,1.706459,[47 30] ; [22 23],[43.54918033 33.45081967] ; [25.45081967 19.54918033],0
v3,1,0.196094,1.671232,[20 55] ; [ 7 36],[17.16101695 57.83898305] ; [ 9.83898305 33.16101695],0
p3,1,0.294058,1.100947,[22 55] ; [ 9 36],[19.56557377 57.43442623] ; [11.43442623 33.56557377],0
n1,1,0.344354,0.894156,[ 9 21] ; [ 9 12],[10.58823529 19.41176471] ; [ 7.41176471 13.58823529],0
a1,1,0.369667,0.804783,[ 5 72] ; [ 5 40],[ 6.31147541 70.68852459] ; [ 3.68852459 41.31147541],0
s6,1,0.370419,0.802257,[22 52] ; [10 35],[19.89915966 54.10084034] ; [12.10084034 32.89915966],0
v2,1,0.386092,0.751214,[32 44] ; [15 29],[29.76666667 46.23333333] ; [17.23333333 26.76666667],0
a2,1,0.408316,0.683698,[14 63] ; [11 34],[15.77868852 61.22131148] ; [ 9.22131148 35.77868852],0
a6,1,0.427335,0.630055,[44 33] ; [29 16],[46.07377049 30.92622951] ; [26.92622951 18.07377049],0
b5,1,0.431261,0.619425,[50 27] ; [26 19],[47.96721311 29.03278689] ; [28.03278689 16.96721311],0
b1,1,0.446399,0.579779,[39 38] ; [26 19],[41.02459016 35.97540984] ; [23.97540984 21.02459016],0
p6,1,0.448747,0.573815,[16 58] ; [ 7 37],[14.42372881 59.57627119] ; [ 8.57627119 35.42372881],0
a3,1,0.466126,0.531145,[42 35] ; [27 17],[43.90909091 33.09090909] ; [25.09090909 18.90909091],0
s5,1,0.472496,0.516133,[10 64] ; [ 4 40],[ 8.77966102 65.22033898] ; [ 5.22033898 38.77966102],0
b3,1,0.478502,0.502275,[14 36] ; [11 20],[15.43209877 34.56790123] ; [ 9.56790123 21.43209877],0
b2,1,0.478502,0.502275,[14 36] ; [11 20],[15.43209877 34.56790123] ; [ 9.56790123 21.43209877],0
p9,1,0.503375,0.447813,[22 51] ; [11 34],[20.41525424 52.58474576] ; [12.58474576 32.41525424],0
r2,1,0.516908,0.420058,[64 12] ; [35  9],[62.7 13.3] ; [36.3  7.7],0
p8,1,0.528491,0.397293,[19 57] ; [ 9 36],[17.58677686 58.41322314] ; [10.41322314 34.58677686],0
p2,1,0.546081,0.364385,[42 35] ; [22 23],[40.39344262 36.60655738] ; [23.60655738 21.39344262],0
n4,1,0.55238,0.35307,[47 30] ; [25 20],[45.44262295 31.55737705] ; [26.55737705 18.44262295],0
r1,1,0.557299,0.344402,[48 28] ; [26 19],[46.47933884 29.52066116] ; [27.52066116 17.47933884],0
b4,1,0.557576,0.343918,[42 35] ; [27 18],[43.54918033 33.45081967] ; [25.45081967 19.54918033],0
p4,1,0.598832,0.276761,[24 53] ; [12 33],[22.72131148 54.27868852] ; [13.27868852 31.72131148],0
s1,1,0.607958,0.263159,[ 3 73] ; [ 1 44],[ 2.51239669 73.48760331] ; [ 1.48760331 43.51239669],0
u3,1,0.634929,0.225436,[16 19] ; [ 7 11],[15.18867925 19.81132075] ; [ 7.81132075 10.18867925],0
u4,1,0.698319,0.150226,[ 1 76] ; [ 1 44],[ 1.26229508 75.73770492] ; [ 0.73770492 44.26229508],0
d2,1,0.705457,0.142857,[34 41] ; [22 23],[35. 40.] ; [21. 24.],0
p1,1,0.712915,0.135383,[ 4 73] ; [ 3 41],[ 4.45454545 72.54545455] ; [ 2.54545455 41.45454545],0
a5,1,0.787989,0.07232,[43 34] ; [24 21],[42.28688525 34.71311475] ; [24.71311475 20.28688525],0
n3,1,0.811964,0.056593,[19 11] ; [12  8],[18.6 11.4] ; [12.4  7.6],0
a4,1,0.820191,0.051665,[32 44] ; [18 27],[31.40495868 44.59504132] ; [18.59504132 26.40495868],0
v1,1,0.839218,0.041166,[25 51] ; [14 31],[24.49586777 51.50413223] ; [14.50413223 30.49586777],0
u2,1,0.858526,0.031773,[12 21] ; [ 7 11],[12.29411765 20.70588235] ; [ 6.70588235 11.29411765],0
s4,1,0.864569,0.029091,[ 6 69] ; [ 4 41],[ 6.25 68.75] ; [ 3.75 41.25],0
a8,1,0.864725,0.029023,[ 7 61] ; [ 4 39],[ 6.73873874 61.26126126] ; [ 4.26126126 38.73873874],0
d5,1,0.876815,0.024028,[52 25] ; [31 14],[52.3852459 24.6147541] ; [30.6147541 14.3852459],0
a7,1,0.877066,0.023929,[45 31] ; [26 19],[44.59504132 31.40495868] ; [26.40495868 18.59504132],0
