Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000242,13.47072,[3 6] ; [51  8],[7.14705882 1.85294118] ; [46.85294118 12.14705882],1
n5,1,0.001079,10.687129,[2 7] ; [45 14],[6.22058824 2.77941176] ; [40.77941176 18.22058824],0
r1,1,0.008455,6.934463,[3 6] ; [45 14],[6.35294118 2.64705882] ; [41.64705882 17.35294118],0
s7,1,0.020373,5.379675,[8 1] ; [27 30],[4.77272727 4.22727273] ; [30.22727273 26.77272727],0
s2,1,0.036287,4.383552,[8 1] ; [30 28],[5.10447761 3.89552239] ; [32.89552239 25.10447761],0
n4,1,0.047471,3.928603,[4 5] ; [45 14],[6.48529412 2.51470588] ; [42.51470588 16.48529412],0
v1,1,0.06582,3.384296,[2 7] ; [32 26],[4.56716418 4.43283582] ; [29.43283582 28.56716418],0
v3,1,0.096576,2.761195,[1 8] ; [23 35],[3.2238806 5.7761194] ; [20.7761194 37.2238806],0
p2,1,0.148106,2.091651,[5 4] ; [46 13],[6.75 2.25] ; [44.25 14.75],0
a3,1,0.149437,2.077991,[4 5] ; [40 18],[5.91044776 3.08955224] ; [38.08955224 19.91044776],0
s5,1,0.156376,2.008929,[4 3] ; [17 39],[2.33333333 4.66666667] ; [18.66666667 37.33333333],0
p11,1,0.172091,1.864635,[4 5] ; [40 19],[5.82352941 3.17647059] ; [38.17647059 20.82352941],0
d3,1,0.184119,1.764055,[6 2] ; [29 29],[4.24242424 3.75757576] ; [30.75757576 27.24242424],0
s8,1,0.187138,1.740004,[6 3] ; [25 33],[4.1641791 4.8358209] ; [26.8358209 31.1641791],0
v2,1,0.259177,1.273147,[3 5] ; [34 24],[4.48484848 3.51515152] ; [32.51515152 25.48484848],0
u2,1,0.26939,1.21985,[4 1] ; [10  9],[2.91666667 2.08333333] ; [11.08333333  7.91666667],0
p12,1,0.308902,1.035366,[1 8] ; [ 2 55],[0.40909091 8.59090909] ; [ 2.59090909 54.40909091],0
b2,1,0.316443,1.00359,[1 3] ; [18 17],[1.94871795 2.05128205] ; [17.05128205 17.94871795],0
b3,1,0.316443,1.00359,[1 3] ; [18 17],[1.94871795 2.05128205] ; [17.05128205 17.94871795],0
a5,1,0.346715,0.885445,[4 5] ; [36 23],[5.29411765 3.70588235] ; [34.70588235 24.29411765],0
r4,1,0.393034,0.729534,[7 2] ; [52  7],[7.80882353 1.19117647] ; [51.19117647  7.80882353],0
p3,1,0.405165,0.692943,[4 5] ; [18 41],[2.91176471 6.08823529] ; [19.08823529 39.91176471],0
d1,1,0.428083,0.62802,[3 6] ; [28 31],[4.10294118 4.89705882] ; [26.89705882 32.10294118],0
p7,1,0.453978,0.560701,[5 3] ; [42 14],[5.875 2.125] ; [41.125 14.875],0
p8,1,0.458102,0.550528,[3 6] ; [27 31],[4.02985075 4.97014925] ; [25.97014925 32.02985075],0
a6,1,0.466169,0.531042,[7 2] ; [38 20],[6.04477612 2.95522388] ; [38.95522388 19.04477612],0
r3,1,0.47417,0.512241,[8 1] ; [56  3],[8.47058824 0.52941176] ; [55.52941176  3.47058824],0
a4,1,0.485526,0.486427,[2 7] ; [20 39],[2.91176471 6.08823529] ; [19.08823529 39.91176471],0
p1,1,0.494279,0.467199,[2 7] ; [ 8 51],[1.32352941 7.67647059] ; [ 8.67647059 50.32352941],0
s1,1,0.49442,0.466893,[1 8] ; [ 3 54],[0.54545455 8.45454545] ; [ 3.45454545 53.54545455],0
n3,1,0.529138,0.396046,[1 1] ; [15  6],[1.39130435 0.60869565] ; [14.60869565  6.39130435],0
s3,1,0.580319,0.305719,[6 3] ; [33 25],[5.23880597 3.76119403] ; [33.76119403 24.23880597],0
p10,1,0.590907,0.28893,[7 2] ; [40 18],[6.31343284 2.68656716] ; [40.68656716 17.31343284],0
d5,1,0.689135,0.160023,[5 3] ; [41 18],[5.49253731 2.50746269] ; [40.50746269 18.49253731],0
d2,1,0.745275,0.105544,[3 6] ; [23 36],[3.44117647 5.55882353] ; [22.55882353 36.44117647],0
n1,1,0.783892,0.075214,[1 1] ; [ 8 12],[0.81818182 1.18181818] ; [ 8.18181818 11.81818182],0
b4,1,0.792364,0.069297,[4 5] ; [29 30],[4.36764706 4.63235294] ; [28.63235294 30.36764706],0
b5,1,0.836316,0.042687,[7 2] ; [44 15],[6.75 2.25] ; [44.25 14.75],0
u1,1,0.840007,0.040757,[1 8] ; [ 8 51],[1.19117647 7.80882353] ; [ 7.80882353 51.19117647],0
s6,1,0.848841,0.036327,[5 4] ; [33 23],[5.26153846 3.73846154] ; [32.73846154 23.26153846],0
b1,1,0.906821,0.013701,[4 5] ; [25 34],[3.83823529 5.16176471] ; [25.16176471 33.83823529],0
d4,1,0.920939,0.009851,[7 2] ; [45 14],[6.88235294 2.11764706] ; [45.11764706 13.88235294],0
a7,1,0.990723,0.000135,[5 3] ; [37 22],[5.01492537 2.98507463] ; [36.98507463 22.01492537],0
