Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,82.483506,[ 83 108] ; [386 101],[132.12241888  58.87758112] ; [336.87758112 150.12241888],1
d3,1,0.0,74.096717,[ 86 105] ; [385 103],[132.4904271  58.5095729] ; [338.5095729 149.4904271],1
a2,1,0.0,40.029947,[ 18 173] ; [163 327],[ 50.7650514 140.2349486] ; [130.2349486 359.7650514],1
u1,1,0.0,27.01092,[ 14 177] ; [123 367],[ 38.42437592 152.57562408] ; [ 98.57562408 391.42437592],1
b5,1,1e-06,23.98072,[ 86 105] ; [321 169],[114.15124816  76.84875184] ; [292.84875184 197.15124816],1
r4,1,9e-06,19.820555,[165  26] ; [470  20],[178.09838473  12.90161527] ; [456.90161527  33.09838473],1
d1,1,0.000423,12.427674,[98 93] ; [323 167],[118.07782673  72.92217327] ; [302.92217327 187.07782673],1
r1,1,0.001175,10.528671,[146  45] ; [422  65],[160.01179941  30.98820059] ; [407.98820059  79.01179941],0
d4,1,0.002109,9.452452,[142  48] ; [414  74],[155.81120944  34.18879056] ; [400.18879056  87.81120944],0
r3,1,0.002708,8.994169,[173  18] ; [470  18],[180.87334315  10.12665685] ; [462.12665685  25.87334315],0
u3,1,0.004024,8.272919,[20 32] ; [77 47],[28.65909091 23.34090909] ; [68.34090909 55.65909091],0
p4,1,0.004604,8.028666,[100  88] ; [316 170],[116.03560831  71.96439169] ; [299.96439169 186.03560831],0
v4,1,0.004901,7.915582,[176  14] ; [475  13],[182.43362832   7.56637168] ; [468.56637168  19.43362832],0
d5,1,0.008813,6.860435,[145  45] ; [414  74],[156.6519174  33.3480826] ; [402.3480826  85.6519174],0
b2,1,0.012433,6.247987,[63 66] ; [109 194],[51.36111111 77.63888889] ; [120.63888889 182.36111111],0
b3,1,0.012433,6.247987,[63 66] ; [109 194],[51.36111111 77.63888889] ; [120.63888889 182.36111111],0
v2,1,0.016432,5.756022,[90 93] ; [281 191],[103.65343511  79.34656489] ; [267.34656489 204.65343511],0
b1,1,0.022155,5.233604,[ 90 101] ; [184 306],[ 76.84875184 114.15124816] ; [197.15124816 292.84875184],0
a5,1,0.028764,4.781679,[138  53] ; [392  98],[148.64904552  42.35095448] ; [381.35095448 108.64904552],0
p2,1,0.113321,2.507289,[148  38] ; [414  75],[154.86222222  31.13777778] ; [407.13777778  81.86222222],0
s7,1,0.115094,2.482837,[107  77] ; [237 225],[97.98142415 86.01857585] ; [246.01857585 215.98142415],0
p10,1,0.131522,2.274444,[147  40] ; [407  80],[153.70623145  33.29376855] ; [400.29376855  86.70623145],0
s5,1,0.132547,2.262414,[ 71 111] ; [153 314],[ 62.81664099 119.18335901] ; [161.18335901 305.81664099],0
a8,1,0.140716,2.17011,[ 22 160] ; [ 73 362],[ 28.02269044 153.97730956] ; [ 66.97730956 368.02269044],0
s8,1,0.141132,2.165574,[97 94] ; [215 268],[ 88.41543027 102.58456973] ; [223.58456973 259.41543027],0
