Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,8e-06,20.00566,[34 34] ; [ 80 262],[18.90731707 49.09268293] ; [ 95.09268293 246.90731707],1
s2,1,6.6e-05,15.933153,[51 21] ; [158 193],[35.57446809 36.42553191] ; [173.42553191 177.57446809],1
s6,1,0.000922,10.978129,[58 15] ; [207 145],[45.51764706 27.48235294] ; [219.48235294 132.51764706],1
s3,1,0.004825,7.944032,[50 22] ; [180 171],[39.14893617 32.85106383] ; [190.85106383 160.14893617],0
n4,1,0.012452,6.245313,[43 31] ; [256  96],[51.93896714 22.06103286] ; [247.06103286 104.93896714],0
b3,1,0.013905,6.050207,[ 8 31] ; [ 90 128],[14.87159533 24.12840467] ; [ 83.12840467 134.87159533],0
b2,1,0.013905,6.050207,[ 8 31] ; [ 90 128],[14.87159533 24.12840467] ; [ 83.12840467 134.87159533],0
a8,1,0.01512,5.902482,[ 2 66] ; [ 43 281],[ 7.80612245 60.19387755] ; [ 37.19387755 286.80612245],0
n5,1,0.02267,5.193647,[41 33] ; [242 108],[49.39150943 24.60849057] ; [233.60849057 116.39150943],0
p11,1,0.030877,4.659772,[43 31] ; [251 103],[50.8317757 23.1682243] ; [243.1682243 110.8317757],0
p2,1,0.06899,3.306885,[47 27] ; [261  92],[53.37704918 20.62295082] ; [254.62295082  98.37704918],0
b1,1,0.071667,3.244421,[22 52] ; [145 209],[28.87383178 45.12616822] ; [138.12616822 215.87383178],0
d3,1,0.083028,3.004616,[54 19] ; [223 129],[47.57882353 25.42117647] ; [229.42117647 122.57882353],0
v3,1,0.102649,2.663895,[19 54] ; [120 213],[24.99261084 48.00738916] ; [114.00738916 218.99261084],0
v1,1,0.109289,2.564475,[28 46] ; [163 176],[34.22276029 39.77723971] ; [156.77723971 182.22276029],0
a7,1,0.153089,2.041195,[56 17] ; [241 112],[50.8943662 22.1056338] ; [246.1056338 106.8943662],0
n2,1,0.202995,1.620694,[21  5] ; [77 36],[18.33093525  7.66906475] ; [79.66906475 33.33093525],0
u2,1,0.254477,1.298558,[ 9 10] ; [65 41],[11.248  7.752] ; [62.752 43.248],0
p9,1,0.291655,1.111965,[59 13] ; [266  83],[55.58194774 16.41805226] ; [269.41805226  79.58194774],0
s8,1,0.323464,0.974888,[32 42] ; [131 222],[28.24824356 45.75175644] ; [134.75175644 218.24824356],0
p12,1,0.342399,0.90143,[ 2 71] ; [ 19 334],[ 3.59859155 69.40140845] ; [ 17.40140845 335.59859155],0
b5,1,0.357043,0.848269,[51 23] ; [224 130],[47.54672897 26.45327103] ; [227.45327103 126.54672897],0
b4,1,0.372933,0.793867,[47 27] ; [205 149],[43.57009346 30.42990654] ; [208.42990654 145.57009346],0
a3,1,0.374456,0.788822,[55 19] ; [244 109],[51.81733021 22.18266979] ; [247.18266979 105.81733021],0
p5,1,0.410984,0.675951,[ 2 72] ; [ 17 331],[ 3.33175355 70.66824645] ; [ 15.66824645 332.33175355],0
s1,1,0.419706,0.651139,[ 2 71] ; [ 17 330],[ 3.30238095 69.69761905] ; [ 15.69761905 331.30238095],0
n1,1,0.424809,0.636974,[ 7 19] ; [39 72],[ 8.72992701 17.27007299] ; [37.27007299 73.72992701],0
d5,1,0.450364,0.569736,[55 18] ; [280  73],[57.40610329 15.59389671] ; [277.59389671  75.40610329],0
r2,1,0.482413,0.493404,[70  3] ; [331  22],[68.71596244  4.28403756] ; [332.28403756  20.71596244],0
p1,1,0.492259,0.471585,[ 5 69] ; [ 17 336],[ 3.81264637 70.18735363] ; [ 18.18735363 334.81264637],0
u1,1,0.494324,0.467102,[15 59] ; [ 60 294],[12.96728972 61.03271028] ; [ 62.03271028 291.96728972],0
r1,1,0.502281,0.450113,[54 20] ; [269  82],[56.24 17.76] ; [266.76  84.24],0
a6,1,0.504707,0.445025,[48 26] ; [243 110],[50.43091335 23.56908665] ; [240.56908665 112.43091335],0
s7,1,0.518721,0.416436,[33 38] ; [143 195],[30.55256724 40.44743276] ; [145.44743276 192.55256724],0
r4,1,0.564276,0.332355,[66  8] ; [307  47],[64.49065421  9.50934579] ; [308.50934579  45.49065421],0
p4,1,0.581535,0.303759,[30 44] ; [155 197],[32.13615023 41.86384977] ; [152.86384977 199.13615023],0
a2,1,0.58869,0.292395,[16 58] ; [ 87 267],[17.80841121 56.19158879] ; [ 85.19158879 268.80841121],0
d1,1,0.595255,0.282212,[37 37] ; [189 165],[39.07476636 34.92523364] ; [186.92523364 167.07476636],0
p6,1,0.627751,0.235124,[15 59] ; [ 80 270],[16.58018868 57.41981132] ; [ 78.41981132 271.58018868],0
p7,1,0.631806,0.229619,[29 44] ; [148 198],[30.83770883 42.16229117] ; [146.16229117 199.83770883],0
p3,1,0.646247,0.210665,[24 50] ; [124 228],[25.70892019 48.29107981] ; [122.29107981 229.70892019],0
n6,1,0.654017,0.200873,[60 14] ; [278  75],[58.57611241 15.42388759] ; [279.42388759  73.57611241],0
n3,1,0.698026,0.150533,[20  6] ; [82 30],[19.2173913  6.7826087] ; [82.7826087 29.2173913],0
a5,1,0.707741,0.140544,[51 23] ; [236 118],[49.62149533 24.37850467] ; [237.37850467 116.62149533],0
d2,1,0.714314,0.134006,[34 40] ; [169 181],[35.42924528 38.57075472] ; [167.57075472 182.42924528],0
r3,1,0.791625,0.069802,[69  5] ; [332  21],[69.4941452  4.5058548] ; [331.5058548  21.4941452],0
p10,1,0.828722,0.046803,[53 20] ; [249 100],[52.24170616 20.75829384] ; [249.75829384  99.24170616],0
